sample_id,mst
freihand_00000000,1
freihand_00000001,2
freihand_00000002,3
freihand_00000003,4
freihand_00000004,5
freihand_00000005,6
freihand_00000006,7
freihand_00000007,8
freihand_00000008,9
freihand_00000009,10
freihand_00000010,1
freihand_00000011,2
freihand_00000012,3
freihand_00000013,4
freihand_00000014,5
freihand_00000015,6
freihand_00000016,7
freihand_00000017,8
freihand_00000018,9
freihand_00000019,10
freihand_00000020,1
freihand_00000021,2
freihand_00000022,3
freihand_00000023,4
freihand_00000024,5
freihand_00000025,6
freihand_00000026,7
freihand_00000027,8
freihand_00000028,9
freihand_00000029,10
freihand_00000030,1
freihand_00000031,2
freihand_00000032,3
freihand_00000033,4
freihand_00000034,5
freihand_00000035,6
freihand_00000036,7
freihand_00000037,8
freihand_00000038,9
freihand_00000039,10
freihand_00000040,1
freihand_00000041,2
freihand_00000042,3
freihand_00000043,4
freihand_00000044,5
freihand_00000045,6
freihand_00000046,7
freihand_00000047,8
freihand_00000048,9
freihand_00000049,10
freihand_00000050,1
freihand_00000051,2
freihand_00000052,3
freihand_00000053,4
freihand_00000054,5
freihand_00000055,6
freihand_00000056,7
freihand_00000057,8
freihand_00000058,9
freihand_00000059,10
freihand_00000060,1
freihand_00000061,2
freihand_00000062,3
freihand_00000063,4
freihand_00000064,5
freihand_00000065,6
freihand_00000066,7
freihand_00000067,8
freihand_00000068,9
freihand_00000069,10
freihand_00000070,1
freihand_00000071,2
freihand_00000072,3
freihand_00000073,4
freihand_00000074,5
freihand_00000075,6
freihand_00000076,7
freihand_00000077,8
freihand_00000078,9
freihand_00000079,10
freihand_00000080,1
freihand_00000081,2
freihand_00000082,3
freihand_00000083,4
freihand_00000084,5
freihand_00000085,6
freihand_00000086,7
freihand_00000087,8
freihand_00000088,9
freihand_00000089,10
freihand_00000090,1
freihand_00000091,2
freihand_00000092,3
freihand_00000093,4
freihand_00000094,5
freihand_00000095,6
freihand_00000096,7
freihand_00000097,8
freihand_00000098,9
freihand_00000099,10
freihand_00000100,1
freihand_00000101,2
freihand_00000102,3
freihand_00000103,4
freihand_00000104,5
freihand_00000105,6
freihand_00000106,7
freihand_00000107,8
freihand_00000108,9
freihand_00000109,10
freihand_00000110,1
freihand_00000111,2
freihand_00000112,3
freihand_00000113,4
freihand_00000114,5
freihand_00000115,6
freihand_00000116,7
freihand_00000117,8
freihand_00000118,9
freihand_00000119,10
freihand_00000120,1
freihand_00000121,2
freihand_00000122,3
freihand_00000123,4
freihand_00000124,5
freihand_00000125,6
freihand_00000126,7
freihand_00000127,8
freihand_00000128,9
freihand_00000129,10
freihand_00000130,1
freihand_00000131,2
freihand_00000132,3
freihand_00000133,4
freihand_00000134,5
freihand_00000135,6
freihand_00000136,7
freihand_00000137,8
freihand_00000138,9
freihand_00000139,10
freihand_00000140,1
freihand_00000141,2
freihand_00000142,3
freihand_00000143,4
freihand_00000144,5
freihand_00000145,6
freihand_00000146,7
freihand_00000147,8
freihand_00000148,9
freihand_00000149,10
freihand_00000150,1
freihand_00000151,2
freihand_00000152,3
freihand_00000153,4
freihand_00000154,5
freihand_00000155,6
freihand_00000156,7
freihand_00000157,8
freihand_00000158,9
freihand_00000159,10
freihand_00000160,1
freihand_00000161,2
freihand_00000162,3
freihand_00000163,4
freihand_00000164,5
freihand_00000165,6
freihand_00000166,7
freihand_00000167,8
freihand_00000168,9
freihand_00000169,10
freihand_00000170,1
freihand_00000171,2
freihand_00000172,3
freihand_00000173,4
freihand_00000174,5
freihand_00000175,6
freihand_00000176,7
freihand_00000177,8
freihand_00000178,9
freihand_00000179,10
freihand_00000180,1
freihand_00000181,2
freihand_00000182,3
freihand_00000183,4
freihand_00000184,5
freihand_00000185,6
freihand_00000186,7
freihand_00000187,8
freihand_00000188,9
freihand_00000189,10
freihand_00000190,1
freihand_00000191,2
freihand_00000192,3
freihand_00000193,4
freihand_00000194,5
freihand_00000195,6
freihand_00000196,7
freihand_00000197,8
freihand_00000198,9
freihand_00000199,10
freihand_00000200,1
freihand_00000201,2
freihand_00000202,3
freihand_00000203,4
freihand_00000204,5
freihand_00000205,6
freihand_00000206,7
freihand_00000207,8
freihand_00000208,9
freihand_00000209,10
freihand_00000210,1
freihand_00000211,2
freihand_00000212,3
freihand_00000213,4
freihand_00000214,5
freihand_00000215,6
freihand_00000216,7
freihand_00000217,8
freihand_00000218,9
freihand_00000219,10
freihand_00000220,1
freihand_00000221,2
freihand_00000222,3
freihand_00000223,4
freihand_00000224,5
freihand_00000225,6
freihand_00000226,7
freihand_00000227,8
freihand_00000228,9
freihand_00000229,10
freihand_00000230,1
freihand_00000231,2
freihand_00000232,3
freihand_00000233,4
freihand_00000234,5
freihand_00000235,6
freihand_00000236,7
freihand_00000237,8
freihand_00000238,9
freihand_00000239,10
freihand_00000240,1
freihand_00000241,2
freihand_00000242,3
freihand_00000243,4
freihand_00000244,5
freihand_00000245,6
freihand_00000246,7
freihand_00000247,8
freihand_00000248,9
freihand_00000249,10
freihand_00000250,1
freihand_00000251,2
freihand_00000252,3
freihand_00000253,4
freihand_00000254,5
freihand_00000255,6
freihand_00000256,7
freihand_00000257,8
freihand_00000258,9
freihand_00000259,10
freihand_00000260,1
freihand_00000261,2
freihand_00000262,3
freihand_00000263,4
freihand_00000264,5
freihand_00000265,6
freihand_00000266,7
freihand_00000267,8
freihand_00000268,9
freihand_00000269,10
freihand_00000270,1
freihand_00000271,2
freihand_00000272,3
freihand_00000273,4
freihand_00000274,5
freihand_00000275,6
freihand_00000276,7
freihand_00000277,8
freihand_00000278,9
freihand_00000279,10
freihand_00000280,1
freihand_00000281,2
freihand_00000282,3
freihand_00000283,4
freihand_00000284,5
freihand_00000285,6
freihand_00000286,7
freihand_00000287,8
freihand_00000288,9
freihand_00000289,10
freihand_00000290,1
freihand_00000291,2
freihand_00000292,3
freihand_00000293,4
freihand_00000294,5
freihand_00000295,6
freihand_00000296,7
freihand_00000297,8
freihand_00000298,9
freihand_00000299,10
freihand_00000300,1
freihand_00000301,2
freihand_00000302,3
freihand_00000303,4
freihand_00000304,5
freihand_00000305,6
freihand_00000306,7
freihand_00000307,8
freihand_00000308,9
freihand_00000309,10
freihand_00000310,1
freihand_00000311,2
freihand_00000312,3
freihand_00000313,4
freihand_00000314,5
freihand_00000315,6
freihand_00000316,7
freihand_00000317,8
freihand_00000318,9
freihand_00000319,10
freihand_00000320,1
freihand_00000321,2
freihand_00000322,3
