sample_id,mst_level
freihand_00006308,5
freihand_00027610,5
freihand_00001724,5
freihand_00019646,7
freihand_00023435,6
freihand_00024905,6
freihand_00022834,7
freihand_00029459,5
freihand_00029668,6
freihand_00007580,7
freihand_00022557,6
freihand_00010918,7
freihand_00021164,6
freihand_00009108,6
freihand_00007723,5
freihand_00027267,9
freihand_00007343,7
freihand_00016186,6
freihand_00005402,4
freihand_00018044,5
freihand_00028014,5
freihand_00022476,5
freihand_00018597,7
freihand_00000325,6
freihand_00027358,6
freihand_00006159,8
freihand_00006880,7
freihand_00017918,5
freihand_00011536,7
freihand_00001800,5
freihand_00025854,5
freihand_00012154,7
freihand_00008454,6
freihand_00030534,5
freihand_00003850,7
freihand_00027437,5
freihand_00017549,7
freihand_00027199,5
freihand_00003986,7
freihand_00027350,5
freihand_00008682,5
freihand_00016390,5
freihand_00015957,5
freihand_00016491,5
freihand_00026721,6
freihand_00002176,5
freihand_00004517,7
freihand_00031618,7
freihand_00024669,6
freihand_00009969,6
freihand_00014898,7
freihand_00001814,5
freihand_00028743,6
freihand_00012742,7
freihand_00007494,6
freihand_00016147,7
freihand_00020440,5
freihand_00006995,6
freihand_00007582,9
freihand_00009474,6
freihand_00001277,6
freihand_00018522,7
freihand_00023152,5
freihand_00008601,6
freihand_00007659,6
freihand_00010023,5
freihand_00009869,6
freihand_00004795,7
freihand_00028858,7
freihand_00006918,6
freihand_00027983,5
freihand_00022594,6
freihand_00030589,5
freihand_00004070,5
freihand_00019018,6
freihand_00017260,6
freihand_00012961,7
freihand_00017921,6
freihand_00030608,5
freihand_00006044,5
freihand_00020272,5
freihand_00008259,7
freihand_00014103,8
freihand_00008693,7
freihand_00008627,5
freihand_00002081,6
freihand_00007170,7
freihand_00014596,6
freihand_00016584,7
freihand_00016195,6
freihand_00032115,5
freihand_00001855,7
freihand_00018776,7
freihand_00020155,7
freihand_00024183,6
freihand_00007032,7
freihand_00003333,7
freihand_00013321,5
freihand_00004396,5
freihand_00000065,7
freihand_00010908,5
freihand_00026995,4
freihand_00022829,7
freihand_00014489,5
freihand_00027100,8
freihand_00032506,5
freihand_00011609,6
freihand_00028044,7
freihand_00028882,5
freihand_00018727,6
freihand_00026545,6
freihand_00023181,7
freihand_00002402,7
freihand_00024633,5
freihand_00028343,7
freihand_00011870,6
freihand_00020831,6
freihand_00013804,6
freihand_00020501,7
freihand_00032055,4
freihand_00024000,6
freihand_00031115,6
freihand_00032511,7
freihand_00026656,6
freihand_00018340,6
freihand_00015032,8
freihand_00000925,6
freihand_00029874,7
freihand_00016123,6
freihand_00008128,6
freihand_00011318,5
freihand_00005247,6
freihand_00028256,6
freihand_00019867,6
freihand_00012616,6
freihand_00000380,8
freihand_00028536,7
freihand_00027079,6
freihand_00027193,6
freihand_00028268,7
freihand_00007371,6
freihand_00004527,7
freihand_00025680,6
freihand_00009075,5
freihand_00010974,5
freihand_00027652,6
freihand_00023795,5
freihand_00003693,5
freihand_00024966,8
freihand_00028568,7
freihand_00024885,7
freihand_00006086,6
freihand_00013372,6
freihand_00027203,7
freihand_00015599,7
freihand_00019532,6
freihand_00030451,6
freihand_00001802,6
freihand_00013364,7
freihand_00004619,8
freihand_00010636,6
freihand_00000532,6
freihand_00009937,5
freihand_00003271,5
freihand_00016686,5
freihand_00032287,7
freihand_00030806,6
freihand_00020050,7
freihand_00002803,8
freihand_00008630,5
freihand_00007819,5
freihand_00005773,6
freihand_00007131,8
freihand_00031757,6
freihand_00029544,8
freihand_00024291,7
freihand_00012204,5
freihand_00022168,7
freihand_00008522,7
freihand_00020200,7
freihand_00004685,6
freihand_00032406,7
freihand_00016671,6
freihand_00028044,7
freihand_00006237,7
freihand_00024899,4
freihand_00027397,6
freihand_00012863,4
freihand_00005431,6
freihand_00009159,7
freihand_00031132,7
freihand_00013131,6
freihand_00031329,6
freihand_00023258,8
freihand_00000862,6
freihand_00031238,6
freihand_00004668,8
freihand_00019942,5
freihand_00031579,8
freihand_00031919,5
freihand_00025377,8
freihand_00010007,5
freihand_00014719,6
freihand_00024693,7
freihand_00007477,5
freihand_00006363,6
freihand_00030057,7
freihand_00027924,6
freihand_00019222,7
freihand_00030598,7
freihand_00003932,5
freihand_00019818,7
freihand_00028282,5
freihand_00021226,6
freihand_00029288,5
freihand_00014611,5
freihand_00002044,7
freihand_00002980,4
freihand_00000524,7
freihand_00004107,7
freihand_00010225,5
freihand_00025719,6
freihand_00025945,6
freihand_00030764,8
freihand_00015790,5
freihand_00014715,7
freihand_00021599,7
freihand_00003463,6
freihand_00008704,5
freihand_00026185,5
freihand_00008042,6
freihand_00002180,6
freihand_00025504,6
freihand_00010467,6
freihand_00014285,7
freihand_00010547,6
freihand_00020141,7
freihand_00029509,6
freihand_00000632,5
freihand_00025192,6
freihand_00030354,8
freihand_00021235,5
freihand_00007615,7
freihand_00011814,8
freihand_00013640,6
freihand_00013452,8
freihand_00027681,6
freihand_00017624,7
freihand_00019182,8
freihand_00010220,5
freihand_00014719,6
freihand_00009667,7
freihand_00016711,8
freihand_00018446,8
freihand_00029817,6
freihand_00009352,7
freihand_00013744,6
freihand_00020438,7
freihand_00014121,6
freihand_00000904,5
freihand_00023745,6
freihand_00016253,7
freihand_00013824,6
freihand_00009457,5
freihand_00019865,6
freihand_00011112,7
freihand_00008069,4
freihand_00006353,7
freihand_00031514,6
freihand_00018757,6
freihand_00031897,7
freihand_00017735,8
freihand_00010153,7
freihand_00011543,6
freihand_00019975,6
freihand_00028204,7
freihand_00017544,5
freihand_00014861,5
freihand_00023869,7
freihand_00006504,7
freihand_00028192,5
freihand_00022367,7
freihand_00015153,5
freihand_00010647,6
freihand_00023932,5
freihand_00017930,5
freihand_00008099,6
freihand_00000217,8
freihand_00026627,6
freihand_00001325,5
freihand_00023036,4
freihand_00016546,6
freihand_00025591,5
freihand_00024296,5
freihand_00000410,7
freihand_00006594,6
freihand_00012004,6
freihand_00007608,5
freihand_00006359,6
freihand_00015982,5
freihand_00025938,7
freihand_00016138,7
freihand_00012954,6
freihand_00027691,6
freihand_00028717,6
freihand_00026492,6
freihand_00003358,5
freihand_00019050,6
freihand_00010630,8
freihand_00020679,7
freihand_00024305,7
freihand_00028360,6
freihand_00001180,6
freihand_00009046,7
freihand_00025905,4
freihand_00005525,6
freihand_00010294,7
freihand_00005412,5
freihand_00031623,8
freihand_00002838,5
freihand_00023336,7
freihand_00008188,5
freihand_00008479,7
freihand_00011506,5
freihand_00028500,6
freihand_00015357,6
freihand_00032151,5
freihand_00001003,6
freihand_00000691,6
freihand_00028292,7
freihand_00004076,5
freihand_00020115,6
freihand_00027606,5
0a4a8907-1950-4e43-9a03-1740e78224ef,5
freihand_00004144,6
freihand_00002507,6
freihand_00009030,6
freihand_00014885,6
freihand_00030423,8
freihand_00010526,6
freihand_00011342,6
freihand_00020908,5
freihand_00029650,6
freihand_00013257,4
freihand_00029878,7
freihand_00017007,5
freihand_00023916,5
freihand_00010165,7
freihand_00021665,6
freihand_00020423,5
freihand_00027144,6
freihand_00005744,6
freihand_00013933,5
freihand_00017002,6
freihand_00006955,5
freihand_00026185,5
freihand_00016197,7
freihand_00032505,5
freihand_00001331,6
freihand_00019736,6
freihand_00005567,6
freihand_00010890,6
freihand_00009258,8
freihand_00031240,5
freihand_00020245,6
freihand_00021806,5
freihand_00016030,6
freihand_00019559,6
freihand_00028699,6
freihand_00015219,6
freihand_00018829,5
freihand_00012603,8
freihand_00025585,8
freihand_00018204,7
freihand_00008855,6
freihand_00008412,6
freihand_00010890,6
freihand_00021991,5
freihand_00014827,7
freihand_00031571,7
freihand_00021952,6
freihand_00007005,5
freihand_00031252,5
freihand_00012566,8
freihand_00001337,6
freihand_00008708,7
freihand_00024651,6
freihand_00012447,6
freihand_00021907,7
freihand_00013329,5
freihand_00004036,5
freihand_00024424,8
freihand_00031602,7
freihand_00005157,6
freihand_00014544,6
freihand_00027039,9
freihand_00026518,6
freihand_00014753,6
freihand_00028757,7
freihand_00031391,5
freihand_00009247,5
freihand_00020704,6
freihand_00018242,6
freihand_00015104,5
freihand_00007058,7
freihand_00020590,7
freihand_00005853,8
freihand_00021533,2
freihand_00024266,6
freihand_00024295,6
freihand_00005529,6
freihand_00008660,7
freihand_00014678,6
freihand_00006824,5
freihand_00022368,8
freihand_00013248,6
freihand_00001945,7
freihand_00000341,6
freihand_00003959,7
freihand_00031107,5
freihand_00024250,6
freihand_00007220,8
freihand_00001423,6
freihand_00007484,6
freihand_00031001,7
freihand_00004465,5
freihand_00025967,7
freihand_00015852,5
freihand_00016823,7
freihand_00022697,6
freihand_00004999,6
freihand_00013662,6
freihand_00001518,6
freihand_00001019,6
freihand_00017890,7
freihand_00012828,7
freihand_00020052,8
freihand_00027590,5
freihand_00017900,6
freihand_00016651,6
freihand_00008853,6
freihand_00022543,8
freihand_00005658,6
freihand_00011170,6
freihand_00002765,6
freihand_00017335,6
freihand_00023888,5
freihand_00002291,7
freihand_00016777,6
freihand_00019085,9
freihand_00030281,5
freihand_00015823,8
freihand_00011439,6
freihand_00030888,7
freihand_00012934,7
freihand_00003968,6
freihand_00019442,6
freihand_00017342,5
freihand_00022847,7
freihand_00001424,7
freihand_00008334,5
freihand_00029448,6
freihand_00025815,6
freihand_00028160,6
freihand_00014974,6
freihand_00011454,7
freihand_00032415,6
freihand_00005229,7
freihand_00004153,5
freihand_00013057,5
freihand_00004338,6
freihand_00026347,7
freihand_00021648,9
freihand_00027347,7
freihand_00025837,6
freihand_00017730,5
freihand_00025322,8
freihand_00021483,7
freihand_00005678,6
freihand_00030768,7
freihand_00015243,5
freihand_00029368,7
freihand_00031792,5
freihand_00003890,8
freihand_00028382,6
freihand_00029144,6
freihand_00031851,8
freihand_00011675,7
freihand_00025231,5
freihand_00015077,6
freihand_00028513,6
freihand_00004469,8
freihand_00018039,6
freihand_00006148,6
freihand_00006886,6
freihand_00004514,6
freihand_00001850,6
freihand_00028739,6
freihand_00022378,6
freihand_00017151,7
freihand_00006184,7
freihand_00014227,6
freihand_00022808,7
freihand_00030917,6
freihand_00001932,5
freihand_00024115,5
freihand_00025382,6
freihand_00001261,4
freihand_00001449,5
freihand_00022879,7
freihand_00000544,7
freihand_00017175,6
freihand_00026374,5
freihand_00031561,6
freihand_00028957,6
freihand_00001778,7
freihand_00023210,6
freihand_00020095,5
freihand_00021154,6
freihand_00008853,6
freihand_00011071,8
freihand_00026533,8
freihand_00021988,8
freihand_00002912,5
freihand_00019496,8
freihand_00027766,6
freihand_00006489,6
freihand_00011275,6
freihand_00023577,6
freihand_00019815,7
freihand_00020395,5
freihand_00003674,7
freihand_00028661,6
freihand_00005895,7
freihand_00002804,7
freihand_00022432,7
freihand_00008686,6
freihand_00025838,7
freihand_00007333,6
freihand_00025438,8
freihand_00030481,6
freihand_00014926,8
freihand_00005870,6
freihand_00010513,5
freihand_00026901,8
freihand_00026516,6
freihand_00012070,7
freihand_00030657,5
freihand_00026770,5
freihand_00022510,6
freihand_00007713,6
freihand_00021952,6
freihand_00022086,7
freihand_00011671,4
freihand_00032461,6
freihand_00009648,5
freihand_00001576,6
freihand_00004351,7
freihand_00024509,6
freihand_00021977,7
freihand_00027682,8
freihand_00015403,5
freihand_00028975,6
freihand_00028222,7
freihand_00028686,6
freihand_00002703,5
freihand_00028857,8
freihand_00013475,8
freihand_00012894,5
freihand_00029726,6
freihand_00023878,7
freihand_00014797,6
freihand_00027764,5
freihand_00012943,6
freihand_00030916,6
freihand_00018139,6
freihand_00022540,8
freihand_00002971,5
freihand_00016759,8
freihand_00016464,6
freihand_00013614,5
freihand_00004264,5
freihand_00006165,6
freihand_00007555,8
freihand_00006612,5
freihand_00011612,6
freihand_00025932,6
freihand_00029450,5
freihand_00006550,8
freihand_00012284,7
freihand_00020601,6
freihand_00022759,6
freihand_00029724,6
freihand_00022915,7
freihand_00014305,6
freihand_00012842,5
freihand_00022839,5
freihand_00013236,9
freihand_00002691,7
freihand_00006919,7
freihand_00001328,6
freihand_00016702,5
freihand_00017374,6
freihand_00003770,6
freihand_00009416,6
freihand_00006588,7
freihand_00025392,7
freihand_00006699,6
freihand_00000716,7
freihand_00012622,7
freihand_00027359,5
freihand_00001999,7
freihand_00017405,8
freihand_00003199,6
freihand_00002354,6
freihand_00025460,5
freihand_00006228,5
freihand_00008707,6
freihand_00011335,5
freihand_00029648,6
freihand_00024512,7
freihand_00017623,6
freihand_00004794,6
freihand_00010899,5
freihand_00010897,7
freihand_00000456,8
freihand_00017215,8
freihand_00030333,7
freihand_00017172,6
freihand_00011207,6
freihand_00024125,5
freihand_00009112,6
freihand_00018719,6
freihand_00024321,6
freihand_00013213,8
freihand_00027481,6
freihand_00009899,6
freihand_00028884,5
freihand_00003536,6
freihand_00019044,6
freihand_00004039,5
freihand_00023846,7
freihand_00021617,7
freihand_00022149,6
freihand_00013133,6
freihand_00025337,6
freihand_00009166,6
freihand_00001958,8
freihand_00001867,6
freihand_00027154,5
freihand_00031306,5
freihand_00000560,5
freihand_00000953,7
freihand_00028024,5
freihand_00004611,7
freihand_00029931,8
freihand_00026208,6
freihand_00013600,6
freihand_00014845,8
freihand_00003925,7
freihand_00024823,6
freihand_00023949,8
freihand_00010770,6
freihand_00004895,5
freihand_00015106,7
freihand_00010228,7
freihand_00015943,7
freihand_00023193,7
freihand_00024820,7
freihand_00007843,6
freihand_00004811,6
freihand_00013728,6
freihand_00005455,6
freihand_00000856,6
freihand_00013794,8
freihand_00004996,5
freihand_00032267,7
freihand_00017752,7
freihand_00002795,8
freihand_00006069,5
freihand_00028590,5
freihand_00000548,8
freihand_00011885,6
freihand_00002503,7
freihand_00012004,6
freihand_00021088,7
freihand_00024481,6
freihand_00010446,6
freihand_00012629,6
freihand_00019410,6
freihand_00000635,9
freihand_00026238,5
freihand_00011604,5
freihand_00020017,5
freihand_00006466,7
freihand_00005416,6
freihand_00023915,7
freihand_00001228,4
freihand_00013562,6
freihand_00025919,8
freihand_00012121,7
freihand_00028721,7
freihand_00021014,7
freihand_00015039,8
freihand_00029133,8
freihand_00025857,7
freihand_00004328,7
freihand_00027875,6
freihand_00016621,6
freihand_00027519,6
freihand_00028077,5
freihand_00011463,7
freihand_00001349,6
freihand_00007705,5
freihand_00026698,5
freihand_00028088,6
freihand_00031522,7
freihand_00010230,5
freihand_00019468,6
freihand_00001385,7
freihand_00021477,5
freihand_00024200,5
freihand_00022849,5
freihand_00002967,7
freihand_00031529,8
freihand_00012359,5
freihand_00002580,5
freihand_00012611,7
freihand_00008739,5
freihand_00010291,5
freihand_00027649,6
freihand_00008105,6
freihand_00021753,5
freihand_00021371,5
freihand_00019959,5
freihand_00019106,5
freihand_00015131,5
freihand_00023283,6
freihand_00011343,6
freihand_00020644,9
freihand_00013806,6
freihand_00030809,6
freihand_00017650,6
freihand_00027113,8
freihand_00009900,7
freihand_00032008,6
freihand_00025057,6
freihand_00030009,7
freihand_00010912,5
freihand_00010122,6
freihand_00011665,6
freihand_00011824,6
freihand_00014893,5
freihand_00018744,5
freihand_00014541,8
freihand_00003550,7
freihand_00007256,5
freihand_00020713,5
freihand_00002158,6
freihand_00001433,9
freihand_00022054,5
freihand_00027783,8
freihand_00022116,7
freihand_00017260,6
freihand_00026792,9
freihand_00021323,5
freihand_00004212,5
freihand_00022914,8
freihand_00018974,5
freihand_00018750,7
freihand_00019115,5
freihand_00028905,6
freihand_00006697,7
freihand_00009197,7
freihand_00003789,6
freihand_00003754,5
freihand_00011633,6
freihand_00027782,6
freihand_00018316,7
freihand_00013929,4
freihand_00008281,5
freihand_00014284,4
freihand_00010940,5
freihand_00007993,7
freihand_00001848,7
freihand_00015356,7
freihand_00009990,5
freihand_00015935,6
freihand_00018965,7
freihand_00025368,6
freihand_00011690,6
freihand_00010168,7
freihand_00017771,6
freihand_00004791,5
freihand_00011512,7
freihand_00022899,8
freihand_00020859,6
freihand_00021536,6
freihand_00026768,5
freihand_00005319,7
freihand_00013421,7
freihand_00027708,5
freihand_00005830,7
freihand_00010496,6
freihand_00012304,6
freihand_00000614,5
freihand_00023441,5
freihand_00019694,6
freihand_00005623,7
freihand_00026415,5
freihand_00012338,5
freihand_00028883,5
freihand_00025743,7
freihand_00010219,4
freihand_00024472,7
freihand_00018024,6
freihand_00028850,8
freihand_00010777,8
freihand_00023932,5
freihand_00009252,6
freihand_00013888,6
freihand_00025012,5
freihand_00005902,5
freihand_00011008,6
freihand_00002801,6
freihand_00026601,6
freihand_00006892,7
freihand_00009504,8
freihand_00012630,6
freihand_00029627,7
freihand_00017884,7
freihand_00009588,6
freihand_00023473,6
freihand_00029088,4
freihand_00008331,8
freihand_00004851,6
freihand_00007344,5
