sample_id,dataset,mst_level,status,image_path,landmark_path
freihand_00006308,freihand,5,ok,datasets/FreiHAND_pub_v2/training/rgb/00006308.jpg,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/freihand_00006308.npy
freihand_00027610,freihand,5,ok,datasets/FreiHAND_pub_v2/training/rgb/00027610.jpg,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/freihand_00027610.npy
freihand_00001724,freihand,5,ok,datasets/FreiHAND_pub_v2/training/rgb/00001724.jpg,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/freihand_00001724.npy
freihand_00019646,freihand,7,ok,datasets/FreiHAND_pub_v2/training/rgb/00019646.jpg,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/freihand_00019646.npy
54892ce0-d253-4707-bbbd-3c5a4990e0cf,hagrid,,missing_image,,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/hagrid/rock/54892ce0-d253-4707-bbbd-3c5a4990e0cf.npy
e263a958-9cb9-4bb7-9c52-d234f6d90354,hagrid,,missing_image,,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/hagrid/stop_inverted/e263a958-9cb9-4bb7-9c52-d234f6d90354.npy
2831ea7d-a1d4-48d9-b1dd-6b2d458a8717,hagrid,,missing_image,,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/hagrid/fist/2831ea7d-a1d4-48d9-b1dd-6b2d458a8717.npy
freihand_00023435,freihand,6,ok,datasets/FreiHAND_pub_v2/training/rgb/00023435.jpg,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/freihand_00023435.npy
c9353c66-0d7f-4f94-acd9-e969e3da01f9,hagrid,,missing_image,,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/hagrid/peace/c9353c66-0d7f-4f94-acd9-e969e3da01f9.npy
9478695d-44b2-478c-adda-5e2eeb8b9436,hagrid,,missing_image,,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/hagrid/two_up_inverted/9478695d-44b2-478c-adda-5e2eeb8b9436.npy
f5ea1d0e-9cac-4bb1-a724-07ff5f27b52b,hagrid,,missing_image,,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/hagrid/one/f5ea1d0e-9cac-4bb1-a724-07ff5f27b52b.npy
freihand_00024905,freihand,6,ok,datasets/FreiHAND_pub_v2/training/rgb/00024905.jpg,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/freihand_00024905.npy
f57a1679-b538-49c5-bb8b-546c775cc14a,hagrid,,missing_image,,/home/mateo/PRACTICAS/balanceo_datasets/data/processed/landmarks/hagrid/call/f57a1679-b538-49c5-bb8b-546c775cc14a.npy
