sample_id,dataset,mst_level,image_path,status
freihand_00000000,freihand,7,datasets\training\rgb\00000000.jpg,ok
freihand_00000001,freihand,6,datasets\training\rgb\00000001.jpg,ok
freihand_00000002,freihand,6,datasets\training\rgb\00000002.jpg,ok
freihand_00000003,freihand,9,datasets\training\rgb\00000003.jpg,ok
freihand_00000004,freihand,6,datasets\training\rgb\00000004.jpg,ok
freihand_00000005,freihand,6,datasets\training\rgb\00000005.jpg,ok
freihand_00000006,freihand,8,datasets\training\rgb\00000006.jpg,ok
freihand_00000007,freihand,10,datasets\training\rgb\00000007.jpg,ok
freihand_00000008,freihand,5,datasets\training\rgb\00000008.jpg,ok
freihand_00000009,freihand,8,datasets\training\rgb\00000009.jpg,ok
freihand_00000010,freihand,5,datasets\training\rgb\00000010.jpg,ok
freihand_00000011,freihand,8,datasets\training\rgb\00000011.jpg,ok
freihand_00000012,freihand,,datasets\training\rgb\00000012.jpg,error:Fallo en segmentacion
freihand_00000013,freihand,6,datasets\training\rgb\00000013.jpg,ok
freihand_00000014,freihand,8,datasets\training\rgb\00000014.jpg,ok
freihand_00000015,freihand,5,datasets\training\rgb\00000015.jpg,ok
freihand_00000016,freihand,7,datasets\training\rgb\00000016.jpg,ok
freihand_00000017,freihand,8,datasets\training\rgb\00000017.jpg,ok
freihand_00000018,freihand,7,datasets\training\rgb\00000018.jpg,ok
freihand_00000019,freihand,6,datasets\training\rgb\00000019.jpg,ok
freihand_00000020,freihand,8,datasets\training\rgb\00000020.jpg,ok
freihand_00000021,freihand,6,datasets\training\rgb\00000021.jpg,ok
freihand_00000022,freihand,7,datasets\training\rgb\00000022.jpg,ok
freihand_00000023,freihand,5,datasets\training\rgb\00000023.jpg,ok
freihand_00000024,freihand,7,datasets\training\rgb\00000024.jpg,ok
freihand_00000025,freihand,4,datasets\training\rgb\00000025.jpg,ok
freihand_00000026,freihand,8,datasets\training\rgb\00000026.jpg,ok
freihand_00000027,freihand,7,datasets\training\rgb\00000027.jpg,ok
freihand_00000028,freihand,6,datasets\training\rgb\00000028.jpg,ok
freihand_00000029,freihand,7,datasets\training\rgb\00000029.jpg,ok
freihand_00000030,freihand,8,datasets\training\rgb\00000030.jpg,ok
freihand_00000031,freihand,5,datasets\training\rgb\00000031.jpg,ok
freihand_00000032,freihand,,datasets\training\rgb\00000032.jpg,error:No se detecto mano
freihand_00000033,freihand,7,datasets\training\rgb\00000033.jpg,ok
freihand_00000034,freihand,5,datasets\training\rgb\00000034.jpg,ok
freihand_00000035,freihand,5,datasets\training\rgb\00000035.jpg,ok
freihand_00000036,freihand,5,datasets\training\rgb\00000036.jpg,ok
freihand_00000037,freihand,7,datasets\training\rgb\00000037.jpg,ok
freihand_00000038,freihand,5,datasets\training\rgb\00000038.jpg,ok
freihand_00000039,freihand,7,datasets\training\rgb\00000039.jpg,ok
freihand_00000040,freihand,6,datasets\training\rgb\00000040.jpg,ok
freihand_00000041,freihand,9,datasets\training\rgb\00000041.jpg,ok
freihand_00000042,freihand,6,datasets\training\rgb\00000042.jpg,ok
freihand_00000043,freihand,6,datasets\training\rgb\00000043.jpg,ok
freihand_00000044,freihand,7,datasets\training\rgb\00000044.jpg,ok
freihand_00000045,freihand,7,datasets\training\rgb\00000045.jpg,ok
freihand_00000046,freihand,7,datasets\training\rgb\00000046.jpg,ok
