sample_id,source,gesture,mst,split
freihand_00002973,freihand,unknown,4,train
freihand_00003592,freihand,unknown,3,train
freihand_00002532,freihand,unknown,3,train
freihand_00003773,freihand,unknown,4,train
freihand_00000761,freihand,unknown,2,train
freihand_00003122,freihand,unknown,3,train
freihand_00002980,freihand,unknown,1,train
freihand_00001700,freihand,unknown,1,train
freihand_00001462,freihand,unknown,3,train
freihand_00002832,freihand,unknown,3,train
freihand_00001863,freihand,unknown,4,train
freihand_00003841,freihand,unknown,2,train
freihand_00000790,freihand,unknown,1,train
freihand_00003653,freihand,unknown,4,train
freihand_00001201,freihand,unknown,2,train
freihand_00000391,freihand,unknown,2,train
freihand_00004922,freihand,unknown,3,train
freihand_00004301,freihand,unknown,2,train
freihand_00004883,freihand,unknown,4,train
freihand_00004853,freihand,unknown,4,train
freihand_00004610,freihand,unknown,1,train
freihand_00001192,freihand,unknown,3,train
freihand_00001921,freihand,unknown,2,train
freihand_00001252,freihand,unknown,3,train
freihand_00004590,freihand,unknown,1,train
freihand_00004421,freihand,unknown,2,train
freihand_00003751,freihand,unknown,2,train
freihand_00000802,freihand,unknown,3,train
freihand_00002991,freihand,unknown,2,train
freihand_00002661,freihand,unknown,2,train
freihand_00003610,freihand,unknown,1,train
freihand_00002441,freihand,unknown,2,train
freihand_00000553,freihand,unknown,4,train
freihand_00004031,freihand,unknown,2,train
freihand_00002340,freihand,unknown,1,train
freihand_00000012,freihand,unknown,3,train
freihand_00003803,freihand,unknown,4,train
freihand_00000530,freihand,unknown,1,train
freihand_00000991,freihand,unknown,2,train
freihand_00000570,freihand,unknown,1,train
freihand_00004080,freihand,unknown,1,train
freihand_00003400,freihand,unknown,1,train
freihand_00002532,freihand,unknown,3,train
freihand_00004762,freihand,unknown,3,train
freihand_00003400,freihand,unknown,1,train
freihand_00001811,freihand,unknown,2,train
freihand_00004202,freihand,unknown,3,train
freihand_00000793,freihand,unknown,4,train
freihand_00002762,freihand,unknown,3,train
freihand_00004710,freihand,unknown,1,train
