sample_id,source,gesture,mst,split
freihand_00003658,freihand,unknown,9,train
freihand_00002037,freihand,unknown,8,train
freihand_00002318,freihand,unknown,9,train
freihand_00004309,freihand,unknown,10,train
freihand_00002898,freihand,unknown,9,train
freihand_00004638,freihand,unknown,9,train
freihand_00000308,freihand,unknown,9,train
freihand_00004599,freihand,unknown,10,train
freihand_00000078,freihand,unknown,9,train
freihand_00001187,freihand,unknown,8,train
freihand_00004377,freihand,unknown,8,train
freihand_00000707,freihand,unknown,8,train
freihand_00000489,freihand,unknown,10,train
freihand_00004709,freihand,unknown,10,train
freihand_00002708,freihand,unknown,9,train
freihand_00000288,freihand,unknown,9,train
freihand_00000379,freihand,unknown,10,train
freihand_00002539,freihand,unknown,10,train
freihand_00000919,freihand,unknown,10,train
freihand_00000828,freihand,unknown,9,train
freihand_00000348,freihand,unknown,9,train
freihand_00001089,freihand,unknown,10,train
freihand_00004047,freihand,unknown,8,train
freihand_00002409,freihand,unknown,10,train
freihand_00004517,freihand,unknown,8,train
freihand_00003929,freihand,unknown,10,train
freihand_00000949,freihand,unknown,10,train
freihand_00000469,freihand,unknown,10,train
freihand_00004259,freihand,unknown,10,train
freihand_00003769,freihand,unknown,10,train
freihand_00002438,freihand,unknown,9,train
freihand_00004279,freihand,unknown,10,train
freihand_00003919,freihand,unknown,10,train
freihand_00000017,freihand,unknown,8,train
freihand_00002849,freihand,unknown,10,train
freihand_00002687,freihand,unknown,8,train
freihand_00001957,freihand,unknown,8,train
freihand_00001429,freihand,unknown,10,train
freihand_00003309,freihand,unknown,10,train
freihand_00000257,freihand,unknown,8,train
freihand_00000297,freihand,unknown,8,train
freihand_00002388,freihand,unknown,9,train
freihand_00002019,freihand,unknown,10,train
freihand_00003267,freihand,unknown,8,train
freihand_00003488,freihand,unknown,9,train
freihand_00003679,freihand,unknown,10,train
freihand_00001569,freihand,unknown,10,train
freihand_00000339,freihand,unknown,10,train
freihand_00004328,freihand,unknown,9,train
freihand_00002659,freihand,unknown,10,train
freihand_00000348,freihand,unknown,9,train
freihand_00002708,freihand,unknown,9,train
freihand_00000017,freihand,unknown,8,train
freihand_00004047,freihand,unknown,8,train
freihand_00000348,freihand,unknown,9,train
freihand_00002037,freihand,unknown,8,train
freihand_00000078,freihand,unknown,9,train
freihand_00000348,freihand,unknown,9,train
