sample_id,source,gesture,mst,split
2baab879-938d-4288-83b7-55b6bacced82,hagrid,three2,7,train
freihand_00029267,freihand,unknown,7,train
0479e8fc-993f-4f53-8eaa-9f5adb5065b7,hagrid,peace,6,train
freihand_00020204,freihand,unknown,5,train
freihand_00001766,freihand,unknown,7,train
freihand_00014459,freihand,unknown,7,train
c0a96bf8-cc03-4c24-aaa1-d3395f1ed6d0,hagrid,two_up_inverted,6,train
freihand_00018629,freihand,unknown,5,train
freihand_00013688,freihand,unknown,6,train
freihand_00029135,freihand,unknown,7,train
a2545501-5880-4242-a04a-8acc83c4af32,hagrid,two_up_inverted,6,train
06e6b6d9-92ad-4efd-b530-bf595608b314,hagrid,ok,7,train
1f7231c5-fc53-443e-a7b9-4bd34e5ea330,hagrid,peace_inverted,7,train
0ae441fc-c9e6-4c78-8374-45f4eb49be6b,hagrid,two_up_inverted,6,train
01b0ff64-346e-480f-ad94-eed83e8e131d,hagrid,ok,7,train
freihand_00026081,freihand,unknown,6,train
freihand_00012284,freihand,unknown,6,train
f7713264-f147-47f3-ace3-e3a8b1492e25,hagrid,stop_inverted,5,train
freihand_00000755,freihand,unknown,6,train
2e5f7ee0-5222-409f-8d5c-ce2a8c3fd5aa,hagrid,call,5,train
freihand_00007835,freihand,unknown,6,train
freihand_00016925,freihand,unknown,6,train
freihand_00030317,freihand,unknown,6,train
00861c9c-1990-4a35-b4d0-f7c3f0480590,hagrid,palm,6,train
freihand_00013973,freihand,unknown,6,train
freihand_00001565,freihand,unknown,6,train
freihand_00023699,freihand,unknown,5,train
06ca0e75-b6b4-4b97-9afe-a727b0143ea4,hagrid,dislike,6,train
048f6985-83e4-417e-b744-5c8270884fd2,hagrid,ok,5,train
07261193-3063-40b9-972b-ec605636d7a6,hagrid,four,5,train
01dfb25d-547a-4ee0-a78c-dd58a361df82,hagrid,mute,6,train
05383de6-3220-44c6-a10b-b05a7a8b364e,hagrid,fist,5,train
fecb2d23-7829-4865-a405-2ac5f5be3324,hagrid,two_up_inverted,6,train
02bac857-eb30-4ca3-8e65-44fde95b34c0,hagrid,stop_inverted,5,train
freihand_00018239,freihand,unknown,7,train
freihand_00000025,freihand,unknown,6,train
freihand_00014477,freihand,unknown,6,train
freihand_00026765,freihand,unknown,6,train
freihand_00006074,freihand,unknown,6,train
freihand_00031412,freihand,unknown,6,train
6d04c9c7-bd4d-4dbf-b4cc-278716bace9b,hagrid,peace_inverted,7,train
01e8ba52-7bdb-4957-94dc-6a2756d439ea,hagrid,palm,6,train
061820b2-271b-47d7-9691-5ba7e8a492cf,hagrid,ok,5,train
freihand_00011648,freihand,unknown,5,train
71d7f2cf-a43c-453b-9ca8-e18ace2bed42,hagrid,two_up,7,train
freihand_00009731,freihand,unknown,7,train
freihand_00011216,freihand,unknown,6,train
freihand_00005123,freihand,unknown,5,train
freihand_00029105,freihand,unknown,6,train
freihand_00012650,freihand,unknown,6,train
