sample_id,source,gesture,mst,split
freihand_00000051,freihand,unknown,2,train
freihand_00000030,freihand,unknown,1,train
palm_0007.jpg,hagrid,palm,2,train
freihand_00000093,freihand,unknown,4,train
palm_0010.jpg,hagrid,palm,1,train
palm_0001.jpg,hagrid,palm,1,train
freihand_00000022,freihand,unknown,3,train
freihand_00000061,freihand,unknown,2,train
freihand_00000001,freihand,unknown,2,train
freihand_00000062,freihand,unknown,3,train
palm_0004.jpg,hagrid,palm,3,train
freihand_00000033,freihand,unknown,4,train
freihand_00000081,freihand,unknown,2,train
palm_0001.jpg,hagrid,palm,1,train
freihand_00000021,freihand,unknown,2,train
palm_0007.jpg,hagrid,palm,2,train
palm_0010.jpg,hagrid,palm,1,train
palm_0004.jpg,hagrid,palm,3,train
freihand_00000091,freihand,unknown,2,train
palm_0004.jpg,hagrid,palm,3,train
freihand_00000072,freihand,unknown,3,train
freihand_00000030,freihand,unknown,1,train
freihand_00000020,freihand,unknown,1,train
fist_0003.jpg,hagrid,fist,1,train
fist_0003.jpg,hagrid,fist,1,train
palm_0007.jpg,hagrid,palm,2,train
fist_0003.jpg,hagrid,fist,1,train
palm_0001.jpg,hagrid,palm,1,train
freihand_00000082,freihand,unknown,3,train
palm_0004.jpg,hagrid,palm,3,train
palm_0001.jpg,hagrid,palm,1,train
freihand_00000061,freihand,unknown,2,train
