sample_id,source,gesture,mst,split
freihand_00000017,freihand,unknown,8,train
freihand_00000099,freihand,unknown,10,train
freihand_00000039,freihand,unknown,10,train
palm_0003.jpg,hagrid,palm,10,train
palm_0006.jpg,hagrid,palm,8,train
fist_0005.jpg,hagrid,fist,8,train
palm_0006.jpg,hagrid,palm,8,train
freihand_00000079,freihand,unknown,10,train
palm_0003.jpg,hagrid,palm,10,train
palm_0003.jpg,hagrid,palm,10,train
palm_0003.jpg,hagrid,palm,10,train
freihand_00000007,freihand,unknown,8,train
freihand_00000089,freihand,unknown,10,train
freihand_00000009,freihand,unknown,10,train
freihand_00000058,freihand,unknown,9,train
palm_0003.jpg,hagrid,palm,10,train
freihand_00000099,freihand,unknown,10,train
freihand_00000058,freihand,unknown,9,train
palm_0009.jpg,hagrid,palm,8,train
palm_0009.jpg,hagrid,palm,8,train
freihand_00000077,freihand,unknown,8,train
palm_0003.jpg,hagrid,palm,10,train
palm_0003.jpg,hagrid,palm,10,train
freihand_00000029,freihand,unknown,10,train
freihand_00000099,freihand,unknown,10,train
freihand_00000049,freihand,unknown,10,train
freihand_00000047,freihand,unknown,8,train
palm_0006.jpg,hagrid,palm,8,train
palm_0003.jpg,hagrid,palm,10,train
palm_0003.jpg,hagrid,palm,10,train
fist_0002.jpg,hagrid,fist,9,train
freihand_00000068,freihand,unknown,9,train
palm_0009.jpg,hagrid,palm,8,train
freihand_00000048,freihand,unknown,9,train
palm_0003.jpg,hagrid,palm,10,train
freihand_00000069,freihand,unknown,10,train
palm_0006.jpg,hagrid,palm,8,train
palm_0006.jpg,hagrid,palm,8,train
fist_0002.jpg,hagrid,fist,9,train
freihand_00000047,freihand,unknown,8,train
palm_0006.jpg,hagrid,palm,8,train
palm_0009.jpg,hagrid,palm,8,train
freihand_00000058,freihand,unknown,9,train
freihand_00000058,freihand,unknown,9,train
