sample_id,source,gesture,mst,mst_origin,split,sampling_weight,augmentation_hint
0078ace3-28c7-4bac-961d-7184977433cf,hagrid,stop,3,imputed,train,2.0,
02eabc23-afa0-4e69-9cda-4c5419758d29,hagrid,rock,1,imputed,train,2.0,
freihand_00010565,freihand,unknown,6,imputed,train,1.0,
freihand_00005608,freihand,unknown,10,imputed,train,2.0,
00453bde-c1ad-48ff-bad2-2141480dbcdc,hagrid,palm,1,imputed,train,2.0,
01fcbb49-0295-44b6-aeea-3757745d6e4a,hagrid,stop,10,imputed,train,2.0,
freihand_00020973,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
00d6f1ba-3f7b-4dbe-aa82-5ae6b75304d5,hagrid,stop,6,imputed,train,1.0,
24d89868-d99d-4840-bb95-75cded598896,hagrid,stop_inverted,9,imputed,train,1.0,color_jitter_dark_candidate
00d5944d-922c-4f56-bf60-2d9c4ade51a7,hagrid,dislike,5,imputed,train,1.0,
freihand_00010970,freihand,unknown,5,imputed,train,1.0,
0096650d-20f4-4175-8dec-3e27f95915cc,hagrid,ok,9,imputed,train,1.0,color_jitter_dark_candidate
02d6958d-b7ee-457a-9ef3-c17cc3cf90d3,hagrid,three,5,imputed,train,1.0,
freihand_00027105,freihand,unknown,10,imputed,train,2.0,
freihand_00009028,freihand,unknown,1,imputed,train,2.0,
freihand_00012281,freihand,unknown,5,imputed,train,1.0,
03727ef5-f701-42c6-951f-6c1e4d645358,hagrid,fist,1,imputed,train,2.0,
793ab286-adbc-4308-93b8-0f1bba0ccb81,hagrid,stop_inverted,5,imputed,train,1.0,
033bfb01-2a77-4390-a2cb-adabdf960092,hagrid,rock,1,imputed,train,2.0,
2cd57cd1-99cb-4289-b35d-ef6a9d679015,hagrid,stop_inverted,9,imputed,train,1.0,color_jitter_dark_candidate
358e7185-545b-470d-94bf-68f88df59805,hagrid,three2,10,imputed,train,2.0,
freihand_00027695,freihand,unknown,6,imputed,train,1.0,
01841342-56ea-4bb6-90df-6381b224731a,hagrid,ok,6,imputed,train,1.0,
freihand_00005416,freihand,unknown,10,imputed,train,2.0,
00857019-2ed4-4723-9311-4654e8f1d03a,hagrid,stop,3,imputed,train,2.0,
012eeb3c-64a0-44b4-955c-0916e038ac44,hagrid,rock,10,imputed,train,2.0,
freihand_00017435,freihand,unknown,6,imputed,train,1.0,
freihand_00025660,freihand,unknown,1,imputed,train,2.0,
freihand_00018716,freihand,unknown,7,imputed,train,1.0,
freihand_00006612,freihand,unknown,10,imputed,train,2.0,
01a32780-812b-4d8b-90b4-4f0fb902448b,hagrid,dislike,10,imputed,train,2.0,
freihand_00032372,freihand,unknown,6,imputed,train,1.0,
freihand_00018920,freihand,unknown,7,imputed,train,1.0,
61ea0856-59bf-4354-8fa7-19fc41adc4b4,hagrid,stop_inverted,8,imputed,train,1.0,color_jitter_dark_candidate
04ef455f-cec2-45a8-ab3e-34f4560035e0,hagrid,rock,6,imputed,train,1.0,
05543aff-cf3f-47b5-8902-6c3ded7e1850,hagrid,mute,6,imputed,train,1.0,
14ed7575-5f52-4728-b0c5-f6ee3580b895,hagrid,two_up_inverted,5,imputed,train,1.0,
cba847bb-17b1-48b3-98cb-b8a58393670f,hagrid,two_up,9,imputed,train,1.0,color_jitter_dark_candidate
2eb70e2d-edd7-4467-b46b-1c089515d4c6,hagrid,three,4,imputed,train,1.0,
78b716c8-07dc-41c3-b284-1ae4e7fd1321,hagrid,two_up_inverted,1,imputed,train,2.0,
freihand_00005573,freihand,unknown,6,imputed,train,1.0,
freihand_00014589,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
058b3a93-e191-4d61-a509-db84b292905a,hagrid,four,7,imputed,train,1.0,
3cf1ca1b-f8a0-4a7f-b00b-cbc6095c5bb2,hagrid,three2,10,imputed,train,2.0,
