sample_id,source,gesture,mst,mst_origin,split,sampling_weight,augmentation_hint
01e593d3-27de-4cd0-af8c-fe1abc414c27,hagrid,palm,3,imputed,train,3.0,
freihand_00024831,freihand,unknown,1,imputed,train,3.0,
0570bffa-a6c7-4d57-9cb4-eeeae0983527,hagrid,ok,10,imputed,train,3.0,
054623d0-7998-487c-9bd2-4ed9a431f3c9,hagrid,fist,6,imputed,train,1.0,
freihand_00005024,freihand,unknown,3,imputed,train,3.0,
0064f9a1-322a-4530-a1bf-2440bcdd2dc0,hagrid,ok,2,imputed,train,3.0,
03e90dbb-0387-477e-ba67-5f43a7f02213,hagrid,palm,6,imputed,train,1.0,
03e40ec7-00c2-49b3-822d-e06ff51f6691,hagrid,like,10,imputed,train,3.0,
freihand_00008433,freihand,unknown,3,imputed,train,3.0,
0329ab93-5b22-447c-bcd0-fbd50dabf6c0,hagrid,fist,2,imputed,train,3.0,
freihand_00017998,freihand,unknown,7,original,train,1.0,
28774474-3125-4005-a0fd-3916d27bd219,hagrid,three,6,imputed,train,1.0,
freihand_00025554,freihand,unknown,6,original,train,1.0,
freihand_00014279,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00018282,freihand,unknown,6,original,train,1.0,
freihand_00023079,freihand,unknown,6,imputed,train,1.0,
freihand_00024728,freihand,unknown,7,imputed,train,1.0,
8f1e5f20-b311-497b-bdeb-195d09576e89,hagrid,stop_inverted,8,imputed,train,1.0,color_jitter_dark_candidate
039cb58d-d9bf-43a8-9cd0-a0fe460202c3,hagrid,dislike,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00016004,freihand,unknown,10,imputed,train,3.0,
2415d3c8-4646-4331-b07c-2beaebe70bab,hagrid,call,6,imputed,train,1.0,
freihand_00009048,freihand,unknown,6,original,train,1.0,
0af06fe7-93ed-40f0-bfe2-f2c18e44acd8,hagrid,two_up_inverted,9,imputed,train,1.0,color_jitter_dark_candidate
0329ab93-5b22-447c-bcd0-fbd50dabf6c0,hagrid,fist,2,imputed,train,3.0,
8c80b5b2-c144-4a8d-97ca-06d9a00cbc8a,hagrid,peace_inverted,6,imputed,train,1.0,
5d7aed21-f8f1-4423-9943-91a5d15a1859,hagrid,two_up,4,imputed,train,1.0,
c2330176-5c26-45e0-92ba-3445af33e7e5,hagrid,three2,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00019586,freihand,unknown,10,imputed,train,3.0,
aa50fbab-d97f-4029-93d4-8d0a318339d0,hagrid,peace_inverted,7,imputed,train,1.0,
7e478ba7-938d-4cc8-a3e0-6bd39ba0d714,hagrid,two_up_inverted,1,imputed,train,3.0,
d8931920-9ccc-46bd-98fe-8007bbe9aef7,hagrid,three2,9,imputed,train,1.0,color_jitter_dark_candidate
489a18f2-0665-4ef6-9a27-56720328251a,hagrid,call,5,imputed,train,1.0,
freihand_00004651,freihand,unknown,1,imputed,train,3.0,
00cd61bd-7697-44a0-9841-f95988314173,hagrid,palm,1,imputed,train,3.0,
freihand_00011345,freihand,unknown,2,imputed,train,3.0,
02613d4b-1fad-4f32-818a-aaccc0d39f7a,hagrid,dislike,1,imputed,train,3.0,
freihand_00011846,freihand,unknown,10,imputed,train,3.0,
freihand_00001624,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
02bd891b-ba1e-40bd-a9ba-a8620c00aa3f,hagrid,fist,5,imputed,train,1.0,
freihand_00013936,freihand,unknown,7,original,train,1.0,
freihand_00005991,freihand,unknown,3,imputed,train,3.0,
freihand_00002340,freihand,unknown,10,imputed,train,3.0,
3d81b2fb-22fe-4a2b-8419-7ef76ea8d6cb,hagrid,call,1,imputed,train,3.0,
freihand_00029654,freihand,unknown,6,original,train,1.0,
freihand_00005566,freihand,unknown,4,imputed,train,1.0,
0d3148d5-4f31-40cd-a906-e0905693753f,hagrid,two_up,2,imputed,train,3.0,
00eaa211-c22d-4806-95a9-a466fd776262,hagrid,one,7,imputed,train,1.0,
freihand_00004439,freihand,unknown,10,imputed,train,3.0,
freihand_00006593,freihand,unknown,6,original,train,1.0,
freihand_00014178,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
03e40ec7-00c2-49b3-822d-e06ff51f6691,hagrid,like,10,imputed,train,3.0,
16b42dcd-04de-4aca-b99b-ba3f9bc34b15,hagrid,stop_inverted,10,imputed,train,3.0,
freihand_00014055,freihand,unknown,6,original,train,1.0,
01a32780-812b-4d8b-90b4-4f0fb902448b,hagrid,dislike,1,imputed,train,3.0,
freihand_00011932,freihand,unknown,3,imputed,train,3.0,
freihand_00019262,freihand,unknown,1,imputed,train,3.0,
freihand_00000867,freihand,unknown,2,imputed,train,3.0,
freihand_00008386,freihand,unknown,6,original,train,1.0,
