sample_id,source,gesture,mst,mst_origin,split,sampling_weight,augmentation_hint
palm_0008.jpg,hagrid,palm,3,imputed,train,2.0,
freihand_00030908,freihand,unknown,1,imputed,train,2.0,
fist_0003.jpg,hagrid,fist,10,imputed,train,2.0,
freihand_00009139,freihand,unknown,2,imputed,train,2.0,
fist_0003.jpg,hagrid,fist,10,imputed,train,2.0,
palm_0009.jpg,hagrid,palm,6,imputed,train,1.0,
palm_0001.jpg,hagrid,palm,9,imputed,train,1.0,color_jitter_dark_candidate
palm_0001.jpg,hagrid,palm,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00032467,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00009084,freihand,unknown,7,original,train,1.0,
palm_0005.jpg,hagrid,palm,1,imputed,train,2.0,
palm_0010.jpg,hagrid,palm,10,imputed,train,2.0,
freihand_00007861,freihand,unknown,7,original,train,1.0,
palm_0008.jpg,hagrid,palm,3,imputed,train,2.0,
fist_0002.jpg,hagrid,fist,6,imputed,train,1.0,
fist_0005.jpg,hagrid,fist,5,imputed,train,1.0,
freihand_00031567,freihand,unknown,6,original,train,1.0,
freihand_00007085,freihand,unknown,1,imputed,train,2.0,
fist_0005.jpg,hagrid,fist,5,imputed,train,1.0,
freihand_00030054,freihand,unknown,1,imputed,train,2.0,
fist_0002.jpg,hagrid,fist,6,imputed,train,1.0,
fist_0003.jpg,hagrid,fist,10,imputed,train,2.0,
fist_0002.jpg,hagrid,fist,6,imputed,train,1.0,
palm_0006.jpg,hagrid,palm,6,imputed,train,1.0,
freihand_00001138,freihand,unknown,2,imputed,train,2.0,
freihand_00006913,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
palm_0005.jpg,hagrid,palm,1,imputed,train,2.0,
palm_0002.jpg,hagrid,palm,3,imputed,train,2.0,
palm_0004.jpg,hagrid,palm,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00010346,freihand,unknown,2,imputed,train,2.0,
freihand_00016855,freihand,unknown,10,imputed,train,2.0,
