sample_id,source,gesture,mst,mst_origin,split,sampling_weight,augmentation_hint
freihand_00030770,freihand,unknown,4,original,train,1.0,
fist_0002.jpg,hagrid,fist,,missing,train,1.0,
freihand_00000538,freihand,unknown,6,original,train,1.0,
freihand_00029198,freihand,unknown,6,original,train,1.0,
freihand_00029006,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
freihand_00005993,freihand,unknown,5,original,train,1.0,
palm_0003.jpg,hagrid,palm,,missing,train,1.0,
freihand_00022217,freihand,unknown,6,original,train,1.0,
freihand_00030656,freihand,unknown,4,original,train,1.0,
freihand_00024693,freihand,unknown,7,original,train,1.0,
freihand_00023088,freihand,unknown,4,original,train,1.0,
freihand_00009303,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
freihand_00020859,freihand,unknown,6,original,train,1.0,
palm_0005.jpg,hagrid,palm,,missing,train,1.0,
freihand_00005246,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
freihand_00012151,freihand,unknown,6,original,train,1.0,
freihand_00018578,freihand,unknown,5,original,train,1.0,
palm_0006.jpg,hagrid,palm,,missing,train,1.0,
freihand_00005693,freihand,unknown,4,original,train,1.0,
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
palm_0009.jpg,hagrid,palm,,missing,train,1.0,
fist_0004.jpg,hagrid,fist,,missing,train,1.0,
freihand_00011290,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
palm_0006.jpg,hagrid,palm,,missing,train,1.0,
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
fist_0003.jpg,hagrid,fist,,missing,train,1.0,
fist_0005.jpg,hagrid,fist,,missing,train,1.0,
fist_0002.jpg,hagrid,fist,,missing,train,1.0,
palm_0006.jpg,hagrid,palm,,missing,train,1.0,
freihand_00010389,freihand,unknown,4,original,train,1.0,
freihand_00030191,freihand,unknown,6,original,train,1.0,
freihand_00013599,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
freihand_00011554,freihand,unknown,4,original,train,1.0,
freihand_00021067,freihand,unknown,4,original,train,1.0,
palm_0006.jpg,hagrid,palm,,missing,train,1.0,
freihand_00032135,freihand,unknown,2,original,train,2.0,
palm_0005.jpg,hagrid,palm,,missing,train,1.0,
palm_0007.jpg,hagrid,palm,,missing,train,1.0,
freihand_00021275,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
freihand_00023258,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
freihand_00008196,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
freihand_00016313,freihand,unknown,6,original,train,1.0,
fist_0004.jpg,hagrid,fist,,missing,train,1.0,
freihand_00027079,freihand,unknown,6,original,train,1.0,
palm_0007.jpg,hagrid,palm,,missing,train,1.0,
freihand_00018644,freihand,unknown,5,original,train,1.0,
freihand_00012290,freihand,unknown,4,original,train,1.0,
freihand_00026853,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
palm_0009.jpg,hagrid,palm,,missing,train,1.0,
freihand_00026358,freihand,unknown,4,original,train,1.0,
palm_0009.jpg,hagrid,palm,,missing,train,1.0,
freihand_00016420,freihand,unknown,2,original,train,2.0,
freihand_00031047,freihand,unknown,2,original,train,2.0,
freihand_00031623,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
palm_0010.jpg,hagrid,palm,,missing,train,1.0,
palm_0001.jpg,hagrid,palm,,missing,train,1.0,
freihand_00005081,freihand,unknown,6,original,train,1.0,
palm_0007.jpg,hagrid,palm,,missing,train,1.0,
freihand_00002194,freihand,unknown,7,original,train,1.0,
palm_0004.jpg,hagrid,palm,,missing,train,1.0,
freihand_00009426,freihand,unknown,4,original,train,1.0,
freihand_00027267,freihand,unknown,9,original,train,1.0,color_jitter_dark_candidate
freihand_00018880,freihand,unknown,5,original,train,1.0,
freihand_00028916,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
freihand_00017228,freihand,unknown,6,original,train,1.0,
palm_0008.jpg,hagrid,palm,,missing,train,1.0,
palm_0003.jpg,hagrid,palm,,missing,train,1.0,
palm_0008.jpg,hagrid,palm,,missing,train,1.0,
freihand_00031000,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
palm_0004.jpg,hagrid,palm,,missing,train,1.0,
freihand_00000824,freihand,unknown,6,original,train,1.0,
palm_0006.jpg,hagrid,palm,,missing,train,1.0,
freihand_00011613,freihand,unknown,2,original,train,2.0,
palm_0006.jpg,hagrid,palm,,missing,train,1.0,
freihand_00019591,freihand,unknown,4,original,train,1.0,
freihand_00028851,freihand,unknown,4,original,train,1.0,
freihand_00024558,freihand,unknown,7,original,train,1.0,
palm_0001.jpg,hagrid,palm,,missing,train,1.0,
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
freihand_00026002,freihand,unknown,4,original,train,1.0,
freihand_00026290,freihand,unknown,4,original,train,1.0,
freihand_00022841,freihand,unknown,7,original,train,1.0,
freihand_00016034,freihand,unknown,4,original,train,1.0,
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
freihand_00032000,freihand,unknown,6,original,train,1.0,
freihand_00009603,freihand,unknown,6,original,train,1.0,
freihand_00007528,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
freihand_00014639,freihand,unknown,5,original,train,1.0,
freihand_00030359,freihand,unknown,4,original,train,1.0,
freihand_00019366,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
freihand_00019691,freihand,unknown,5,original,train,1.0,
freihand_00001291,freihand,unknown,4,original,train,1.0,
freihand_00017215,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
freihand_00025136,freihand,unknown,9,original,train,1.0,color_jitter_dark_candidate
palm_0010.jpg,hagrid,palm,,missing,train,1.0,
freihand_00000633,freihand,unknown,5,original,train,1.0,
palm_0009.jpg,hagrid,palm,,missing,train,1.0,
freihand_00032135,freihand,unknown,2,original,train,2.0,
palm_0002.jpg,hagrid,palm,,missing,train,1.0,
fist_0002.jpg,hagrid,fist,,missing,train,1.0,
freihand_00016902,freihand,unknown,5,original,train,1.0,
fist_0005.jpg,hagrid,fist,,missing,train,1.0,
palm_0001.jpg,hagrid,palm,,missing,train,1.0,
palm_0008.jpg,hagrid,palm,,missing,train,1.0,
freihand_00028457,freihand,unknown,4,original,train,1.0,
freihand_00030959,freihand,unknown,4,original,train,1.0,
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
palm_0009.jpg,hagrid,palm,,missing,train,1.0,
palm_0005.jpg,hagrid,palm,,missing,train,1.0,
freihand_00029690,freihand,unknown,8,original,train,1.0,color_jitter_dark_candidate
palm_0004.jpg,hagrid,palm,,missing,train,1.0,
fist_0002.jpg,hagrid,fist,,missing,train,1.0,
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
palm_0007.jpg,hagrid,palm,,missing,train,1.0,
palm_0004.jpg,hagrid,palm,,missing,train,1.0,
freihand_00031763,freihand,unknown,5,original,train,1.0,
freihand_00031198,freihand,unknown,7,original,train,1.0,
freihand_00021478,freihand,unknown,4,original,train,1.0,
fist_0001.jpg,hagrid,fist,,missing,train,1.0,
freihand_00022678,freihand,unknown,7,original,train,1.0,
freihand_00029110,freihand,unknown,7,original,train,1.0,
palm_0007.jpg,hagrid,palm,,missing,train,1.0,
