sample_id,source,gesture,mst,split,sampling_weight,augmentation_hint
0720d489-2404-4806-8f3e-f77558a1399e,hagrid,fist,,train,1.0,
freihand_00003658,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00002973,freihand,unknown,4,train,1.0,
66975140-9845-456b-a440-6a5de82ddb6b,hagrid,stop_inverted,,train,1.0,
03094c0a-499c-4daa-8ffd-a2911c0561d0,hagrid,peace,,train,1.0,
00f19f0d-a176-4669-a583-3e16d21cc1d0,hagrid,rock,,train,1.0,
16b42dcd-04de-4aca-b99b-ba3f9bc34b15,hagrid,stop_inverted,,train,1.0,
06eb85ff-e3a7-4d9e-a232-75f635985837,hagrid,ok,,train,1.0,
freihand_00002055,freihand,unknown,6,train,1.0,
012d8a6b-8c04-4b15-8d73-04242de0ae92,hagrid,palm,,train,1.0,
024a0d05-c626-4dcb-aeac-7d1cd6ebe065,hagrid,fist,,train,1.0,
freihand_00002766,freihand,unknown,7,train,1.0,
freihand_00004316,freihand,unknown,7,train,1.0,
02dc8d48-79af-4249-a6fd-4fa3cd75d353,hagrid,dislike,,train,1.0,
freihand_00002037,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
068a9650-dd35-41b7-bd2b-58978159e7da,hagrid,fist,,train,1.0,
03f2a288-e00f-4683-b41a-6a8f4296013a,hagrid,dislike,,train,1.0,
freihand_00000035,freihand,unknown,6,train,1.0,
freihand_00002318,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00000295,freihand,unknown,6,train,1.0,
71d7f2cf-a43c-453b-9ca8-e18ace2bed42,hagrid,two_up,,train,1.0,
02ea9c0a-deda-49d3-9356-c011ff4c45dc,hagrid,ok,,train,1.0,
freihand_00004309,freihand,unknown,10,train,2.0,
freihand_00003592,freihand,unknown,3,train,2.0,
freihand_00002532,freihand,unknown,3,train,2.0,
0305dbbb-1763-408f-9620-2b0fcfe16682,hagrid,ok,,train,1.0,
3f69e45e-b6af-456a-89d0-587162f5b859,hagrid,three,,train,1.0,
01344aef-0d9a-4c31-a780-304d7254cbb1,hagrid,four,,train,1.0,
freihand_00003773,freihand,unknown,4,train,1.0,
059d6174-f7e9-4549-93ca-49e9c079f0bc,hagrid,one,,train,1.0,
2fd15650-ecad-4bb4-b290-d744be5ec7eb,hagrid,three,,train,1.0,
00f33929-6855-46b7-93db-4a3d86c91b50,hagrid,fist,,train,1.0,
02eac8bf-ed77-4bf0-a34c-f52224d285b3,hagrid,mute,,train,1.0,
d19b238d-4832-4a1a-a5c2-4f8d3dd37a35,hagrid,three2,,train,1.0,
031a643e-ee00-4ecf-bada-daca0aa5c0c7,hagrid,like,,train,1.0,
freihand_00003775,freihand,unknown,6,train,1.0,
freihand_00001995,freihand,unknown,6,train,1.0,
freihand_00002898,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00000761,freihand,unknown,2,train,2.0,
02be3f4a-af89-4bc9-ac69-fc65c45ae34d,hagrid,one,,train,1.0,
freihand_00003122,freihand,unknown,3,train,2.0,
08aa21fa-6d9e-4b0e-a3b8-c5711bf9fccb,hagrid,three2,,train,1.0,
062704b2-58a6-42d6-866c-97a5564732f0,hagrid,dislike,,train,1.0,
freihand_00002980,freihand,unknown,1,train,2.0,
0503a768-5363-4faa-9b96-f709890620a6,hagrid,palm,,train,1.0,
freihand_00004638,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
044b8e31-bc7f-429d-971d-8e162afbc5aa,hagrid,four,,train,1.0,
062672a3-dcdf-4f38-a6fa-c3d795e9142d,hagrid,palm,,train,1.0,
freihand_00003234,freihand,unknown,5,train,1.0,
freihand_00000308,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00004004,freihand,unknown,5,train,1.0,
003f2700-fdf5-47c0-8f14-25f022d22d1d,hagrid,stop,,train,1.0,
freihand_00004599,freihand,unknown,10,train,2.0,
freihand_00000078,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00001700,freihand,unknown,1,train,2.0,
freihand_00001187,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
a1fb16e3-a2d6-4187-ba20-ea3d4cba802d,hagrid,peace_inverted,,train,1.0,
freihand_00001654,freihand,unknown,5,train,1.0,
freihand_00001462,freihand,unknown,3,train,2.0,
freihand_00002832,freihand,unknown,3,train,2.0,
04042884-b6f2-489d-86f0-95753a605f91,hagrid,like,,train,1.0,
02ffb2f1-53f7-4f94-8c50-888adf888f22,hagrid,dislike,,train,1.0,
freihand_00004377,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
freihand_00003295,freihand,unknown,6,train,1.0,
123f9ac4-5b49-48e2-8b95-63c9d316f9fe,hagrid,stop_inverted,,train,1.0,
freihand_00001863,freihand,unknown,4,train,1.0,
freihand_00003841,freihand,unknown,2,train,2.0,
05a03461-338f-4b4e-9b41-06e0dd052f6c,hagrid,like,,train,1.0,
00c77059-12b4-4334-93e5-545d100179fb,hagrid,dislike,,train,1.0,
freihand_00000790,freihand,unknown,1,train,2.0,
freihand_00000474,freihand,unknown,5,train,1.0,
freihand_00000707,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
03dcd6c5-6f97-4cb8-8310-2bbaa3f7c6bb,hagrid,like,,train,1.0,
000d3f03-ca4b-44cc-8d8c-cdd12735e35b,hagrid,mute,,train,1.0,
0d347dbb-efdc-469d-b231-98b1faf48344,hagrid,three2,,train,1.0,
0644de5a-1738-44ee-9399-5ca61dc05985,hagrid,dislike,,train,1.0,
00bea9e7-add1-4cc3-b4bc-bcf234966a77,hagrid,like,,train,1.0,
freihand_00002944,freihand,unknown,5,train,1.0,
freihand_00003644,freihand,unknown,5,train,1.0,
04ba263b-3d25-4dc9-9918-7a6075280718,hagrid,like,,train,1.0,
00239a96-1f58-435b-ae34-4ed8a112ee8f,hagrid,rock,,train,1.0,
0748fbd2-7dff-46aa-9e6b-991a011cbd3c,hagrid,ok,,train,1.0,
freihand_00000489,freihand,unknown,10,train,2.0,
b7dda63d-3f4d-4e08-b453-287b1fbdaee7,hagrid,two_up_inverted,,train,1.0,
freihand_00003653,freihand,unknown,4,train,1.0,
freihand_00001201,freihand,unknown,2,train,2.0,
freihand_00002636,freihand,unknown,7,train,1.0,
freihand_00000391,freihand,unknown,2,train,2.0,
2ee36c1c-361e-424e-b191-62eee220da3c,hagrid,peace_inverted,,train,1.0,
freihand_00004922,freihand,unknown,3,train,2.0,
freihand_00000274,freihand,unknown,5,train,1.0,
freihand_00004301,freihand,unknown,2,train,2.0,
2bffe51f-e4ed-42e0-b41c-bec86614336d,hagrid,two_up_inverted,,train,1.0,
freihand_00004709,freihand,unknown,10,train,2.0,
freihand_00000626,freihand,unknown,7,train,1.0,
freihand_00002708,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00000288,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
01a20793-35c5-4e55-903f-34b5a0ac993e,hagrid,peace,,train,1.0,
c2330176-5c26-45e0-92ba-3445af33e7e5,hagrid,three2,,train,1.0,
6d6ada5f-824a-4529-94f7-a96f525b748d,hagrid,call,,train,1.0,
5d7445de-6d12-4eba-b4e9-c757b6c4cb54,hagrid,two_up,,train,1.0,
freihand_00003266,freihand,unknown,7,train,1.0,
13714189-bba7-471e-b883-d14da7107441,hagrid,call,,train,1.0,
freihand_00000379,freihand,unknown,10,train,2.0,
002f3c49-9d32-48dc-a43c-ea558bd7a662,hagrid,mute,,train,1.0,
50b1d6a0-78ca-4726-88d8-5f425ded4b0b,hagrid,two_up,,train,1.0,
0304afac-ddac-4aa4-b172-6a1368adf025,hagrid,mute,,train,1.0,
freihand_00000324,freihand,unknown,5,train,1.0,
1ecd6dc7-7476-4d0a-82a2-b7e546c2405c,hagrid,three,,train,1.0,
freihand_00004883,freihand,unknown,4,train,1.0,
014ef7eb-273d-4143-b77e-bbfd2bac0bf6,hagrid,stop,,train,1.0,
2719d117-1915-4fc5-818d-5ca294ac56db,hagrid,stop_inverted,,train,1.0,
033e8fa8-d6d2-4151-ae06-679266a4569a,hagrid,one,,train,1.0,
161fc79c-d316-42af-b45a-6f1f37b0d31d,hagrid,three2,,train,1.0,
033bfb01-2a77-4390-a2cb-adabdf960092,hagrid,rock,,train,1.0,
freihand_00003296,freihand,unknown,7,train,1.0,
02eabc23-afa0-4e69-9cda-4c5419758d29,hagrid,rock,,train,1.0,
559b7c8d-b8d1-429e-92c6-9aa0784916bc,hagrid,call,,train,1.0,
freihand_00002035,freihand,unknown,6,train,1.0,
freihand_00003565,freihand,unknown,6,train,1.0,
freihand_00002539,freihand,unknown,10,train,2.0,
freihand_00004853,freihand,unknown,4,train,1.0,
freihand_00002574,freihand,unknown,5,train,1.0,
freihand_00000919,freihand,unknown,10,train,2.0,
freihand_00004610,freihand,unknown,1,train,2.0,
freihand_00001192,freihand,unknown,3,train,2.0,
freihand_00000304,freihand,unknown,5,train,1.0,
0583a7e4-d4a3-4a5a-bdd2-66ae2170279c,hagrid,like,,train,1.0,
011e271d-2d04-47eb-a46c-2bf049445ef7,hagrid,peace,,train,1.0,
freihand_00000828,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00001921,freihand,unknown,2,train,2.0,
freihand_00001774,freihand,unknown,5,train,1.0,
freihand_00003446,freihand,unknown,7,train,1.0,
freihand_00003034,freihand,unknown,5,train,1.0,
027b34aa-20a1-4267-8765-08a47a46eee7,hagrid,one,,train,1.0,
freihand_00000348,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00001089,freihand,unknown,10,train,2.0,
freihand_00004047,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
freihand_00002365,freihand,unknown,6,train,1.0,
f9508fd3-7a6b-4d7e-9385-dd54a88ce456,hagrid,two_up,,train,1.0,
05c87ec4-e35b-494f-a13e-cdd4b4e001af,hagrid,one,,train,1.0,
0032e8d0-b9ca-449d-a27e-91fa335a8b75,hagrid,stop_inverted,,train,1.0,
freihand_00002409,freihand,unknown,10,train,2.0,
freihand_00001252,freihand,unknown,3,train,2.0,
4c4c089f-6b46-4d4b-8df9-f6b5468de030,hagrid,peace_inverted,,train,1.0,
freihand_00004517,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
04303733-406d-48b0-819a-5ac1c53391f1,hagrid,one,,train,1.0,
04fe45b8-16c1-4bd2-a2ec-798dd858e096,hagrid,ok,,train,1.0,
freihand_00003929,freihand,unknown,10,train,2.0,
freihand_00000956,freihand,unknown,7,train,1.0,
freihand_00002426,freihand,unknown,7,train,1.0,
0f6b8ea3-7fdf-4a75-902b-ff81d97f5f45,hagrid,peace_inverted,,train,1.0,
freihand_00004590,freihand,unknown,1,train,2.0,
036d5d2a-1d05-4b94-8dee-9dcef7abcf55,hagrid,stop,,train,1.0,
046633bd-db9a-4cca-a6a9-4cc7387d7ff3,hagrid,palm,,train,1.0,
069ce1c5-70fb-4dbf-8f7b-83a4037e79c2,hagrid,fist,,train,1.0,
freihand_00004421,freihand,unknown,2,train,2.0,
11fcacf5-c46f-4978-bb0e-17dbd6a92a21,hagrid,three2,,train,1.0,
freihand_00003751,freihand,unknown,2,train,2.0,
1d74fd77-1320-44d3-8552-d86e0fd1c3a3,hagrid,peace_inverted,,train,1.0,
freihand_00000802,freihand,unknown,3,train,2.0,
freihand_00002695,freihand,unknown,6,train,1.0,
4e5da40f-d6b1-4832-a2f1-9e09f1fec80b,hagrid,call,,train,1.0,
06cf2846-61c0-4105-b8fb-567e67a56cc3,hagrid,four,,train,1.0,
0180507d-61d2-41d3-bb32-21eed46839d9,hagrid,stop_inverted,,train,1.0,
0310fda4-0ec0-4035-8187-89d1f6fbff1d,hagrid,four,,train,1.0,
06c26e1e-4adb-41e8-a472-d53626255b1c,hagrid,dislike,,train,1.0,
freihand_00002991,freihand,unknown,2,train,2.0,
3f8cf47c-2bd8-4e4d-b25a-740eaa301b87,hagrid,three,,train,1.0,
02b942fe-b8c5-4162-976d-38870da86c39,hagrid,peace,,train,1.0,
freihand_00004824,freihand,unknown,5,train,1.0,
021d48e0-f9ac-4f32-a5bf-dc3f2cf77d57,hagrid,one,,train,1.0,
d6018575-1b38-44cf-9945-87c6731bc1c1,hagrid,two_up,,train,1.0,
freihand_00000949,freihand,unknown,10,train,2.0,
68def5d5-3f62-4b16-9904-0a9e7fdc9a58,hagrid,call,,train,1.0,
01f606f5-6e63-45df-baed-7e39b6eb1b22,hagrid,palm,,train,1.0,
freihand_00002256,freihand,unknown,7,train,1.0,
01fcbb49-0295-44b6-aeea-3757745d6e4a,hagrid,stop,,train,1.0,
2a21eb33-87c0-4522-872f-b4802217b8ed,hagrid,stop_inverted,,train,1.0,
13c9ac86-4335-4b9a-825c-f18ec8f86bc1,hagrid,three,,train,1.0,
freihand_00000469,freihand,unknown,10,train,2.0,
freihand_00002661,freihand,unknown,2,train,2.0,
freihand_00003610,freihand,unknown,1,train,2.0,
freihand_00002441,freihand,unknown,2,train,2.0,
freihand_00002884,freihand,unknown,5,train,1.0,
freihand_00000553,freihand,unknown,4,train,1.0,
050e7192-2e54-4f66-91af-5a6ac7a31dea,hagrid,like,,train,1.0,
0318f283-f7c2-4dba-87f4-194f5fbc570b,hagrid,mute,,train,1.0,
51aa5457-0f29-48b2-976a-e2facfda1e5e,hagrid,three2,,train,1.0,
freihand_00001394,freihand,unknown,5,train,1.0,
0453b63a-8cf9-4b64-894b-e57dc07c5306,hagrid,fist,,train,1.0,
021b8892-981e-43e9-8ebb-09717be78feb,hagrid,four,,train,1.0,
freihand_00004031,freihand,unknown,2,train,2.0,
freihand_00002340,freihand,unknown,1,train,2.0,
freihand_00004259,freihand,unknown,10,train,2.0,
freihand_00003536,freihand,unknown,7,train,1.0,
029ad35c-610b-4389-8a5a-f5b7f676d19b,hagrid,like,,train,1.0,
2da6a0ef-67a4-4e7e-84cc-54bd860dddc1,hagrid,three,,train,1.0,
freihand_00000012,freihand,unknown,3,train,2.0,
0183ad2a-aa2a-4b95-9864-49a9abb07454,hagrid,rock,,train,1.0,
freihand_00003803,freihand,unknown,4,train,1.0,
