sample_id,path_landmarks,label,condition,dataset,mst,mst_origin,split
0078ace3-28c7-4bac-961d-7184977433cf,data\processed\landmarks\hagrid\stop\0078ace3-28c7-4bac-961d-7184977433cf.npy,stop,claro,hagrid,3,imputed,train
02eabc23-afa0-4e69-9cda-4c5419758d29,data\processed\landmarks\hagrid\rock\02eabc23-afa0-4e69-9cda-4c5419758d29.npy,rock,claro,hagrid,1,imputed,train
freihand_00010565,data\processed\landmarks\freihand\00010565.npy,unknown,medio,freihand,6,imputed,train
freihand_00005608,data\processed\landmarks\freihand\00005608.npy,unknown,oscuro,freihand,10,imputed,train
00453bde-c1ad-48ff-bad2-2141480dbcdc,data\processed\landmarks\hagrid\palm\00453bde-c1ad-48ff-bad2-2141480dbcdc.npy,palm,claro,hagrid,1,imputed,train
01fcbb49-0295-44b6-aeea-3757745d6e4a,data\processed\landmarks\hagrid\stop\01fcbb49-0295-44b6-aeea-3757745d6e4a.npy,stop,oscuro,hagrid,10,imputed,train
freihand_00020973,data\processed\landmarks\freihand\00020973.npy,unknown,oscuro,freihand,9,imputed,train
00d6f1ba-3f7b-4dbe-aa82-5ae6b75304d5,data\processed\landmarks\hagrid\stop\00d6f1ba-3f7b-4dbe-aa82-5ae6b75304d5.npy,stop,medio,hagrid,6,imputed,train
24d89868-d99d-4840-bb95-75cded598896,data\processed\landmarks\hagrid\stop_inverted\24d89868-d99d-4840-bb95-75cded598896.npy,stop_inverted,oscuro,hagrid,9,imputed,train
00d5944d-922c-4f56-bf60-2d9c4ade51a7,data\processed\landmarks\hagrid\dislike\00d5944d-922c-4f56-bf60-2d9c4ade51a7.npy,dislike,medio,hagrid,5,imputed,train
freihand_00010970,data\processed\landmarks\freihand\00010970.npy,unknown,medio,freihand,5,imputed,train
0096650d-20f4-4175-8dec-3e27f95915cc,data\processed\landmarks\hagrid\ok\0096650d-20f4-4175-8dec-3e27f95915cc.npy,ok,oscuro,hagrid,9,imputed,train
02d6958d-b7ee-457a-9ef3-c17cc3cf90d3,data\processed\landmarks\hagrid\three\02d6958d-b7ee-457a-9ef3-c17cc3cf90d3.npy,three,medio,hagrid,5,imputed,train
freihand_00027105,data\processed\landmarks\freihand\00027105.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00009028,data\processed\landmarks\freihand\00009028.npy,unknown,claro,freihand,1,imputed,train
freihand_00012281,data\processed\landmarks\freihand\00012281.npy,unknown,medio,freihand,5,imputed,train
03727ef5-f701-42c6-951f-6c1e4d645358,data\processed\landmarks\hagrid\fist\03727ef5-f701-42c6-951f-6c1e4d645358.npy,fist,claro,hagrid,1,imputed,train
793ab286-adbc-4308-93b8-0f1bba0ccb81,data\processed\landmarks\hagrid\stop_inverted\793ab286-adbc-4308-93b8-0f1bba0ccb81.npy,stop_inverted,medio,hagrid,5,imputed,train
033bfb01-2a77-4390-a2cb-adabdf960092,data\processed\landmarks\hagrid\rock\033bfb01-2a77-4390-a2cb-adabdf960092.npy,rock,claro,hagrid,1,imputed,train
2cd57cd1-99cb-4289-b35d-ef6a9d679015,data\processed\landmarks\hagrid\stop_inverted\2cd57cd1-99cb-4289-b35d-ef6a9d679015.npy,stop_inverted,oscuro,hagrid,9,imputed,train
358e7185-545b-470d-94bf-68f88df59805,data\processed\landmarks\hagrid\three2\358e7185-545b-470d-94bf-68f88df59805.npy,three2,oscuro,hagrid,10,imputed,train
freihand_00027695,data\processed\landmarks\freihand\00027695.npy,unknown,medio,freihand,6,imputed,train
01841342-56ea-4bb6-90df-6381b224731a,data\processed\landmarks\hagrid\ok\01841342-56ea-4bb6-90df-6381b224731a.npy,ok,medio,hagrid,6,imputed,train
freihand_00005416,data\processed\landmarks\freihand\00005416.npy,unknown,oscuro,freihand,10,imputed,train
00857019-2ed4-4723-9311-4654e8f1d03a,data\processed\landmarks\hagrid\stop\00857019-2ed4-4723-9311-4654e8f1d03a.npy,stop,claro,hagrid,3,imputed,train
012eeb3c-64a0-44b4-955c-0916e038ac44,data\processed\landmarks\hagrid\rock\012eeb3c-64a0-44b4-955c-0916e038ac44.npy,rock,oscuro,hagrid,10,imputed,train
freihand_00017435,data\processed\landmarks\freihand\00017435.npy,unknown,medio,freihand,6,imputed,train
freihand_00025660,data\processed\landmarks\freihand\00025660.npy,unknown,claro,freihand,1,imputed,train
freihand_00018716,data\processed\landmarks\freihand\00018716.npy,unknown,medio,freihand,7,imputed,train
freihand_00006612,data\processed\landmarks\freihand\00006612.npy,unknown,oscuro,freihand,10,imputed,train
01a32780-812b-4d8b-90b4-4f0fb902448b,data\processed\landmarks\hagrid\dislike\01a32780-812b-4d8b-90b4-4f0fb902448b.npy,dislike,oscuro,hagrid,10,imputed,train
freihand_00032372,data\processed\landmarks\freihand\00032372.npy,unknown,medio,freihand,6,imputed,train
freihand_00018920,data\processed\landmarks\freihand\00018920.npy,unknown,medio,freihand,7,imputed,train
61ea0856-59bf-4354-8fa7-19fc41adc4b4,data\processed\landmarks\hagrid\stop_inverted\61ea0856-59bf-4354-8fa7-19fc41adc4b4.npy,stop_inverted,oscuro,hagrid,8,imputed,train
04ef455f-cec2-45a8-ab3e-34f4560035e0,data\processed\landmarks\hagrid\rock\04ef455f-cec2-45a8-ab3e-34f4560035e0.npy,rock,medio,hagrid,6,imputed,train
05543aff-cf3f-47b5-8902-6c3ded7e1850,data\processed\landmarks\hagrid\mute\05543aff-cf3f-47b5-8902-6c3ded7e1850.npy,mute,medio,hagrid,6,imputed,train
14ed7575-5f52-4728-b0c5-f6ee3580b895,data\processed\landmarks\hagrid\two_up_inverted\14ed7575-5f52-4728-b0c5-f6ee3580b895.npy,two_up_inverted,medio,hagrid,5,imputed,train
cba847bb-17b1-48b3-98cb-b8a58393670f,data\processed\landmarks\hagrid\two_up\cba847bb-17b1-48b3-98cb-b8a58393670f.npy,two_up,oscuro,hagrid,9,imputed,train
2eb70e2d-edd7-4467-b46b-1c089515d4c6,data\processed\landmarks\hagrid\three\2eb70e2d-edd7-4467-b46b-1c089515d4c6.npy,three,claro,hagrid,4,imputed,train
78b716c8-07dc-41c3-b284-1ae4e7fd1321,data\processed\landmarks\hagrid\two_up_inverted\78b716c8-07dc-41c3-b284-1ae4e7fd1321.npy,two_up_inverted,claro,hagrid,1,imputed,train
freihand_00005573,data\processed\landmarks\freihand\00005573.npy,unknown,medio,freihand,6,imputed,train
freihand_00014589,data\processed\landmarks\freihand\00014589.npy,unknown,oscuro,freihand,8,imputed,train
058b3a93-e191-4d61-a509-db84b292905a,data\processed\landmarks\hagrid\four\058b3a93-e191-4d61-a509-db84b292905a.npy,four,medio,hagrid,7,imputed,train
3cf1ca1b-f8a0-4a7f-b00b-cbc6095c5bb2,data\processed\landmarks\hagrid\three2\3cf1ca1b-f8a0-4a7f-b00b-cbc6095c5bb2.npy,three2,oscuro,hagrid,10,imputed,train
02da8b60-e28c-41c2-a290-f77e3d0043f9,data\processed\landmarks\hagrid\mute\02da8b60-e28c-41c2-a290-f77e3d0043f9.npy,mute,oscuro,hagrid,8,imputed,train
01d3dbd9-b391-4167-9e44-9f0d00bcedb3,data\processed\landmarks\hagrid\fist\01d3dbd9-b391-4167-9e44-9f0d00bcedb3.npy,fist,oscuro,hagrid,10,imputed,train
005731ed-cab2-44c5-8fbc-384005cee981,data\processed\landmarks\hagrid\four\005731ed-cab2-44c5-8fbc-384005cee981.npy,four,claro,hagrid,3,imputed,train
0365c560-23a3-4138-b8c5-52ba6de13caf,data\processed\landmarks\hagrid\four\0365c560-23a3-4138-b8c5-52ba6de13caf.npy,four,oscuro,hagrid,8,imputed,train
03e6bddc-ef68-43be-a41c-57432c47da81,data\processed\landmarks\hagrid\one\03e6bddc-ef68-43be-a41c-57432c47da81.npy,one,oscuro,hagrid,9,imputed,train
freihand_00001320,data\processed\landmarks\freihand\00001320.npy,unknown,claro,freihand,1,original,train
00c7d5f3-ff27-455c-8b6e-cdc54aaaf427,data\processed\landmarks\hagrid\four\00c7d5f3-ff27-455c-8b6e-cdc54aaaf427.npy,four,medio,hagrid,5,imputed,train
freihand_00030982,data\processed\landmarks\freihand\00030982.npy,unknown,claro,freihand,4,imputed,train
079b7183-54e4-4da9-907a-f31f22e415aa,data\processed\landmarks\hagrid\palm\079b7183-54e4-4da9-907a-f31f22e415aa.npy,palm,claro,hagrid,2,imputed,train
0201aba4-c5c3-43d5-8d18-2576d2614da1,data\processed\landmarks\hagrid\palm\0201aba4-c5c3-43d5-8d18-2576d2614da1.npy,palm,medio,hagrid,5,imputed,train
d75c5fd0-a89d-4979-9eae-2e67b94058a7,data\processed\landmarks\hagrid\stop_inverted\d75c5fd0-a89d-4979-9eae-2e67b94058a7.npy,stop_inverted,oscuro,hagrid,10,imputed,train
freihand_00007973,data\processed\landmarks\freihand\00007973.npy,unknown,medio,freihand,5,imputed,train
b649b378-e921-4d02-9fd8-c0fe830c6be5,data\processed\landmarks\hagrid\two_up\b649b378-e921-4d02-9fd8-c0fe830c6be5.npy,two_up,oscuro,hagrid,10,imputed,train
7e19eaf6-c248-4189-96bb-0f04072c53b4,data\processed\landmarks\hagrid\stop_inverted\7e19eaf6-c248-4189-96bb-0f04072c53b4.npy,stop_inverted,medio,hagrid,5,imputed,train
038d76ed-9d15-42f3-8a1c-78f4870addc5,data\processed\landmarks\hagrid\stop\038d76ed-9d15-42f3-8a1c-78f4870addc5.npy,stop,oscuro,hagrid,10,imputed,train
freihand_00027935,data\processed\landmarks\freihand\00027935.npy,unknown,medio,freihand,6,imputed,train
freihand_00022030,data\processed\landmarks\freihand\00022030.npy,unknown,claro,freihand,1,imputed,train
02f44a51-5ef9-4c9b-8c8a-bd2bac996f62,data\processed\landmarks\hagrid\one\02f44a51-5ef9-4c9b-8c8a-bd2bac996f62.npy,one,oscuro,hagrid,10,imputed,train
066dfd6d-0c94-4e97-9db7-5eb10b01d885,data\processed\landmarks\hagrid\four\066dfd6d-0c94-4e97-9db7-5eb10b01d885.npy,four,medio,hagrid,5,imputed,train
freihand_00030786,data\processed\landmarks\freihand\00030786.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00016995,data\processed\landmarks\freihand\00016995.npy,unknown,oscuro,freihand,9,imputed,train
a293035c-1622-4e71-8fb6-bfff2014c607,data\processed\landmarks\hagrid\peace_inverted\a293035c-1622-4e71-8fb6-bfff2014c607.npy,peace_inverted,oscuro,hagrid,10,imputed,train
freihand_00014154,data\processed\landmarks\freihand\00014154.npy,unknown,oscuro,freihand,10,imputed,train
718064f8-1f12-467a-9a6f-076e1d95c2e1,data\processed\landmarks\hagrid\call\718064f8-1f12-467a-9a6f-076e1d95c2e1.npy,call,medio,hagrid,7,imputed,train
0744fba0-78e6-4789-9372-34e5d8ed2b7e,data\processed\landmarks\hagrid\peace_inverted\0744fba0-78e6-4789-9372-34e5d8ed2b7e.npy,peace_inverted,claro,hagrid,2,imputed,train
freihand_00018072,data\processed\landmarks\freihand\00018072.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00016460,data\processed\landmarks\freihand\00016460.npy,unknown,medio,freihand,5,imputed,train
f7713264-f147-47f3-ace3-e3a8b1492e25,data\processed\landmarks\hagrid\stop_inverted\f7713264-f147-47f3-ace3-e3a8b1492e25.npy,stop_inverted,medio,hagrid,5,imputed,train
020cd45b-a632-4bd1-b769-c66c8806fc00,data\processed\landmarks\hagrid\like\020cd45b-a632-4bd1-b769-c66c8806fc00.npy,like,claro,hagrid,2,imputed,train
freihand_00014037,data\processed\landmarks\freihand\00014037.npy,unknown,oscuro,freihand,9,imputed,train
04fa64d2-ab5d-430f-b187-54a62196ead3,data\processed\landmarks\hagrid\mute\04fa64d2-ab5d-430f-b187-54a62196ead3.npy,mute,claro,hagrid,2,imputed,train
08df4a1d-0e1f-4fd8-8c35-86d173dcddf5,data\processed\landmarks\hagrid\stop_inverted\08df4a1d-0e1f-4fd8-8c35-86d173dcddf5.npy,stop_inverted,claro,hagrid,1,imputed,train
80519117-79c7-48e0-8cd3-a8bb78908c6e,data\processed\landmarks\hagrid\peace_inverted\80519117-79c7-48e0-8cd3-a8bb78908c6e.npy,peace_inverted,oscuro,hagrid,9,imputed,train
freihand_00007535,data\processed\landmarks\freihand\00007535.npy,unknown,medio,freihand,5,imputed,train
freihand_00011526,data\processed\landmarks\freihand\00011526.npy,unknown,oscuro,freihand,10,imputed,train
044b8e31-bc7f-429d-971d-8e162afbc5aa,data\processed\landmarks\hagrid\four\044b8e31-bc7f-429d-971d-8e162afbc5aa.npy,four,oscuro,hagrid,10,imputed,train
068a9650-dd35-41b7-bd2b-58978159e7da,data\processed\landmarks\hagrid\fist\068a9650-dd35-41b7-bd2b-58978159e7da.npy,fist,medio,hagrid,7,imputed,train
freihand_00017847,data\processed\landmarks\freihand\00017847.npy,unknown,oscuro,freihand,8,imputed,train
0131a5c7-17a4-4d07-965d-2cba66e90ec8,data\processed\landmarks\hagrid\palm\0131a5c7-17a4-4d07-965d-2cba66e90ec8.npy,palm,medio,hagrid,7,imputed,train
1cbced9e-6947-4ad7-a523-4722c46b1efb,data\processed\landmarks\hagrid\three2\1cbced9e-6947-4ad7-a523-4722c46b1efb.npy,three2,oscuro,hagrid,10,imputed,train
0073e816-7b68-47da-8552-9297c6e417e8,data\processed\landmarks\hagrid\stop\0073e816-7b68-47da-8552-9297c6e417e8.npy,stop,oscuro,hagrid,10,imputed,train
freihand_00017261,data\processed\landmarks\freihand\00017261.npy,unknown,medio,freihand,6,imputed,train
freihand_00021650,data\processed\landmarks\freihand\00021650.npy,unknown,medio,freihand,6,imputed,train
freihand_00008171,data\processed\landmarks\freihand\00008171.npy,unknown,medio,freihand,5,imputed,train
freihand_00024157,data\processed\landmarks\freihand\00024157.npy,unknown,claro,freihand,3,imputed,train
freihand_00030763,data\processed\landmarks\freihand\00030763.npy,unknown,claro,freihand,4,imputed,train
