sample_id,label,mst,condition,correcto,attn_max_nodo
1d33acb4-2c5a-4b33-850e-9c8c625fd855,call,4,claro,1,4
05c70758-d8e1-48cd-82c6-28fec6226b66,four,10,oscuro,0,12
05b9f9ab-6a12-4450-8cb5-7be7b2f22fd1,one,10,oscuro,1,8
d405368c-4738-4a91-b5fa-39819bec229a,two_up,10,oscuro,1,11
033442b4-5a22-499d-9b25-e4eebfc9de76,rock,4,claro,1,20
0148cde9-a86d-47a3-a0bf-ca4659042aab,dislike,6,medio,1,19
0015135c-bdb9-409a-82ef-104b4d6690b0,peace_inverted,5,medio,1,8
0ae441fc-c9e6-4c78-8374-45f4eb49be6b,two_up_inverted,6,medio,1,7
05b2fd16-d43d-4e14-bfa6-cfb9d5706ef2,like,8,oscuro,1,4
0571117f-1046-4945-a359-e42b75511f3b,one,9,oscuro,0,8
03725111-5f59-4e87-854d-ba14b01c8606,dislike,1,claro,1,20
343ec356-544b-47cb-acc7-e7d0d0fd111e,three,1,claro,1,11
5a126d4a-dded-4a1e-83e7-68bbf5df85f4,three2,10,oscuro,1,1
01932a51-ac81-4fde-9e62-d70c79def69f,fist,5,medio,1,15
30656faf-d253-4576-9a07-025a0ea7d9f6,two_up_inverted,1,claro,1,8
0079a195-197e-4866-989b-d180e97c9513,mute,6,medio,1,8
042c535a-45fe-4c81-be1e-71a0b4348554,like,3,claro,0,4
f66f4adb-9849-4160-97db-5cd19f1caffe,two_up,10,oscuro,0,12
03a5acf2-a226-4f62-a2ff-2a6c507792d9,stop,10,oscuro,1,12
57974375-bb1c-447c-95c6-a7b23a69cbe6,stop_inverted,10,oscuro,1,8
023dab0c-feb3-4f8c-95c4-10b2c6bb9646,ok,6,medio,1,16
00ac6dfd-4e4c-40ac-9a16-1f411b4bb7f6,peace,3,claro,0,4
0454399c-529b-4c44-b7bc-e6a870c18110,rock,7,medio,1,19
02ca9b3b-d3d2-4dfd-b38a-fd8412c006a5,fist,10,oscuro,1,20
a1fb16e3-a2d6-4187-ba20-ea3d4cba802d,peace_inverted,5,medio,1,8
02f069af-8651-40d2-bb28-93268b6adef7,rock,9,oscuro,1,20
b2a0df3f-333a-4c4f-97cf-a61c017cf950,three2,10,oscuro,1,11
58e7fe0a-79e7-461c-a173-bd40020cac75,call,6,medio,0,20
003bc7ad-039c-46c6-a927-354b582c07c2,peace_inverted,9,oscuro,1,7
02e6a642-5dd4-485e-8109-7f26c4c6cef2,stop,7,medio,1,16
5005f505-2ab6-4fb0-9789-32e9dbc7f874,two_up,9,oscuro,1,12
5d3d6a28-98d9-4041-93d7-064a274132d9,stop_inverted,2,claro,1,8
0c37a064-ce13-4a86-8ea2-21ca415443bb,three2,6,medio,1,12
04dc7103-22b4-4025-8a8b-7e48b78ca3c7,mute,3,claro,1,8
0427b250-a020-4578-aeb8-e2d546dd38ee,peace,7,medio,0,12
012eeb3c-64a0-44b4-955c-0916e038ac44,rock,10,oscuro,1,19
05d73a69-72c7-4fc7-892d-84034980dd8d,peace,9,oscuro,1,12
06c26e1e-4adb-41e8-a472-d53626255b1c,dislike,3,claro,1,20
0313571e-da5f-4484-9683-465633cb8f38,rock,1,claro,0,1
50b1d6a0-78ca-4726-88d8-5f425ded4b0b,two_up,6,medio,1,12
02b6d1fb-16ac-4e0d-a7fd-1397da6d54f1,four,2,claro,1,15
01628eb2-125b-4a0d-958d-792d4ad61c5b,like,5,medio,1,4
033cdc3b-56db-45b5-b7ca-999884bbb341,four,10,oscuro,1,1
01dd0219-bc80-42b9-8a9a-5967cae6cf69,mute,3,claro,1,8
02a0f9ef-cfad-4862-abc2-d9604fdf08b9,rock,7,medio,1,20
a2545501-5880-4242-a04a-8acc83c4af32,two_up_inverted,5,medio,1,8
018b3f14-2244-41d0-9fde-ae2ffebc659c,mute,6,medio,1,8
000b9a1b-d3a5-459f-8326-31235348b807,mute,8,oscuro,1,8
0bcdcff6-cfba-426a-a122-511abaeb8ba2,three2,1,claro,0,1
03bc3f5f-ae3c-436e-9789-dbb15720a928,stop,6,medio,1,16
06568698-ee1a-45d2-9c54-4f3138937834,four,10,oscuro,1,20
00a99701-3778-40c0-a292-04278bb9d1e1,ok,6,medio,1,1
03a5acf2-a226-4f62-a2ff-2a6c507792d9,stop,10,oscuro,1,12
078f509f-e8ba-43ff-b0e5-5c40192c945e,fist,9,oscuro,1,14
00987a96-2cdd-4a5f-95a8-457d358a13c1,rock,5,medio,1,20
275c8bdc-cac9-4939-95bb-8554aafe7669,two_up,5,medio,1,12
0254066e-45c7-4f2c-a33f-c33f24f2d71c,fist,10,oscuro,1,20
ec445721-c4c9-47ca-ac15-1985887c2da8,two_up_inverted,8,oscuro,1,8
01711e1d-6941-45e9-94f0-9673d9432c87,ok,9,oscuro,1,20
e4b10493-60c2-4821-b101-06ab245478ae,two_up,3,claro,1,12
89722ade-afa8-4524-b485-2cf05af2ebd2,three2,6,medio,1,11
