sample_id,source,gesture,mst,split
0612fd35-c0a7-454e-be8d-ea19fa13266a,hagrid,peace,2,train
freihand_00012541,freihand,unknown,3,train
5764a93f-5546-4356-93ef-d94457f3b176,hagrid,call,1,train
00b64ffb-daf5-4e70-b28f-e837120a5e87,hagrid,dislike,4,train
freihand_00013336,freihand,unknown,1,train
freihand_00021967,freihand,unknown,3,train
freihand_00029116,freihand,unknown,1,train
0182dc90-3c8f-46f1-8ebb-f7e40cedf8c7,hagrid,dislike,4,train
freihand_00025585,freihand,unknown,1,train
332b7ed6-0232-4ac8-819b-3224ff864001,hagrid,stop_inverted,2,train
freihand_00010837,freihand,unknown,1,train
freihand_00029482,freihand,unknown,1,train
freihand_00018118,freihand,unknown,2,train
freihand_00030244,freihand,unknown,3,train
freihand_00021979,freihand,unknown,1,train
00736dda-248d-4662-9f92-daf4686ddac7,hagrid,four,3,train
57f82338-1911-4925-8354-5fff9ddd7089,hagrid,peace_inverted,1,train
freihand_00031489,freihand,unknown,4,train
freihand_00017929,freihand,unknown,4,train
freihand_00001970,freihand,unknown,1,train
freihand_00030133,freihand,unknown,3,train
00c77059-12b4-4334-93e5-545d100179fb,hagrid,dislike,3,train
freihand_00023869,freihand,unknown,2,train
02fae964-0025-4c1d-a75c-aad3c044d979,hagrid,ok,1,train
freihand_00002090,freihand,unknown,1,train
02aa936d-4531-4579-b6a0-2755f7f6f2e5,hagrid,mute,3,train
freihand_00000462,freihand,unknown,3,train
freihand_00024703,freihand,unknown,2,train
freihand_00030688,freihand,unknown,2,train
00b5f431-5da9-4684-8b22-e2ca85d299f0,hagrid,one,3,train
freihand_00001103,freihand,unknown,4,train
freihand_00022828,freihand,unknown,2,train
freihand_00016201,freihand,unknown,2,train
freihand_00029683,freihand,unknown,4,train
0068e886-bd7f-47bd-bc03-910c0a7fe2fe,hagrid,mute,3,train
008a8fd6-7848-4f31-89a4-9291fa866298,hagrid,mute,1,train
00335b2b-5dc2-4910-abbe-504f85f799e8,hagrid,ok,2,train
48a64d01-8b6f-4cef-8a06-1a98dd1bcbf8,hagrid,two_up_inverted,3,train
ec8d9137-d2cf-44e5-8b0a-41de28a6d6fb,hagrid,two_up_inverted,1,train
014c47c8-5631-4e87-b82c-741eaaf6d12b,hagrid,fist,3,train
00aa12ba-852c-480f-ac8a-c9d67339d841,hagrid,rock,1,train
freihand_00008560,freihand,unknown,1,train
freihand_00018172,freihand,unknown,4,train
034bab50-9607-4800-9885-52eb6e0ca292,hagrid,stop,4,train
4e88ae3e-8e4b-441e-91d0-6e154dd8e256,hagrid,two_up_inverted,3,train
freihand_00007273,freihand,unknown,3,train
2fd15650-ecad-4bb4-b290-d744be5ec7eb,hagrid,three,2,train
02433469-6e39-47f3-aea2-2b1fd786209b,hagrid,four,2,train
freihand_00015289,freihand,unknown,1,train
63323c2e-07a1-486f-97fa-4f7d9f4268ae,hagrid,call,2,train
freihand_00007912,freihand,unknown,1,train
freihand_00030145,freihand,unknown,1,train
freihand_00028198,freihand,unknown,4,train
045062ee-0c2c-41d4-adc6-375af45d7e88,hagrid,rock,2,train
freihand_00020923,freihand,unknown,3,train
067892b3-1c3c-4914-b9ff-5d67bbf8ec21,hagrid,two_up,2,train
freihand_00000790,freihand,unknown,1,train
freihand_00021673,freihand,unknown,4,train
freihand_00024604,freihand,unknown,2,train
033bfb01-2a77-4390-a2cb-adabdf960092,hagrid,rock,1,train
freihand_00014794,freihand,unknown,4,train
freihand_00016618,freihand,unknown,2,train
freihand_00025147,freihand,unknown,3,train
082b2083-c056-4735-a9f6-3df3593283d9,hagrid,call,2,train
000da0f2-b764-44e9-94c9-3d2e5893d69e,hagrid,stop,2,train
0744fba0-78e6-4789-9372-34e5d8ed2b7e,hagrid,peace_inverted,2,train
freihand_00009370,freihand,unknown,3,train
ec8d9137-d2cf-44e5-8b0a-41de28a6d6fb,hagrid,two_up_inverted,1,train
04e8a0b9-3604-49d7-b839-3f34fc1b4772,hagrid,ok,1,train
07bbb77f-7720-441e-a521-aacc42736794,hagrid,fist,1,train
02e528ad-59fc-4757-9121-ffbfa44c485f,hagrid,dislike,4,train
freihand_00017074,freihand,unknown,3,train
015c0f0f-f76d-4602-a8a8-ffb74434c73f,hagrid,four,1,train
06ac5665-d1f4-4586-9dd8-c8fbe93bd142,hagrid,ok,2,train
freihand_00024700,freihand,unknown,1,train
030463ad-f7de-419b-bab9-3ab965150afd,hagrid,one,1,train
02b58c32-15a0-470f-ab1c-b6057b61ab5f,hagrid,rock,3,train
5d7aed21-f8f1-4423-9943-91a5d15a1859,hagrid,two_up,2,train
06e13a1a-0736-4a8f-bf15-adda89dc8f4f,hagrid,ok,2,train
