sample_id,source,gesture,mst,split
8f1e5f20-b311-497b-bdeb-195d09576e89,hagrid,stop_inverted,10,train
74680e40-9469-479e-83d4-bf2282a4aafd,hagrid,two_up_inverted,10,train
0565d072-43a3-4bd5-94a6-261967785dfa,hagrid,like,8,train
freihand_00010968,freihand,unknown,9,train
freihand_00026274,freihand,unknown,10,train
00481821-8795-4011-bc0a-67f99fa53cac,hagrid,dislike,10,train
freihand_00008154,freihand,unknown,9,train
freihand_00019833,freihand,unknown,9,train
06ad0a42-ea5e-4c19-81d6-4976771d950f,hagrid,four,9,train
freihand_00017196,freihand,unknown,9,train
5a126d4a-dded-4a1e-83e7-68bbf5df85f4,hagrid,three2,10,train
02ca9b3b-d3d2-4dfd-b38a-fd8412c006a5,hagrid,fist,10,train
006fb54f-a44a-49d2-916e-9c24425329ff,hagrid,four,10,train
0567d5bd-69d6-4efb-99bf-e1df9887669d,hagrid,fist,9,train
freihand_00010965,freihand,unknown,10,train
039dfeb7-865d-447c-ac8a-768139219b7b,hagrid,three,8,train
freihand_00016545,freihand,unknown,9,train
freihand_00005918,freihand,unknown,9,train
freihand_00014679,freihand,unknown,9,train
freihand_00019932,freihand,unknown,10,train
freihand_00008910,freihand,unknown,10,train
970d474a-a39e-4f51-a633-a9a6e2c38da3,hagrid,stop_inverted,10,train
04d5bccc-69ff-45ff-87ac-7b1381d29f2a,hagrid,rock,10,train
0644de5a-1738-44ee-9399-5ca61dc05985,hagrid,dislike,9,train
0af06fe7-93ed-40f0-bfe2-f2c18e44acd8,hagrid,two_up_inverted,10,train
04dc1bce-6a52-437d-821f-cf87eca59f13,hagrid,dislike,8,train
059b45f4-3f1a-4de2-ad54-fa454817361a,hagrid,peace,9,train
033cdc3b-56db-45b5-b7ca-999884bbb341,hagrid,four,8,train
freihand_00018924,freihand,unknown,9,train
1a655c28-b690-4f15-992d-eb0288c79a19,hagrid,call,10,train
freihand_00006933,freihand,unknown,10,train
13c086a0-be6c-4d58-ad83-68e5fb0544dc,hagrid,call,10,train
freihand_00014850,freihand,unknown,10,train
freihand_00027210,freihand,unknown,10,train
freihand_00005782,freihand,unknown,10,train
freihand_00027489,freihand,unknown,10,train
03269372-3c14-4d50-bec0-be9e963733fb,hagrid,two_up,9,train
06c3748b-f659-479e-b3e7-0bdf768c023e,hagrid,one,10,train
039017d8-8f8d-44e5-a7cf-40c09fa48efc,hagrid,mute,8,train
0541ebd7-79f1-4fa6-af58-5e6e78dc9e33,hagrid,fist,8,train
38dc4b7f-18a1-48bc-9017-234abbebd797,hagrid,three,10,train
freihand_00021267,freihand,unknown,10,train
freihand_00010743,freihand,unknown,8,train
0304afac-ddac-4aa4-b172-6a1368adf025,hagrid,mute,8,train
0337b2c2-f3fe-46d7-b41e-577f5bc1460e,hagrid,peace,10,train
03f737d9-6a5d-423c-9118-79c0f088afdd,hagrid,fist,9,train
freihand_00004029,freihand,unknown,10,train
freihand_00010629,freihand,unknown,10,train
freihand_00023478,freihand,unknown,9,train
freihand_00020571,freihand,unknown,8,train
03dd31f8-e50d-43e4-96a5-5c1b9de5863c,hagrid,palm,10,train
freihand_00016101,freihand,unknown,9,train
0365c560-23a3-4138-b8c5-52ba6de13caf,hagrid,four,8,train
02bc7606-3f59-4d00-84c9-9c2141c0541f,hagrid,peace,10,train
04a09fbe-ac7d-4453-9ee0-e29fcaed15bc,hagrid,mute,9,train
03ec2a83-bd86-45cc-b0b8-99b29ad29a5d,hagrid,stop,10,train
03a5808e-789b-4e30-9f83-47c7ae748d7b,hagrid,dislike,8,train
freihand_00028380,freihand,unknown,10,train
freihand_00012846,freihand,unknown,10,train
0439d5cf-8f62-4bfd-9694-bfa4417b0f0a,hagrid,rock,9,train
freihand_00009045,freihand,unknown,8,train
060e140b-97a3-4700-94d1-e95c1ef598fb,hagrid,like,10,train
freihand_00006348,freihand,unknown,10,train
freihand_00016536,freihand,unknown,10,train
freihand_00026067,freihand,unknown,9,train
freihand_00000548,freihand,unknown,9,train
freihand_00026364,freihand,unknown,10,train
freihand_00014811,freihand,unknown,9,train
215d97fe-3e7a-495d-ad70-8146a5ce503f,hagrid,three,10,train
055cbe75-f563-49e2-9c4f-86a1fb47b40f,hagrid,call,10,train
freihand_00032451,freihand,unknown,8,train
freihand_00021894,freihand,unknown,8,train
freihand_00008769,freihand,unknown,8,train
006a26a3-12d2-411b-b980-0345365b560a,hagrid,fist,10,train
38dc4b7f-18a1-48bc-9017-234abbebd797,hagrid,three,10,train
freihand_00005500,freihand,unknown,8,train
5d8c3d81-1b3a-4c6d-b0fe-d6d92dfbe7a9,hagrid,peace_inverted,8,train
freihand_00024897,freihand,unknown,10,train
005f4bb7-c569-438a-a11a-140d60f6679b,hagrid,mute,9,train
freihand_00006945,freihand,unknown,8,train
freihand_00007815,freihand,unknown,8,train
01a4471f-e84a-4985-89df-64b77b112359,hagrid,fist,10,train
11425c1b-098c-4c92-a1e9-5c34c1b40820,hagrid,three,9,train
freihand_00027924,freihand,unknown,10,train
01cd681c-a51b-493e-990e-d99ad96f63d0,hagrid,like,9,train
0cb1c616-0b3d-45b5-8367-32e5e16784e5,hagrid,stop_inverted,9,train
freihand_00008022,freihand,unknown,10,train
freihand_00020088,freihand,unknown,8,train
019465c4-57aa-433b-958b-9ed82ec73cd5,hagrid,one,9,train
freihand_00011904,freihand,unknown,10,train
ff31ed57-8dd3-44da-a773-7b2f0c7d048c,hagrid,two_up_inverted,10,train
freihand_00019404,freihand,unknown,9,train
freihand_00001049,freihand,unknown,10,train
freihand_00019422,freihand,unknown,9,train
freihand_00002239,freihand,unknown,10,train
06021754-9f26-4054-b998-e5156caf48fd,hagrid,one,10,train
044c5cff-6b7a-415b-852e-a8f8fb0b8b39,hagrid,fist,9,train
freihand_00005076,freihand,unknown,9,train
freihand_00004589,freihand,unknown,10,train
02b414f7-5d17-47fd-82b1-7b9c236906dd,hagrid,fist,9,train
0304afac-ddac-4aa4-b172-6a1368adf025,hagrid,mute,8,train
044c5cff-6b7a-415b-852e-a8f8fb0b8b39,hagrid,fist,9,train
freihand_00016101,freihand,unknown,9,train
freihand_00006945,freihand,unknown,8,train
freihand_00026067,freihand,unknown,9,train
04a09fbe-ac7d-4453-9ee0-e29fcaed15bc,hagrid,mute,9,train
03269372-3c14-4d50-bec0-be9e963733fb,hagrid,two_up,9,train
freihand_00032451,freihand,unknown,8,train
0439d5cf-8f62-4bfd-9694-bfa4417b0f0a,hagrid,rock,9,train
freihand_00014811,freihand,unknown,9,train
0541ebd7-79f1-4fa6-af58-5e6e78dc9e33,hagrid,fist,8,train
