sample_id,path_secuencia,path_landmarks,label,condition,dataset,mst,mst_origin,split
freihand_00006308,secuencias_stgcn/freihand/freihand_00006308.npy,data/processed/landmarks/freihand_00006308.npy,unknown,medio,freihand,5,imputed,train
freihand_00027610,secuencias_stgcn/freihand/freihand_00027610.npy,data/processed/landmarks/freihand_00027610.npy,unknown,claro,freihand,4,imputed,train
freihand_00001724,secuencias_stgcn/freihand/freihand_00001724.npy,data/processed/landmarks/freihand_00001724.npy,unknown,medio,freihand,7,imputed,train
freihand_00019646,secuencias_stgcn/freihand/freihand_00019646.npy,data/processed/landmarks/freihand_00019646.npy,unknown,medio,freihand,7,imputed,train
freihand_00023435,secuencias_stgcn/freihand/freihand_00023435.npy,data/processed/landmarks/freihand_00023435.npy,unknown,medio,freihand,5,imputed,train
freihand_00024905,secuencias_stgcn/freihand/freihand_00024905.npy,data/processed/landmarks/freihand_00024905.npy,unknown,medio,freihand,6,imputed,train
freihand_00022834,secuencias_stgcn/freihand/freihand_00022834.npy,data/processed/landmarks/freihand_00022834.npy,unknown,claro,freihand,2,imputed,train
freihand_00029459,secuencias_stgcn/freihand/freihand_00029459.npy,data/processed/landmarks/freihand_00029459.npy,unknown,medio,freihand,7,imputed,train
freihand_00029668,secuencias_stgcn/freihand/freihand_00029668.npy,data/processed/landmarks/freihand_00029668.npy,unknown,claro,freihand,1,imputed,train
freihand_00007580,secuencias_stgcn/freihand/freihand_00007580.npy,data/processed/landmarks/freihand_00007580.npy,unknown,medio,freihand,7,imputed,train
freihand_00022557,secuencias_stgcn/freihand/freihand_00022557.npy,data/processed/landmarks/freihand_00022557.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00010918,secuencias_stgcn/freihand/freihand_00010918.npy,data/processed/landmarks/freihand_00010918.npy,unknown,claro,freihand,3,imputed,train
freihand_00021164,secuencias_stgcn/freihand/freihand_00021164.npy,data/processed/landmarks/freihand_00021164.npy,unknown,medio,freihand,5,imputed,train
freihand_00009108,secuencias_stgcn/freihand/freihand_00009108.npy,data/processed/landmarks/freihand_00009108.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00007723,secuencias_stgcn/freihand/freihand_00007723.npy,data/processed/landmarks/freihand_00007723.npy,unknown,claro,freihand,1,imputed,train
freihand_00027267,secuencias_stgcn/freihand/freihand_00027267.npy,data/processed/landmarks/freihand_00027267.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00007343,secuencias_stgcn/freihand/freihand_00007343.npy,data/processed/landmarks/freihand_00007343.npy,unknown,medio,freihand,5,imputed,train
