sample_id,path_secuencia,path_landmarks,label,condition,dataset,mst,mst_origin,split
freihand_00006308,secuencias_stgcn/synthetic/freihand_00006308.npy,data/processed/landmarks/freihand_00006308.npy,unknown,medio,freihand,5,imputed,train
freihand_00027610,secuencias_stgcn/synthetic/freihand_00027610.npy,data/processed/landmarks/freihand_00027610.npy,unknown,claro,freihand,4,imputed,train
freihand_00001724,secuencias_stgcn/synthetic/freihand_00001724.npy,data/processed/landmarks/freihand_00001724.npy,unknown,medio,freihand,7,imputed,train
freihand_00019646,secuencias_stgcn/synthetic/freihand_00019646.npy,data/processed/landmarks/freihand_00019646.npy,unknown,medio,freihand,7,imputed,train
54892ce0-d253-4707-bbbd-3c5a4990e0cf,secuencias_stgcn/synthetic/54892ce0-d253-4707-bbbd-3c5a4990e0cf.npy,data/processed/landmarks/54892ce0-d253-4707-bbbd-3c5a4990e0cf.npy,rock,medio,hagrid,6,imputed,train
e263a958-9cb9-4bb7-9c52-d234f6d90354,secuencias_stgcn/synthetic/e263a958-9cb9-4bb7-9c52-d234f6d90354.npy,data/processed/landmarks/e263a958-9cb9-4bb7-9c52-d234f6d90354.npy,stop_inverted,medio,hagrid,7,imputed,train
2831ea7d-a1d4-48d9-b1dd-6b2d458a8717,secuencias_stgcn/synthetic/2831ea7d-a1d4-48d9-b1dd-6b2d458a8717.npy,data/processed/landmarks/2831ea7d-a1d4-48d9-b1dd-6b2d458a8717.npy,fist,medio,hagrid,7,imputed,train
freihand_00023435,secuencias_stgcn/synthetic/freihand_00023435.npy,data/processed/landmarks/freihand_00023435.npy,unknown,medio,freihand,5,imputed,train
c9353c66-0d7f-4f94-acd9-e969e3da01f9,secuencias_stgcn/synthetic/c9353c66-0d7f-4f94-acd9-e969e3da01f9.npy,data/processed/landmarks/c9353c66-0d7f-4f94-acd9-e969e3da01f9.npy,peace,claro,hagrid,3,imputed,train
9478695d-44b2-478c-adda-5e2eeb8b9436,secuencias_stgcn/synthetic/9478695d-44b2-478c-adda-5e2eeb8b9436.npy,data/processed/landmarks/9478695d-44b2-478c-adda-5e2eeb8b9436.npy,two_up_inverted,medio,hagrid,6,imputed,train
f5ea1d0e-9cac-4bb1-a724-07ff5f27b52b,secuencias_stgcn/synthetic/f5ea1d0e-9cac-4bb1-a724-07ff5f27b52b.npy,data/processed/landmarks/f5ea1d0e-9cac-4bb1-a724-07ff5f27b52b.npy,one,medio,hagrid,6,imputed,train
freihand_00024905,secuencias_stgcn/synthetic/freihand_00024905.npy,data/processed/landmarks/freihand_00024905.npy,unknown,medio,freihand,6,imputed,train
f57a1679-b538-49c5-bb8b-546c775cc14a,secuencias_stgcn/synthetic/f57a1679-b538-49c5-bb8b-546c775cc14a.npy,data/processed/landmarks/f57a1679-b538-49c5-bb8b-546c775cc14a.npy,call,medio,hagrid,7,imputed,train
freihand_00022834,secuencias_stgcn/synthetic/freihand_00022834.npy,data/processed/landmarks/freihand_00022834.npy,unknown,claro,freihand,2,imputed,train
freihand_00029459,secuencias_stgcn/synthetic/freihand_00029459.npy,data/processed/landmarks/freihand_00029459.npy,unknown,medio,freihand,7,imputed,train
freihand_00029668,secuencias_stgcn/synthetic/freihand_00029668.npy,data/processed/landmarks/freihand_00029668.npy,unknown,claro,freihand,1,imputed,train
freihand_00007580,secuencias_stgcn/synthetic/freihand_00007580.npy,data/processed/landmarks/freihand_00007580.npy,unknown,medio,freihand,7,imputed,train
4d3e937d-fde8-4418-b54d-9341c1036703,secuencias_stgcn/synthetic/4d3e937d-fde8-4418-b54d-9341c1036703.npy,data/processed/landmarks/4d3e937d-fde8-4418-b54d-9341c1036703.npy,three,medio,hagrid,5,imputed,train
3aac180f-90f0-4d73-9349-83c16d5ab41d,secuencias_stgcn/synthetic/3aac180f-90f0-4d73-9349-83c16d5ab41d.npy,data/processed/landmarks/3aac180f-90f0-4d73-9349-83c16d5ab41d.npy,dislike,oscuro,hagrid,8,imputed,train
70072b8f-aeff-4407-a9ce-a995c13f6110,secuencias_stgcn/synthetic/70072b8f-aeff-4407-a9ce-a995c13f6110.npy,data/processed/landmarks/70072b8f-aeff-4407-a9ce-a995c13f6110.npy,fist,medio,hagrid,6,imputed,train
d1986519-779c-4ea7-b25d-ca9db8165283,secuencias_stgcn/synthetic/d1986519-779c-4ea7-b25d-ca9db8165283.npy,data/processed/landmarks/d1986519-779c-4ea7-b25d-ca9db8165283.npy,two_up_inverted,oscuro,hagrid,10,imputed,train
freihand_00022557,secuencias_stgcn/synthetic/freihand_00022557.npy,data/processed/landmarks/freihand_00022557.npy,unknown,oscuro,freihand,10,imputed,train
e6a89dcc-bd82-4820-b039-c4751457530f,secuencias_stgcn/synthetic/e6a89dcc-bd82-4820-b039-c4751457530f.npy,data/processed/landmarks/e6a89dcc-bd82-4820-b039-c4751457530f.npy,two_up_inverted,claro,hagrid,1,imputed,train
freihand_00010918,secuencias_stgcn/synthetic/freihand_00010918.npy,data/processed/landmarks/freihand_00010918.npy,unknown,claro,freihand,3,imputed,train
freihand_00021164,secuencias_stgcn/synthetic/freihand_00021164.npy,data/processed/landmarks/freihand_00021164.npy,unknown,medio,freihand,5,imputed,train
freihand_00009108,secuencias_stgcn/synthetic/freihand_00009108.npy,data/processed/landmarks/freihand_00009108.npy,unknown,oscuro,freihand,10,imputed,train
edd4955f-448c-413d-aeef-c710629555fd,secuencias_stgcn/synthetic/edd4955f-448c-413d-aeef-c710629555fd.npy,data/processed/landmarks/edd4955f-448c-413d-aeef-c710629555fd.npy,peace,claro,hagrid,2,imputed,train
freihand_00007723,secuencias_stgcn/synthetic/freihand_00007723.npy,data/processed/landmarks/freihand_00007723.npy,unknown,claro,freihand,1,imputed,train
freihand_00027267,secuencias_stgcn/synthetic/freihand_00027267.npy,data/processed/landmarks/freihand_00027267.npy,unknown,oscuro,freihand,10,imputed,train
7eac44ea-850b-40f7-b525-ba1d04ecd944,secuencias_stgcn/synthetic/7eac44ea-850b-40f7-b525-ba1d04ecd944.npy,data/processed/landmarks/7eac44ea-850b-40f7-b525-ba1d04ecd944.npy,three2,claro,hagrid,4,imputed,train
