sample_id,path_landmarks,label,condition,dataset,mst,mst_origin,split
freihand_00006308,data/processed/landmarks/freihand_00006308.npy,unknown,medio,freihand,5,imputed,train
freihand_00027610,data/processed/landmarks/freihand_00027610.npy,unknown,claro,freihand,4,imputed,train
freihand_00001724,data/processed/landmarks/freihand_00001724.npy,unknown,medio,freihand,7,imputed,train
freihand_00019646,data/processed/landmarks/freihand_00019646.npy,unknown,medio,freihand,7,imputed,train
freihand_00023435,data/processed/landmarks/freihand_00023435.npy,unknown,medio,freihand,5,imputed,train
freihand_00024905,data/processed/landmarks/freihand_00024905.npy,unknown,medio,freihand,6,imputed,train
freihand_00022834,data/processed/landmarks/freihand_00022834.npy,unknown,claro,freihand,2,imputed,train
freihand_00029459,data/processed/landmarks/freihand_00029459.npy,unknown,medio,freihand,7,imputed,train
freihand_00029668,data/processed/landmarks/freihand_00029668.npy,unknown,claro,freihand,1,imputed,train
freihand_00007580,data/processed/landmarks/freihand_00007580.npy,unknown,medio,freihand,7,imputed,train
freihand_00022557,data/processed/landmarks/freihand_00022557.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00010918,data/processed/landmarks/freihand_00010918.npy,unknown,claro,freihand,3,imputed,train
freihand_00021164,data/processed/landmarks/freihand_00021164.npy,unknown,medio,freihand,5,imputed,train
freihand_00009108,data/processed/landmarks/freihand_00009108.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00007723,data/processed/landmarks/freihand_00007723.npy,unknown,claro,freihand,1,imputed,train
freihand_00027267,data/processed/landmarks/freihand_00027267.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00007343,data/processed/landmarks/freihand_00007343.npy,unknown,medio,freihand,5,imputed,train
freihand_00016186,data/processed/landmarks/freihand_00016186.npy,unknown,claro,freihand,2,imputed,train
freihand_00005402,data/processed/landmarks/freihand_00005402.npy,unknown,medio,freihand,6,imputed,train
freihand_00018044,data/processed/landmarks/freihand_00018044.npy,unknown,medio,freihand,6,imputed,train
freihand_00028014,data/processed/landmarks/freihand_00028014.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00022476,data/processed/landmarks/freihand_00022476.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00018597,data/processed/landmarks/freihand_00018597.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00000325,data/processed/landmarks/freihand_00000325.npy,unknown,claro,freihand,3,imputed,train
freihand_00027358,data/processed/landmarks/freihand_00027358.npy,unknown,claro,freihand,1,imputed,train
freihand_00006159,data/processed/landmarks/freihand_00006159.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00006880,data/processed/landmarks/freihand_00006880.npy,unknown,claro,freihand,1,imputed,train
freihand_00017918,data/processed/landmarks/freihand_00017918.npy,unknown,medio,freihand,7,imputed,train
freihand_00011536,data/processed/landmarks/freihand_00011536.npy,unknown,claro,freihand,1,imputed,train
freihand_00001800,data/processed/landmarks/freihand_00001800.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00025854,data/processed/landmarks/freihand_00025854.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00012154,data/processed/landmarks/freihand_00012154.npy,unknown,claro,freihand,2,imputed,train
freihand_00008454,data/processed/landmarks/freihand_00008454.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00030534,data/processed/landmarks/freihand_00030534.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00003850,data/processed/landmarks/freihand_00003850.npy,unknown,claro,freihand,1,imputed,train
freihand_00027437,data/processed/landmarks/freihand_00027437.npy,unknown,medio,freihand,7,imputed,train
freihand_00017549,data/processed/landmarks/freihand_00017549.npy,unknown,medio,freihand,7,imputed,train
freihand_00027199,data/processed/landmarks/freihand_00027199.npy,unknown,claro,freihand,3,imputed,train
freihand_00003986,data/processed/landmarks/freihand_00003986.npy,unknown,medio,freihand,5,imputed,train
freihand_00027350,data/processed/landmarks/freihand_00027350.npy,unknown,medio,freihand,6,imputed,train
