sample_id,path_secuencia,label,condition,mst,mst_origin,dataset,split
00879247-2d8c-4af5-bad4-e92e6ab0bd3a,data\processed\secuencias_stgcn\00879247-2d8c-4af5-bad4-e92e6ab0bd3a.npy,mute,oscuro,9,imputed,hagrid,train
03cc2485-3c61-4aeb-b536-571405b210a6,data\processed\secuencias_stgcn\03cc2485-3c61-4aeb-b536-571405b210a6.npy,rock,oscuro,9,imputed,hagrid,train
05ddc9f6-4db0-48e1-b9a5-128db049c756,data\processed\secuencias_stgcn\05ddc9f6-4db0-48e1-b9a5-128db049c756.npy,one,claro,4,imputed,hagrid,train
67dd98d0-c933-451c-a97f-f28bd714210f,data\processed\secuencias_stgcn\67dd98d0-c933-451c-a97f-f28bd714210f.npy,call,medio,6,imputed,hagrid,train
808128e8-63be-418c-ac7f-638cdd08013b,data\processed\secuencias_stgcn\808128e8-63be-418c-ac7f-638cdd08013b.npy,stop_inverted,oscuro,9,imputed,hagrid,train
d405368c-4738-4a91-b5fa-39819bec229a,data\processed\secuencias_stgcn\d405368c-4738-4a91-b5fa-39819bec229a.npy,two_up,oscuro,9,imputed,hagrid,train
10cec4f0-e142-4d7b-b301-08b72ceeaf02,data\processed\secuencias_stgcn\10cec4f0-e142-4d7b-b301-08b72ceeaf02.npy,three2,oscuro,8,imputed,hagrid,train
1d33acb4-2c5a-4b33-850e-9c8c625fd855,data\processed\secuencias_stgcn\1d33acb4-2c5a-4b33-850e-9c8c625fd855.npy,call,claro,4,imputed,hagrid,train
058326d7-3704-43f1-a7c7-56fcad054648,data\processed\secuencias_stgcn\058326d7-3704-43f1-a7c7-56fcad054648.npy,palm,oscuro,8,imputed,hagrid,train
703f9180-f6f1-4ad8-9807-f81bb2121f2b,data\processed\secuencias_stgcn\703f9180-f6f1-4ad8-9807-f81bb2121f2b.npy,two_up,claro,2,imputed,hagrid,train
01d3dbd9-b391-4167-9e44-9f0d00bcedb3,data\processed\secuencias_stgcn\01d3dbd9-b391-4167-9e44-9f0d00bcedb3.npy,fist,oscuro,10,imputed,hagrid,train
1733f11b-1337-48bb-89eb-b76ee09e2761,data\processed\secuencias_stgcn\1733f11b-1337-48bb-89eb-b76ee09e2761.npy,peace_inverted,oscuro,9,imputed,hagrid,train
010f70e1-894b-428f-980b-733acf6560e9,data\processed\secuencias_stgcn\010f70e1-894b-428f-980b-733acf6560e9.npy,rock,oscuro,9,imputed,hagrid,train
a93f4fc2-8f63-42d6-b0d0-1d681c793705,data\processed\secuencias_stgcn\a93f4fc2-8f63-42d6-b0d0-1d681c793705.npy,two_up,claro,3,imputed,hagrid,train
03094c0a-499c-4daa-8ffd-a2911c0561d0,data\processed\secuencias_stgcn\03094c0a-499c-4daa-8ffd-a2911c0561d0.npy,peace,medio,7,imputed,hagrid,train
57974375-bb1c-447c-95c6-a7b23a69cbe6,data\processed\secuencias_stgcn\57974375-bb1c-447c-95c6-a7b23a69cbe6.npy,stop_inverted,oscuro,10,imputed,hagrid,train
00c791f8-b025-4903-b0ea-518ce931888a,data\processed\secuencias_stgcn\00c791f8-b025-4903-b0ea-518ce931888a.npy,rock,medio,6,imputed,hagrid,train
b9861ba0-3154-444f-ba86-a10a2f9bdf35,data\processed\secuencias_stgcn\b9861ba0-3154-444f-ba86-a10a2f9bdf35.npy,stop_inverted,claro,2,imputed,hagrid,train
7cb16ce2-8f0b-4740-871f-db23c310a92e,data\processed\secuencias_stgcn\7cb16ce2-8f0b-4740-871f-db23c310a92e.npy,peace_inverted,claro,1,imputed,hagrid,train
0bb11c5f-84e7-424a-9455-32815adb2267,data\processed\secuencias_stgcn\0bb11c5f-84e7-424a-9455-32815adb2267.npy,three2,oscuro,8,imputed,hagrid,train
031d227a-7c95-499d-9e55-ade28d7e6f57,data\processed\secuencias_stgcn\031d227a-7c95-499d-9e55-ade28d7e6f57.npy,peace,medio,6,imputed,hagrid,train
06f152b4-6b85-48d3-a01a-01089898c768,data\processed\secuencias_stgcn\06f152b4-6b85-48d3-a01a-01089898c768.npy,four,medio,5,imputed,hagrid,train
00cc46c6-80a4-4759-8a67-e0dd19b99e17,data\processed\secuencias_stgcn\00cc46c6-80a4-4759-8a67-e0dd19b99e17.npy,mute,medio,6,imputed,hagrid,train
14d1d275-27ef-4104-9a62-50d388537ec6,data\processed\secuencias_stgcn\14d1d275-27ef-4104-9a62-50d388537ec6.npy,stop_inverted,medio,6,imputed,hagrid,train
4e0700ab-f110-4384-9355-090195d921d9,data\processed\secuencias_stgcn\4e0700ab-f110-4384-9355-090195d921d9.npy,three2,medio,6,imputed,hagrid,train
046633bd-db9a-4cca-a6a9-4cc7387d7ff3,data\processed\secuencias_stgcn\046633bd-db9a-4cca-a6a9-4cc7387d7ff3.npy,palm,medio,6,imputed,hagrid,train
5272997b-d06e-44cd-8afa-51aa7aae6ede,data\processed\secuencias_stgcn\5272997b-d06e-44cd-8afa-51aa7aae6ede.npy,peace_inverted,medio,7,imputed,hagrid,train
0f5fec47-1d6b-41f3-af85-141ad6aa99e5,data\processed\secuencias_stgcn\0f5fec47-1d6b-41f3-af85-141ad6aa99e5.npy,peace_inverted,medio,7,imputed,hagrid,train
005a09d1-e64f-4eb8-8592-6085867e97da,data\processed\secuencias_stgcn\005a09d1-e64f-4eb8-8592-6085867e97da.npy,mute,medio,6,imputed,hagrid,train
04054728-f85c-436b-8a47-44e4fb2a7565,data\processed\secuencias_stgcn\04054728-f85c-436b-8a47-44e4fb2a7565.npy,four,oscuro,10,imputed,hagrid,train
521f5340-0f3c-4d14-b0c7-ed75ef910998,data\processed\secuencias_stgcn\521f5340-0f3c-4d14-b0c7-ed75ef910998.npy,call,oscuro,9,imputed,hagrid,train
0d4599a7-295e-46f8-b8be-6c803e3014a9,data\processed\secuencias_stgcn\0d4599a7-295e-46f8-b8be-6c803e3014a9.npy,three,oscuro,10,imputed,hagrid,train
66975140-9845-456b-a440-6a5de82ddb6b,data\processed\secuencias_stgcn\66975140-9845-456b-a440-6a5de82ddb6b.npy,stop_inverted,medio,7,imputed,hagrid,train
04fe45b8-16c1-4bd2-a2ec-798dd858e096,data\processed\secuencias_stgcn\04fe45b8-16c1-4bd2-a2ec-798dd858e096.npy,ok,medio,7,imputed,hagrid,train
29685b31-5309-4a35-9cbf-577214a9d353,data\processed\secuencias_stgcn\29685b31-5309-4a35-9cbf-577214a9d353.npy,two_up_inverted,oscuro,8,imputed,hagrid,train
02713f78-9fb0-4069-9c90-84be8907d898,data\processed\secuencias_stgcn\02713f78-9fb0-4069-9c90-84be8907d898.npy,palm,claro,1,imputed,hagrid,train
46dd8883-e2f3-4095-9de2-36a5559aebbc,data\processed\secuencias_stgcn\46dd8883-e2f3-4095-9de2-36a5559aebbc.npy,two_up_inverted,medio,7,imputed,hagrid,train
061f11a6-a8cd-482b-9c2b-13e09d87eeeb,data\processed\secuencias_stgcn\061f11a6-a8cd-482b-9c2b-13e09d87eeeb.npy,ok,oscuro,10,imputed,hagrid,train
579fde92-2d38-4496-892d-1e62bcfedeee,data\processed\secuencias_stgcn\579fde92-2d38-4496-892d-1e62bcfedeee.npy,call,oscuro,8,imputed,hagrid,train
07501413-698f-4993-9bf2-095a10d9041e,data\processed\secuencias_stgcn\07501413-698f-4993-9bf2-095a10d9041e.npy,ok,oscuro,8,imputed,hagrid,train
2a703eeb-4446-457e-9aa9-d9265760c9b2,data\processed\secuencias_stgcn\2a703eeb-4446-457e-9aa9-d9265760c9b2.npy,call,oscuro,8,imputed,hagrid,train
05037a97-c299-434a-b31a-06ca099ac1f7,data\processed\secuencias_stgcn\05037a97-c299-434a-b31a-06ca099ac1f7.npy,dislike,medio,6,imputed,hagrid,train
0c965a03-e38d-4326-8e18-5d28d9e82b1e,data\processed\secuencias_stgcn\0c965a03-e38d-4326-8e18-5d28d9e82b1e.npy,three,medio,5,imputed,hagrid,train
06d66a9d-bfbd-4a8a-a0ff-6c0f7e641118,data\processed\secuencias_stgcn\06d66a9d-bfbd-4a8a-a0ff-6c0f7e641118.npy,like,oscuro,8,imputed,hagrid,train
0438a9b0-9ef0-4497-9117-818c8e1c7cc8,data\processed\secuencias_stgcn\0438a9b0-9ef0-4497-9117-818c8e1c7cc8.npy,mute,oscuro,9,imputed,hagrid,train
0089f3d7-6a04-4436-b8d0-454135e496ba,data\processed\secuencias_stgcn\0089f3d7-6a04-4436-b8d0-454135e496ba.npy,ok,claro,4,imputed,hagrid,train
061a231c-ea7d-43c0-b712-d4a86c30698e,data\processed\secuencias_stgcn\061a231c-ea7d-43c0-b712-d4a86c30698e.npy,one,claro,1,imputed,hagrid,train
0b9af9d1-0cb8-46fb-a046-c0ec2ddf99fe,data\processed\secuencias_stgcn\0b9af9d1-0cb8-46fb-a046-c0ec2ddf99fe.npy,peace_inverted,oscuro,8,imputed,hagrid,train
00e78371-4696-42e7-a6af-37bee20614cf,data\processed\secuencias_stgcn\00e78371-4696-42e7-a6af-37bee20614cf.npy,dislike,oscuro,8,imputed,hagrid,train
305a50d8-5b76-489d-bae0-d799a50f6bab,data\processed\secuencias_stgcn\305a50d8-5b76-489d-bae0-d799a50f6bab.npy,two_up_inverted,oscuro,10,imputed,hagrid,train
00f91ea6-5ff4-4a61-99dd-6035c19bd7e3,data\processed\secuencias_stgcn\00f91ea6-5ff4-4a61-99dd-6035c19bd7e3.npy,like,oscuro,10,imputed,hagrid,train
83295293-53de-4f4a-a9e1-627f949eeaa1,data\processed\secuencias_stgcn\83295293-53de-4f4a-a9e1-627f949eeaa1.npy,peace_inverted,oscuro,9,imputed,hagrid,train
236e6a35-b6c7-4b6b-af7d-21a4533ebed8,data\processed\secuencias_stgcn\236e6a35-b6c7-4b6b-af7d-21a4533ebed8.npy,three,oscuro,9,imputed,hagrid,train
80519117-79c7-48e0-8cd3-a8bb78908c6e,data\processed\secuencias_stgcn\80519117-79c7-48e0-8cd3-a8bb78908c6e.npy,peace_inverted,oscuro,9,imputed,hagrid,train
4c7b11fa-5ebf-4158-9954-906922b6d792,data\processed\secuencias_stgcn\4c7b11fa-5ebf-4158-9954-906922b6d792.npy,peace_inverted,claro,3,imputed,hagrid,train
03203ffc-42c5-4bea-a586-40114aa45ba5,data\processed\secuencias_stgcn\03203ffc-42c5-4bea-a586-40114aa45ba5.npy,stop,oscuro,10,imputed,hagrid,train
13714189-bba7-471e-b883-d14da7107441,data\processed\secuencias_stgcn\13714189-bba7-471e-b883-d14da7107441.npy,call,medio,5,imputed,hagrid,train
05e91df2-3965-40a3-9bb2-cfbd016d38cf,data\processed\secuencias_stgcn\05e91df2-3965-40a3-9bb2-cfbd016d38cf.npy,one,claro,3,imputed,hagrid,train
0592faa9-850e-4da8-855f-3c6d7547f9bb,data\processed\secuencias_stgcn\0592faa9-850e-4da8-855f-3c6d7547f9bb.npy,one,claro,3,imputed,hagrid,train
5a126d4a-dded-4a1e-83e7-68bbf5df85f4,data\processed\secuencias_stgcn\5a126d4a-dded-4a1e-83e7-68bbf5df85f4.npy,three2,oscuro,10,imputed,hagrid,train
02b414f7-5d17-47fd-82b1-7b9c236906dd,data\processed\secuencias_stgcn\02b414f7-5d17-47fd-82b1-7b9c236906dd.npy,fist,oscuro,9,imputed,hagrid,train
2cd57cd1-99cb-4289-b35d-ef6a9d679015,data\processed\secuencias_stgcn\2cd57cd1-99cb-4289-b35d-ef6a9d679015.npy,stop_inverted,oscuro,9,imputed,hagrid,train
030eaffe-0992-4841-9c96-b3dfb9e44a88,data\processed\secuencias_stgcn\030eaffe-0992-4841-9c96-b3dfb9e44a88.npy,mute,medio,5,imputed,hagrid,train
0182dc90-3c8f-46f1-8ebb-f7e40cedf8c7,data\processed\secuencias_stgcn\0182dc90-3c8f-46f1-8ebb-f7e40cedf8c7.npy,dislike,claro,4,imputed,hagrid,train
041ebd0e-1730-428f-99bd-5b39a1db52b6,data\processed\secuencias_stgcn\041ebd0e-1730-428f-99bd-5b39a1db52b6.npy,rock,oscuro,10,imputed,hagrid,train
1d2747cf-49f0-4eef-8194-3deab68d069b,data\processed\secuencias_stgcn\1d2747cf-49f0-4eef-8194-3deab68d069b.npy,three,claro,4,imputed,hagrid,train
04594c34-7c21-40e9-bdb9-932b5198bf8e,data\processed\secuencias_stgcn\04594c34-7c21-40e9-bdb9-932b5198bf8e.npy,like,medio,5,imputed,hagrid,train
024a456e-134b-49d7-beb3-c208c376be93,data\processed\secuencias_stgcn\024a456e-134b-49d7-beb3-c208c376be93.npy,palm,oscuro,10,imputed,hagrid,train
