sample_id,path_secuencia,path_landmarks,dataset,source_kind,T
sample_00000_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00000_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00000_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00001_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00001_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00001_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00002_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00002_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00002_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00003_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00003_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00003_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00004_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00004_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00004_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00005_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00005_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00005_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00006_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00006_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00006_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00007_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00007_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00007_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00008_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00008_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00008_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00009_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00009_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00009_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00010_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00010_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00010_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00011_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00011_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00011_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00012_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00012_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00012_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00013_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00013_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00013_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00014_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00014_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00014_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00015_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00015_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00015_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00016_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00016_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00016_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00017_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00017_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00017_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00018_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00018_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00018_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00019_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00019_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00019_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00020_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00020_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00020_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00021_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00021_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00021_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00022_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00022_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00022_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00023_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00023_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00023_MST_1_landmarks3d.npy,mano,synthetic,16
