sample_id,suggested_label,confidence,ext_index,ext_middle,ext_ring,ext_pinky,ext_thumb,cluster
sample_00000_MST_1,ambiguous_cluster,0.7,0.7655586220588123,0.7369147237956358,0.735806464546651,0.4865344497866003,0.9067735371317307,11
sample_00001_MST_1,ambiguous_cluster,0.3,0.6955064452139712,0.5795710753823171,0.6322193873317293,0.5022311284195826,0.886603151691762,11
sample_00002_MST_1,ambiguous_cluster,0.7,0.7959958416427326,0.7490007777612557,0.6532249303668496,0.5574374347606873,0.8876837856330292,11
sample_00003_MST_1,ambiguous_cluster,0.3,0.5926316407019095,0.7044278202948959,0.7176485546515522,0.5032783077023673,0.9112067634721444,5
sample_00004_MST_1,ambiguous,0.3,0.33981762952369005,0.4755774904369328,0.6284401367963077,0.5665552589228814,0.3748442705250292,9
sample_00005_MST_1,palm,0.9,0.8222133121487464,0.8509670261248156,0.8365428380037939,0.6712404891840648,1.0313640055183346,0
sample_00006_MST_1,ambiguous_cluster,0.8,0.7375148854291999,0.6916686811063966,0.5705703148916734,0.4947633057574048,0.9206002145798285,5
sample_00007_MST_1,ambiguous_cluster,0.9,0.8175512691459429,0.8222153604530847,0.8276521877662268,0.7040892883468767,1.0611838360201984,10
sample_00008_MST_1,ambiguous_cluster,0.7,0.663177289498034,0.6254501664742744,0.6193043581390859,0.5383872632719474,0.901309165363717,5
sample_00009_MST_1,ambiguous_cluster,0.3,0.3304931988469491,0.6036173551844476,0.6130199345981309,0.4930807750928263,0.6278720414892026,1
sample_00010_MST_1,ambiguous_cluster,0.8,0.759396728890705,0.6075771032734929,0.550098298736857,0.4688342323665742,0.9985159411258082,10
sample_00011_MST_1,ambiguous_cluster,0.8,0.6577988752935114,0.7378516314152612,0.5789741682799425,0.5367582019001019,0.9104150160601855,5
sample_00012_MST_1,ambiguous_cluster,0.7,0.7823372592288772,0.6491580673034053,0.6026137285583147,0.5054408629411001,0.9375931721231485,6
sample_00013_MST_1,ambiguous_cluster,0.3,0.2906994772923358,0.6488328111898334,0.4838380032599462,0.5148353998721383,0.7996072360143909,10
sample_00014_MST_1,ambiguous,0.3,0.3375321822753525,0.6082908778387875,0.40971049699052436,0.4765028455550641,0.35048049245535995,9
sample_00015_MST_1,ambiguous_cluster,0.9,0.5944893966037633,0.46748880765932344,0.49410181281706206,0.5262398791896146,0.6398411571870912,1
sample_00016_MST_1,ambiguous_cluster,0.7,0.8389776340633593,0.6966800901475432,0.7207680373853764,0.5482685398103833,0.8799870446993875,2
sample_00017_MST_1,ambiguous_cluster,0.8,0.721371694558437,0.6930607758751874,0.5209845040805657,0.5798348467607116,0.9898032884390188,7
sample_00018_MST_1,fist,0.9,0.41851574888194765,0.5143283449920589,0.5854010819969637,0.47648293723718743,0.2658484341217479,8
sample_00019_MST_1,ambiguous_cluster,0.8,0.7724591451905919,0.6386168940245747,0.5847534343633046,0.5625112928463513,0.9116652290194966,11
sample_00020_MST_1,ambiguous_cluster,0.8,0.7158678393843484,0.6058799429174633,0.5750510106158099,0.5554729975626371,0.8897156924150413,1
sample_00021_MST_1,palm,0.9,0.8596122977857089,0.8299383633469596,0.7803117184132359,0.65766624454631,1.050704368447716,0
sample_00022_MST_1,ambiguous_cluster,0.9,0.6553319812677738,0.7240131201174961,0.7731966793173158,0.691215817303418,1.0674795696486574,4
sample_00023_MST_1,ambiguous_cluster,0.7,0.7130462569923098,0.6969444032370565,0.6319215849743863,0.5041984709961814,0.9654146882292645,11
sample_00024_MST_1,palm,0.9,0.8010748580601348,0.8373262053294348,0.8500707429392547,0.6421797579488355,1.0344967598698054,0
sample_00025_MST_1,ambiguous_cluster,0.3,0.7599462276912137,0.5802405916187895,0.6507366029501416,0.549001175002891,0.9488442331779565,11
sample_00026_MST_1,ambiguous_cluster,0.9,0.29652168715266447,0.47441468585819624,0.5283932970039954,0.4898935317249348,0.4135639651976775,4
sample_00027_MST_1,ambiguous_cluster,0.7,0.7258265704668772,0.7795008160145808,0.6793026559654781,0.5755288462839317,0.9198042370876923,11
sample_00028_MST_1,ambiguous_cluster,0.7,0.7812073316453091,0.706044399916143,0.7241633154009224,0.5520316835959493,0.9195520772496786,11
sample_00029_MST_1,fist,0.9,0.38112925672612635,0.4743818951937408,0.4620445242818819,0.44353409879411937,0.7106060882276682,9
sample_00030_MST_1,ambiguous_cluster,0.8,0.7830005578301389,0.5747817530339809,0.536038155202471,0.6235167441712232,0.8718904566726428,7
sample_00031_MST_1,ambiguous_cluster,0.9,0.78528152493706,0.8827906403396731,0.7857227852095651,0.6499722223259473,1.0443666209660363,6
sample_00032_MST_1,ambiguous_cluster,0.7,0.6883021494946637,0.6725493506999047,0.7517490696747187,0.551338610228173,0.8553515146819214,6
sample_00033_MST_1,ambiguous_cluster,0.7,0.7247350169871444,0.6128437837454066,0.6117282541040463,0.5338363705249367,1.0165008372040991,6
sample_00034_MST_1,ambiguous_cluster,0.7,0.7634355420736478,0.6052890721718998,0.6717390349185276,0.5126011956261362,0.8989568757011357,11
sample_00035_MST_1,ambiguous_cluster,0.3,0.7294381603418366,0.5984651255859718,0.6854541712983048,0.5392329076833154,0.9908637527497065,10
sample_00036_MST_1,ambiguous_cluster,0.7,0.7922266618029257,0.6947367027973012,0.7579565585166812,0.5818140959331188,0.9107092909760328,5
sample_00037_MST_1,ambiguous_cluster,0.9,0.8242266185139304,0.8609745065700825,0.8734213249583268,0.6520710079651962,1.0369134821696426,2
sample_00038_MST_1,ambiguous_cluster,0.9,0.40885754710234506,0.5048311165864636,0.5044647100769948,0.47960266046894734,0.5144563494209682,1
sample_00039_MST_1,palm,0.9,0.7822025679011547,0.8254876559010697,0.8187196320432236,0.686753512011484,1.048672115086705,0
sample_00040_MST_1,ambiguous_cluster,0.9,0.7242999854614105,0.6225569111885851,0.6425531423662315,0.6167060793838071,0.8978301919802733,5
sample_00041_MST_1,ambiguous_cluster,0.9,0.30135888063971217,0.49148663141043647,0.4355002730761123,0.5798060764687893,0.43349271515630156,7
