sample_id,suggested_label,confidence
sample_03747_MST_4,unknown,0.3
sample_07399_MST_8,unknown,0.3
sample_01370_MST_2,three,0.7
sample_02844_MST_3,unknown,0.3
sample_08920_MST_9,unknown,0.3
sample_03831_MST_4,unknown,0.3
sample_03366_MST_4,unknown,0.3
sample_01769_MST_2,palm,0.9
sample_02405_MST_3,palm,0.9
sample_00558_MST_1,unknown,0.3
sample_01454_MST_2,unknown,0.3
sample_09484_MST_10,unknown,0.3
sample_00555_MST_1,palm,0.9
sample_01047_MST_2,palm,0.9
sample_07086_MST_8,palm,0.9
sample_02009_MST_3,unknown,0.3
sample_02047_MST_3,unknown,0.3
sample_03303_MST_4,unknown,0.3
sample_00845_MST_1,unknown,0.3
sample_06471_MST_7,palm,0.9
sample_01650_MST_2,palm,0.9
sample_03596_MST_4,unknown,0.3
sample_09261_MST_10,unknown,0.3
sample_02038_MST_3,unknown,0.3
sample_01614_MST_2,unknown,0.3
sample_09359_MST_10,unknown,0.3
sample_00521_MST_1,palm,0.9
sample_01268_MST_2,palm,0.9
sample_00742_MST_1,unknown,0.3
sample_03847_MST_4,unknown,0.3
sample_01242_MST_2,unknown,0.3
sample_02231_MST_3,palm,0.9
sample_02892_MST_3,palm,0.9
sample_02865_MST_3,unknown,0.3
sample_00386_MST_1,palm,0.9
sample_00236_MST_1,palm,0.9
sample_03573_MST_4,palm,0.9
sample_02545_MST_3,unknown,0.3
sample_00804_MST_1,palm,0.9
sample_07811_MST_8,unknown,0.3
sample_01358_MST_2,palm,0.9
sample_02091_MST_3,four,0.8
sample_07401_MST_8,palm,0.9
sample_06437_MST_7,unknown,0.3
sample_06769_MST_7,unknown,0.3
sample_01476_MST_2,palm,0.9
sample_03479_MST_4,palm,0.9
sample_01759_MST_2,unknown,0.3
sample_00058_MST_1,unknown,0.3
sample_03444_MST_4,unknown,0.3
sample_03379_MST_4,palm,0.9
sample_01304_MST_2,palm,0.9
sample_08857_MST_9,palm,0.9
sample_02066_MST_3,unknown,0.3
sample_00011_MST_1,palm,0.9
sample_07332_MST_8,palm,0.9
sample_00579_MST_1,unknown,0.3
sample_03658_MST_4,unknown,0.3
sample_03237_MST_4,unknown,0.3
sample_07218_MST_8,palm,0.9
sample_00525_MST_1,palm,0.9
sample_03073_MST_4,unknown,0.3
sample_03548_MST_4,palm,0.9
sample_02093_MST_3,unknown,0.3
sample_00230_MST_1,unknown,0.3
sample_00464_MST_1,palm,0.9
sample_03710_MST_4,unknown,0.3
sample_02487_MST_3,unknown,0.3
sample_03552_MST_4,four,0.8
sample_02639_MST_3,palm,0.9
sample_01426_MST_2,unknown,0.3
sample_08589_MST_9,unknown,0.3
sample_02276_MST_3,unknown,0.3
sample_01144_MST_2,unknown,0.3
sample_04854_MST_5,unknown,0.3
sample_03054_MST_4,unknown,0.3
sample_08750_MST_9,unknown,0.3
sample_03372_MST_4,unknown,0.3
sample_03725_MST_4,unknown,0.3
sample_01265_MST_2,palm,0.9
sample_03607_MST_4,palm,0.9
sample_08842_MST_9,palm,0.9
sample_00317_MST_1,unknown,0.3
sample_02379_MST_3,unknown,0.3
sample_07881_MST_8,palm,0.9
sample_08134_MST_9,four,0.8
sample_02855_MST_3,palm,0.9
sample_00308_MST_1,unknown,0.3
sample_00139_MST_1,unknown,0.3
sample_03484_MST_4,palm,0.9
sample_02209_MST_3,palm,0.9
sample_01037_MST_2,palm,0.9
sample_01529_MST_2,unknown,0.3
sample_09191_MST_10,unknown,0.3
sample_08681_MST_9,palm,0.9
sample_01841_MST_2,palm,0.9
sample_00787_MST_1,unknown,0.3
sample_00566_MST_1,palm,0.9
sample_01167_MST_2,unknown,0.3
sample_01729_MST_2,unknown,0.3
sample_05159_MST_6,unknown,0.3
sample_00297_MST_1,unknown,0.3
sample_00679_MST_1,unknown,0.3
sample_01150_MST_2,four,0.8
sample_00704_MST_1,palm,0.9
sample_01741_MST_2,palm,0.9
sample_00568_MST_1,unknown,0.3
sample_00752_MST_1,palm,0.9
sample_00471_MST_1,palm,0.9
sample_09570_MST_10,palm,0.9
sample_09696_MST_10,four,0.8
sample_01493_MST_2,unknown,0.3
sample_02868_MST_3,unknown,0.3
sample_03794_MST_4,unknown,0.3
sample_00245_MST_1,unknown,0.3
sample_00891_MST_1,palm,0.9
sample_00953_MST_1,unknown,0.3
sample_03318_MST_4,palm,0.9
sample_02020_MST_3,unknown,0.3
sample_09788_MST_10,palm,0.9
sample_01986_MST_2,palm,0.9
sample_03834_MST_4,unknown,0.3
