sample_id,suggested_label,confidence,path_landmarks,cluster,final_suggestion
sample_03747_MST_4,unknown,0.3,data/processed/landmarks/sample_03747_MST_4.npy,0,ambiguous
sample_07399_MST_8,unknown,0.3,data/processed/landmarks/sample_07399_MST_8.npy,3,ambiguous
sample_01370_MST_2,three,0.7,data/processed/landmarks/sample_01370_MST_2.npy,3,ambiguous
sample_02844_MST_3,unknown,0.3,data/processed/landmarks/sample_02844_MST_3.npy,0,ambiguous
sample_08920_MST_9,unknown,0.3,data/processed/landmarks/sample_08920_MST_9.npy,2,ambiguous
sample_03831_MST_4,unknown,0.3,data/processed/landmarks/sample_03831_MST_4.npy,0,ambiguous
sample_03366_MST_4,unknown,0.3,data/processed/landmarks/sample_03366_MST_4.npy,3,ambiguous
sample_01769_MST_2,palm,0.9,data/processed/landmarks/sample_01769_MST_2.npy,10,ambiguous
sample_02405_MST_3,palm,0.9,data/processed/landmarks/sample_02405_MST_3.npy,2,ambiguous
sample_00558_MST_1,unknown,0.3,data/processed/landmarks/sample_00558_MST_1.npy,4,ambiguous
sample_01454_MST_2,unknown,0.3,data/processed/landmarks/sample_01454_MST_2.npy,1,ambiguous
sample_09484_MST_10,unknown,0.3,data/processed/landmarks/sample_09484_MST_10.npy,3,ambiguous
sample_00555_MST_1,palm,0.9,data/processed/landmarks/sample_00555_MST_1.npy,4,ambiguous
sample_01047_MST_2,palm,0.9,data/processed/landmarks/sample_01047_MST_2.npy,8,ambiguous
sample_07086_MST_8,palm,0.9,data/processed/landmarks/sample_07086_MST_8.npy,3,ambiguous
sample_02009_MST_3,unknown,0.3,data/processed/landmarks/sample_02009_MST_3.npy,2,ambiguous
sample_02047_MST_3,unknown,0.3,data/processed/landmarks/sample_02047_MST_3.npy,2,ambiguous
sample_03303_MST_4,unknown,0.3,data/processed/landmarks/sample_03303_MST_4.npy,4,ambiguous
sample_00845_MST_1,unknown,0.3,data/processed/landmarks/sample_00845_MST_1.npy,0,ambiguous
sample_06471_MST_7,palm,0.9,data/processed/landmarks/sample_06471_MST_7.npy,11,ambiguous
sample_01650_MST_2,palm,0.9,data/processed/landmarks/sample_01650_MST_2.npy,8,ambiguous
sample_03596_MST_4,unknown,0.3,data/processed/landmarks/sample_03596_MST_4.npy,3,ambiguous
sample_09261_MST_10,unknown,0.3,data/processed/landmarks/sample_09261_MST_10.npy,4,ambiguous
