sample_id,suggested_label,confidence,path_landmarks,dist_ok,thumb_abduction,palm_arc,prox_T,prox_I,prox_M,prox_R,prox_P
sample_03747_MST_4,like,0.98,data/processed/landmarks/sample_03747_MST_4.npy,1.4300691,72.86699,1.0886356,61.670746,81.69873,164.54004,130.99872,112.54713
sample_07399_MST_8,fist,0.95,data/processed/landmarks/sample_07399_MST_8.npy,3.2609503,88.318726,0.6846563,56.184628,131.20854,131.78574,163.9065,76.4753
sample_01370_MST_2,fist,0.95,data/processed/landmarks/sample_01370_MST_2.npy,2.3958845,81.96984,0.9966024,104.6302,163.70505,136.52193,101.23436,158.57956
sample_02844_MST_3,unknown,0.2,data/processed/landmarks/sample_02844_MST_3.npy,0.6866362,29.309364,0.057989467,103.75884,57.811565,86.8136,130.69548,80.24793
sample_08920_MST_9,unknown,0.2,data/processed/landmarks/sample_08920_MST_9.npy,2.2619905,159.7519,1.1881725,117.087524,149.21135,49.596336,153.89128,149.25177
sample_03831_MST_4,unknown,0.2,data/processed/landmarks/sample_03831_MST_4.npy,0.90488946,10.900658,1.1002992,134.26503,44.702667,109.24482,101.1214,107.640236
sample_03366_MST_4,fist,0.95,data/processed/landmarks/sample_03366_MST_4.npy,1.7696915,119.23458,0.4219665,67.50971,153.93224,140.7851,78.068405,120.03756
sample_01769_MST_2,like,0.98,data/processed/landmarks/sample_01769_MST_2.npy,3.3749511,96.2235,0.16771583,88.076675,155.41782,62.396942,167.13484,84.61224
sample_02405_MST_3,fist,0.95,data/processed/landmarks/sample_02405_MST_3.npy,2.4290738,129.03181,1.1135614,98.712326,67.13175,84.718216,106.60207,66.710335
sample_00558_MST_1,unknown,0.2,data/processed/landmarks/sample_00558_MST_1.npy,3.6132495,86.89723,2.055321,67.68951,159.14565,35.04643,152.53035,54.02759
sample_01454_MST_2,fist,0.95,data/processed/landmarks/sample_01454_MST_2.npy,3.7156546,107.626366,2.9734063,58.62569,111.44494,112.56897,77.28859,135.5555
sample_09484_MST_10,fist,0.95,data/processed/landmarks/sample_09484_MST_10.npy,1.4211448,76.24759,1.0384302,157.10548,176.09439,159.79951,138.20781,98.961494
sample_00555_MST_1,unknown,0.2,data/processed/landmarks/sample_00555_MST_1.npy,3.1856198,57.64111,0.52677315,77.35443,50.16168,153.22328,62.61999,124.48716
sample_01047_MST_2,rock,0.62,data/processed/landmarks/sample_01047_MST_2.npy,0.8500292,20.756596,2.2018635,38.034245,147.45927,110.15913,158.92474,35.999756
sample_07086_MST_8,like,0.98,data/processed/landmarks/sample_07086_MST_8.npy,1.8100116,101.06182,0.91649246,90.56359,99.37358,72.57701,104.10723,88.06765
sample_02009_MST_3,two_up,0.65,data/processed/landmarks/sample_02009_MST_3.npy,1.3735307,55.00441,1.2323326,65.113655,50.84394,39.59665,144.61661,111.94499
sample_02047_MST_3,two_up,0.65,data/processed/landmarks/sample_02047_MST_3.npy,1.8573359,79.173645,0.40765578,65.83568,80.65006,4.263699,70.35465,101.76416
sample_03303_MST_4,unknown,0.2,data/processed/landmarks/sample_03303_MST_4.npy,3.410557,141.99533,0.64381915,106.78984,95.36857,141.10413,31.677954,105.91125
sample_00845_MST_1,unknown,0.2,data/processed/landmarks/sample_00845_MST_1.npy,2.5664415,66.091484,0.7911376,17.724194,61.690353,120.848854,81.34164,133.94933
sample_06471_MST_7,unknown,0.2,data/processed/landmarks/sample_06471_MST_7.npy,1.1163985,45.45434,0.6807527,73.6255,52.24972,68.70207,121.19498,91.51483
sample_01650_MST_2,two_up,0.65,data/processed/landmarks/sample_01650_MST_2.npy,0.79751045,30.386393,0.7916327,119.43749,88.165886,23.302383,66.400375,43.4607
sample_03596_MST_4,unknown,0.2,data/processed/landmarks/sample_03596_MST_4.npy,1.1155297,65.94062,0.38133523,77.526566,58.388615,98.46634,47.465565,65.80878
sample_09261_MST_10,unknown,0.2,data/processed/landmarks/sample_09261_MST_10.npy,2.7556036,80.33938,0.9389644,87.66668,163.9359,147.44463,159.20245,34.839733
sample_02038_MST_3,unknown,0.2,data/processed/landmarks/sample_02038_MST_3.npy,1.3796841,68.81795,1.2543912,118.92493,52.366863,81.07404,120.836555,73.133484
sample_01614_MST_2,unknown,0.2,data/processed/landmarks/sample_01614_MST_2.npy,1.3085146,75.610695,1.0227801,53.40665,55.460934,139.6732,77.935745,53.371765
sample_09359_MST_10,like,0.98,data/processed/landmarks/sample_09359_MST_10.npy,2.1515026,65.91337,1.1336465,29.441181,91.971176,76.97129,64.203674,138.35532
sample_00521_MST_1,unknown,0.2,data/processed/landmarks/sample_00521_MST_1.npy,0.61516005,44.44249,0.033324625,59.6311,60.278683,131.46744,25.067627,69.8465
sample_01268_MST_2,unknown,0.2,data/processed/landmarks/sample_01268_MST_2.npy,2.1475875,132.47,0.75657976,65.9129,58.417076,80.53173,100.49174,87.1884
sample_00742_MST_1,fist,0.95,data/processed/landmarks/sample_00742_MST_1.npy,1.8745176,151.735,1.8759739,95.164505,158.10834,99.17727,110.312386,115.58069
sample_03847_MST_4,bad_pose,0.5,data/processed/landmarks/sample_03847_MST_4.npy,5.2780013,27.2476,1.8154203,66.42508,126.05675,43.050385,109.12621,91.20563
sample_01242_MST_2,fist,0.95,data/processed/landmarks/sample_01242_MST_2.npy,3.017384,50.899685,4.4505944,65.93292,110.187904,87.32943,127.019394,86.53623
sample_02231_MST_3,unknown,0.2,data/processed/landmarks/sample_02231_MST_3.npy,0.3147335,12.49315,1.1649197,149.445,119.40719,52.95133,108.38255,138.14458
sample_02892_MST_3,like,0.98,data/processed/landmarks/sample_02892_MST_3.npy,2.5036561,56.038578,1.6608423,155.62878,78.95382,166.91962,126.74981,143.0388
sample_02865_MST_3,fist,0.95,data/processed/landmarks/sample_02865_MST_3.npy,1.4622966,60.287106,1.9603552,77.551216,70.30188,110.81303,151.55246,118.87912
