sample_id,source,gesture,mst,mst_origin,split,sampling_weight,augmentation_hint
freihand_00031667,freihand,unknown,5,imputed,train,1.0,
1d33acb4-2c5a-4b33-850e-9c8c625fd855,hagrid,call,4,imputed,train,1.0,
freihand_00007420,freihand,unknown,2,imputed,train,2.0,
02be4792-efcc-41a2-b1e6-1015afa0ba89,hagrid,ok,3,imputed,train,2.0,
05c70758-d8e1-48cd-82c6-28fec6226b66,hagrid,four,10,imputed,train,2.0,
05b9f9ab-6a12-4450-8cb5-7be7b2f22fd1,hagrid,one,10,imputed,train,2.0,
freihand_00005373,freihand,unknown,10,imputed,train,2.0,
freihand_00006996,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
3285b354-191f-4f5f-ada2-733712ea3954,hagrid,peace_inverted,5,imputed,train,1.0,
d405368c-4738-4a91-b5fa-39819bec229a,hagrid,two_up,10,imputed,train,2.0,
freihand_00008513,freihand,unknown,7,imputed,train,1.0,
033442b4-5a22-499d-9b25-e4eebfc9de76,hagrid,rock,4,imputed,train,1.0,
0148cde9-a86d-47a3-a0bf-ca4659042aab,hagrid,dislike,6,imputed,train,1.0,
041ebd0e-1730-428f-99bd-5b39a1db52b6,hagrid,rock,10,imputed,train,2.0,
freihand_00023369,freihand,unknown,5,imputed,train,1.0,
0015135c-bdb9-409a-82ef-104b4d6690b0,hagrid,peace_inverted,5,imputed,train,1.0,
0ae441fc-c9e6-4c78-8374-45f4eb49be6b,hagrid,two_up_inverted,6,imputed,train,1.0,
05b2fd16-d43d-4e14-bfa6-cfb9d5706ef2,hagrid,like,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00024543,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00025592,freihand,unknown,5,imputed,train,1.0,
freihand_00029640,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
0571117f-1046-4945-a359-e42b75511f3b,hagrid,one,9,imputed,train,1.0,color_jitter_dark_candidate
03725111-5f59-4e87-854d-ba14b01c8606,hagrid,dislike,1,imputed,train,2.0,
2fd15650-ecad-4bb4-b290-d744be5ec7eb,hagrid,three,4,imputed,train,1.0,
343ec356-544b-47cb-acc7-e7d0d0fd111e,hagrid,three,1,imputed,train,2.0,
freihand_00021046,freihand,unknown,4,imputed,train,1.0,
freihand_00027327,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
5a126d4a-dded-4a1e-83e7-68bbf5df85f4,hagrid,three2,10,imputed,train,2.0,
freihand_00009979,freihand,unknown,1,imputed,train,2.0,
freihand_00032549,freihand,unknown,7,imputed,train,1.0,
01932a51-ac81-4fde-9e62-d70c79def69f,hagrid,fist,5,imputed,train,1.0,
freihand_00022661,freihand,unknown,5,imputed,train,1.0,
freihand_00025423,freihand,unknown,2,imputed,train,2.0,
freihand_00004985,freihand,unknown,7,imputed,train,1.0,
freihand_00031663,freihand,unknown,3,imputed,train,2.0,
30656faf-d253-4576-9a07-025a0ea7d9f6,hagrid,two_up_inverted,1,imputed,train,2.0,
0079a195-197e-4866-989b-d180e97c9513,hagrid,mute,6,imputed,train,1.0,
042c535a-45fe-4c81-be1e-71a0b4348554,hagrid,like,3,imputed,train,2.0,
f66f4adb-9849-4160-97db-5cd19f1caffe,hagrid,two_up,10,imputed,train,2.0,
03a5acf2-a226-4f62-a2ff-2a6c507792d9,hagrid,stop,10,imputed,train,2.0,
freihand_00022103,freihand,unknown,5,imputed,train,1.0,
57974375-bb1c-447c-95c6-a7b23a69cbe6,hagrid,stop_inverted,10,imputed,train,2.0,
023dab0c-feb3-4f8c-95c4-10b2c6bb9646,hagrid,ok,6,imputed,train,1.0,
00ac6dfd-4e4c-40ac-9a16-1f411b4bb7f6,hagrid,peace,3,imputed,train,2.0,
06bd4b76-30f6-4d0b-940f-fa5ae800e503,hagrid,fist,1,imputed,train,2.0,
0454399c-529b-4c44-b7bc-e6a870c18110,hagrid,rock,7,imputed,train,1.0,
freihand_00026995,freihand,unknown,2,imputed,train,2.0,
02ca9b3b-d3d2-4dfd-b38a-fd8412c006a5,hagrid,fist,10,imputed,train,2.0,
freihand_00028673,freihand,unknown,6,imputed,train,1.0,
a1fb16e3-a2d6-4187-ba20-ea3d4cba802d,hagrid,peace_inverted,5,imputed,train,1.0,
freihand_00026849,freihand,unknown,6,imputed,train,1.0,
freihand_00018904,freihand,unknown,3,imputed,train,2.0,
freihand_00014984,freihand,unknown,7,imputed,train,1.0,
freihand_00000909,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00019584,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00015914,freihand,unknown,6,imputed,train,1.0,
02f069af-8651-40d2-bb28-93268b6adef7,hagrid,rock,9,imputed,train,1.0,color_jitter_dark_candidate
b2a0df3f-333a-4c4f-97cf-a61c017cf950,hagrid,three2,10,imputed,train,2.0,
58e7fe0a-79e7-461c-a173-bd40020cac75,hagrid,call,6,imputed,train,1.0,
freihand_00021801,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00006050,freihand,unknown,5,imputed,train,1.0,
freihand_00024738,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
003bc7ad-039c-46c6-a927-354b582c07c2,hagrid,peace_inverted,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00017410,freihand,unknown,3,imputed,train,2.0,
freihand_00003268,freihand,unknown,3,imputed,train,2.0,
freihand_00012956,freihand,unknown,7,imputed,train,1.0,
freihand_00001741,freihand,unknown,2,imputed,train,2.0,
02e6a642-5dd4-485e-8109-7f26c4c6cef2,hagrid,stop,7,imputed,train,1.0,
5005f505-2ab6-4fb0-9789-32e9dbc7f874,hagrid,two_up,9,imputed,train,1.0,color_jitter_dark_candidate
011f0406-c89a-480d-8bb5-bc2ead6bd586,hagrid,peace,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00019405,freihand,unknown,4,imputed,train,1.0,
freihand_00020395,freihand,unknown,3,imputed,train,2.0,
5d3d6a28-98d9-4041-93d7-064a274132d9,hagrid,stop_inverted,2,imputed,train,2.0,
0c37a064-ce13-4a86-8ea2-21ca415443bb,hagrid,three2,6,imputed,train,1.0,
04dc7103-22b4-4025-8a8b-7e48b78ca3c7,hagrid,mute,3,imputed,train,2.0,
0427b250-a020-4578-aeb8-e2d546dd38ee,hagrid,peace,7,imputed,train,1.0,
012eeb3c-64a0-44b4-955c-0916e038ac44,hagrid,rock,10,imputed,train,2.0,
freihand_00014816,freihand,unknown,5,imputed,train,1.0,
05d73a69-72c7-4fc7-892d-84034980dd8d,hagrid,peace,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00025246,freihand,unknown,1,imputed,train,2.0,
freihand_00004653,freihand,unknown,10,imputed,train,2.0,
06c26e1e-4adb-41e8-a472-d53626255b1c,hagrid,dislike,3,imputed,train,2.0,
0313571e-da5f-4484-9683-465633cb8f38,hagrid,rock,1,imputed,train,2.0,
50b1d6a0-78ca-4726-88d8-5f425ded4b0b,hagrid,two_up,6,imputed,train,1.0,
freihand_00030751,freihand,unknown,2,imputed,train,2.0,
02b6d1fb-16ac-4e0d-a7fd-1397da6d54f1,hagrid,four,2,imputed,train,2.0,
01628eb2-125b-4a0d-958d-792d4ad61c5b,hagrid,like,5,imputed,train,1.0,
freihand_00003457,freihand,unknown,3,imputed,train,2.0,
freihand_00018454,freihand,unknown,2,imputed,train,2.0,
033cdc3b-56db-45b5-b7ca-999884bbb341,hagrid,four,10,imputed,train,2.0,
freihand_00012049,freihand,unknown,3,imputed,train,2.0,
01dd0219-bc80-42b9-8a9a-5967cae6cf69,hagrid,mute,3,imputed,train,2.0,
freihand_00024431,freihand,unknown,6,imputed,train,1.0,
freihand_00019640,freihand,unknown,6,imputed,train,1.0,
freihand_00019124,freihand,unknown,6,imputed,train,1.0,
freihand_00001815,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00021695,freihand,unknown,7,imputed,train,1.0,
00e1e26a-ddac-4a6e-849e-9484e34548b0,hagrid,two_up,5,imputed,train,1.0,
freihand_00021648,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00000501,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
61b775ad-cff5-4471-a6f3-d1b81787cb7d,hagrid,three2,7,imputed,train,1.0,
02a0f9ef-cfad-4862-abc2-d9604fdf08b9,hagrid,rock,7,imputed,train,1.0,
freihand_00002421,freihand,unknown,10,imputed,train,2.0,
a2545501-5880-4242-a04a-8acc83c4af32,hagrid,two_up_inverted,5,imputed,train,1.0,
freihand_00032352,freihand,unknown,10,imputed,train,2.0,
freihand_00032327,freihand,unknown,6,imputed,train,1.0,
018b3f14-2244-41d0-9fde-ae2ffebc659c,hagrid,mute,6,imputed,train,1.0,
freihand_00031987,freihand,unknown,4,imputed,train,1.0,
freihand_00000513,freihand,unknown,10,imputed,train,2.0,
freihand_00013656,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
000b9a1b-d3a5-459f-8326-31235348b807,hagrid,mute,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00025176,freihand,unknown,10,imputed,train,2.0,
freihand_00022089,freihand,unknown,10,imputed,train,2.0,
0bcdcff6-cfba-426a-a122-511abaeb8ba2,hagrid,three2,1,imputed,train,2.0,
03bc3f5f-ae3c-436e-9789-dbb15720a928,hagrid,stop,6,imputed,train,1.0,
1f09065a-b982-4fd1-88d0-9b5c5de16e92,hagrid,three2,9,imputed,train,1.0,color_jitter_dark_candidate
3285b354-191f-4f5f-ada2-733712ea3954,hagrid,peace_inverted,5,imputed,train,1.0,
freihand_00011227,freihand,unknown,3,imputed,train,2.0,
06568698-ee1a-45d2-9c54-4f3138937834,hagrid,four,10,imputed,train,2.0,
00a99701-3778-40c0-a292-04278bb9d1e1,hagrid,ok,6,imputed,train,1.0,
007e3be7-4095-469b-81aa-427c13454d77,hagrid,like,10,imputed,train,2.0,
03a5acf2-a226-4f62-a2ff-2a6c507792d9,hagrid,stop,10,imputed,train,2.0,
002817d2-b4eb-4785-a8f1-f76a89aba9f7,hagrid,two_up_inverted,1,imputed,train,2.0,
freihand_00022557,freihand,unknown,10,imputed,train,2.0,
078f509f-e8ba-43ff-b0e5-5c40192c945e,hagrid,fist,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00005329,freihand,unknown,2,imputed,train,2.0,
007e3be7-4095-469b-81aa-427c13454d77,hagrid,like,10,imputed,train,2.0,
freihand_00002991,freihand,unknown,10,imputed,train,2.0,
0d4599a7-295e-46f8-b8be-6c803e3014a9,hagrid,three,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00025375,freihand,unknown,1,imputed,train,2.0,
freihand_00013771,freihand,unknown,3,imputed,train,2.0,
00987a96-2cdd-4a5f-95a8-457d358a13c1,hagrid,rock,5,imputed,train,1.0,
04ae3d20-2ba7-4001-af56-a6c5bfa341ab,hagrid,dislike,10,imputed,train,2.0,
275c8bdc-cac9-4939-95bb-8554aafe7669,hagrid,two_up,5,imputed,train,1.0,
freihand_00011154,freihand,unknown,10,imputed,train,2.0,
freihand_00024247,freihand,unknown,4,imputed,train,1.0,
freihand_00018843,freihand,unknown,10,imputed,train,2.0,
0254066e-45c7-4f2c-a33f-c33f24f2d71c,hagrid,fist,10,imputed,train,2.0,
freihand_00007142,freihand,unknown,7,imputed,train,1.0,
freihand_00016933,freihand,unknown,2,imputed,train,2.0,
ec445721-c4c9-47ca-ac15-1985887c2da8,hagrid,two_up_inverted,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00005864,freihand,unknown,7,imputed,train,1.0,
01711e1d-6941-45e9-94f0-9673d9432c87,hagrid,ok,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00021503,freihand,unknown,6,imputed,train,1.0,
freihand_00027985,freihand,unknown,1,imputed,train,2.0,
freihand_00028217,freihand,unknown,5,imputed,train,1.0,
e4b10493-60c2-4821-b101-06ab245478ae,hagrid,two_up,3,imputed,train,2.0,
freihand_00003108,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
89722ade-afa8-4524-b485-2cf05af2ebd2,hagrid,three2,6,imputed,train,1.0,
freihand_00001093,freihand,unknown,1,imputed,train,2.0,
00e78371-4696-42e7-a6af-37bee20614cf,hagrid,dislike,10,imputed,train,2.0,
abc625a9-1501-4e36-97fc-f62efe1f9295,hagrid,stop_inverted,1,imputed,train,2.0,
0383e2a1-e8ea-4fb1-8fb8-d585b6cf280a,hagrid,mute,3,imputed,train,2.0,
cba847bb-17b1-48b3-98cb-b8a58393670f,hagrid,two_up,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00030865,freihand,unknown,2,imputed,train,2.0,
04dbbddf-81bb-4ed4-b53b-156455bef4c8,hagrid,one,4,imputed,train,1.0,
freihand_00013057,freihand,unknown,1,imputed,train,2.0,
freihand_00007276,freihand,unknown,1,imputed,train,2.0,
06983888-62ed-4e25-b701-354e983c3372,hagrid,ok,8,imputed,train,1.0,color_jitter_dark_candidate
5cb21a04-a696-4218-8360-42579db02a5a,hagrid,two_up,6,imputed,train,1.0,
058f382f-7933-4ee7-a035-3cd94a1812ea,hagrid,ok,3,imputed,train,2.0,
freihand_00014220,freihand,unknown,10,imputed,train,2.0,
00678bdb-55b1-46e1-a2e6-7ccb587870f9,hagrid,ok,5,imputed,train,1.0,
freihand_00009787,freihand,unknown,3,imputed,train,2.0,
020d20da-bd66-4709-9b7a-a37fe7cda6c2,hagrid,mute,6,imputed,train,1.0,
freihand_00007954,freihand,unknown,3,imputed,train,2.0,
freihand_00001052,freihand,unknown,6,imputed,train,1.0,
freihand_00028126,freihand,unknown,2,imputed,train,2.0,
freihand_00015887,freihand,unknown,6,imputed,train,1.0,
02dc8d48-79af-4249-a6fd-4fa3cd75d353,hagrid,dislike,6,imputed,train,1.0,
freihand_00013668,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00010542,freihand,unknown,10,imputed,train,2.0,
018a33f7-5624-42c6-8686-964a3ae48311,hagrid,ok,1,imputed,train,2.0,
freihand_00000031,freihand,unknown,2,imputed,train,2.0,
freihand_00015156,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
909b50aa-0f7c-4c7d-95c0-277a6a1d2e10,hagrid,peace_inverted,10,imputed,train,2.0,
022fb692-c5c0-4e00-ac14-455bb4367a7b,hagrid,one,7,imputed,train,1.0,
freihand_00000688,freihand,unknown,3,imputed,train,2.0,
03b90a1c-0c5c-4d3d-93d2-cfbfabf5fd0f,hagrid,peace,7,imputed,train,1.0,
47a34603-1429-4b86-acd5-56d635262bc2,hagrid,stop_inverted,10,imputed,train,2.0,
freihand_00010009,freihand,unknown,2,imputed,train,2.0,
freihand_00018184,freihand,unknown,2,imputed,train,2.0,
0186657f-8eea-4361-804f-7ad6002835bb,hagrid,ok,10,imputed,train,2.0,
freihand_00009502,freihand,unknown,4,imputed,train,1.0,
freihand_00008126,freihand,unknown,5,imputed,train,1.0,
freihand_00031263,freihand,unknown,10,imputed,train,2.0,
13c9ac86-4335-4b9a-825c-f18ec8f86bc1,hagrid,three,5,imputed,train,1.0,
03146d8f-15d9-406f-9934-61d869a97e0d,hagrid,mute,10,imputed,train,2.0,
freihand_00031685,freihand,unknown,7,imputed,train,1.0,
freihand_00016830,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
3ed7699a-99e8-4e8e-b8d2-dca182546208,hagrid,three,7,imputed,train,1.0,
030b7472-0650-471b-bc78-527fb18c324b,hagrid,rock,5,imputed,train,1.0,
00857019-2ed4-4723-9311-4654e8f1d03a,hagrid,stop,2,imputed,train,2.0,
012932cd-b84a-4f8d-a1b9-d28af5f07359,hagrid,rock,6,imputed,train,1.0,
freihand_00000843,freihand,unknown,10,imputed,train,2.0,
freihand_00003610,freihand,unknown,4,imputed,train,1.0,
freihand_00011156,freihand,unknown,7,imputed,train,1.0,
freihand_00027626,freihand,unknown,5,imputed,train,1.0,
freihand_00018122,freihand,unknown,6,imputed,train,1.0,
freihand_00017841,freihand,unknown,10,imputed,train,2.0,
freihand_00007208,freihand,unknown,5,imputed,train,1.0,
freihand_00014752,freihand,unknown,3,imputed,train,2.0,
freihand_00009047,freihand,unknown,5,imputed,train,1.0,
0644de5a-1738-44ee-9399-5ca61dc05985,hagrid,dislike,9,imputed,train,1.0,color_jitter_dark_candidate
7e478ba7-938d-4cc8-a3e0-6bd39ba0d714,hagrid,two_up_inverted,2,imputed,train,2.0,
freihand_00005855,freihand,unknown,7,imputed,train,1.0,
0089f3d7-6a04-4436-b8d0-454135e496ba,hagrid,ok,2,imputed,train,2.0,
