sample_id,source,gesture,mst,mst_origin,split,sampling_weight,augmentation_hint
freihand_00006308,freihand,unknown,5,imputed,train,1.0,
freihand_00027610,freihand,unknown,4,imputed,train,1.0,
freihand_00001724,freihand,unknown,7,imputed,train,1.0,
freihand_00019646,freihand,unknown,7,imputed,train,1.0,
54892ce0-d253-4707-bbbd-3c5a4990e0cf,hagrid,rock,6,imputed,train,1.0,
e263a958-9cb9-4bb7-9c52-d234f6d90354,hagrid,stop_inverted,7,imputed,train,1.0,
2831ea7d-a1d4-48d9-b1dd-6b2d458a8717,hagrid,fist,7,imputed,train,1.0,
freihand_00023435,freihand,unknown,5,imputed,train,1.0,
c9353c66-0d7f-4f94-acd9-e969e3da01f9,hagrid,peace,3,imputed,train,2.0,
9478695d-44b2-478c-adda-5e2eeb8b9436,hagrid,two_up_inverted,6,imputed,train,1.0,
f5ea1d0e-9cac-4bb1-a724-07ff5f27b52b,hagrid,one,6,imputed,train,1.0,
freihand_00024905,freihand,unknown,6,imputed,train,1.0,
f57a1679-b538-49c5-bb8b-546c775cc14a,hagrid,call,7,imputed,train,1.0,
freihand_00022834,freihand,unknown,2,imputed,train,2.0,
freihand_00029459,freihand,unknown,7,imputed,train,1.0,
freihand_00029668,freihand,unknown,1,imputed,train,2.0,
freihand_00007580,freihand,unknown,7,imputed,train,1.0,
4d3e937d-fde8-4418-b54d-9341c1036703,hagrid,three,5,imputed,train,1.0,
3aac180f-90f0-4d73-9349-83c16d5ab41d,hagrid,dislike,8,imputed,train,1.0,color_jitter_dark_candidate
70072b8f-aeff-4407-a9ce-a995c13f6110,hagrid,fist,6,imputed,train,1.0,
d1986519-779c-4ea7-b25d-ca9db8165283,hagrid,two_up_inverted,10,imputed,train,2.0,
freihand_00022557,freihand,unknown,10,imputed,train,2.0,
e6a89dcc-bd82-4820-b039-c4751457530f,hagrid,two_up_inverted,1,imputed,train,2.0,
freihand_00010918,freihand,unknown,3,imputed,train,2.0,
freihand_00021164,freihand,unknown,5,imputed,train,1.0,
freihand_00009108,freihand,unknown,10,imputed,train,2.0,
edd4955f-448c-413d-aeef-c710629555fd,hagrid,peace,2,imputed,train,2.0,
freihand_00007723,freihand,unknown,1,imputed,train,2.0,
freihand_00027267,freihand,unknown,10,imputed,train,2.0,
7eac44ea-850b-40f7-b525-ba1d04ecd944,hagrid,three2,4,imputed,train,1.0,
d828fde1-d80f-492d-867a-fc1f9d70250b,hagrid,three,2,imputed,train,2.0,
a92a1b55-bef9-461b-b4a6-2f67ac7c8938,hagrid,two_up,4,imputed,train,1.0,
7ddd098c-acf4-4b47-88da-a40000e36270,hagrid,mute,10,imputed,train,2.0,
f7c19540-a61e-46d8-8c05-81ccfcbbd32d,hagrid,three,10,imputed,train,2.0,
118ce844-486e-406d-9802-8df3f0c0bdd0,hagrid,stop_inverted,3,imputed,train,2.0,
6f44c17a-8a5f-40a5-a1ca-8970cf797f02,hagrid,dislike,3,imputed,train,2.0,
3eb53bb9-d952-43b6-a731-06e772d8c085,hagrid,fist,10,imputed,train,2.0,
freihand_00007343,freihand,unknown,5,imputed,train,1.0,
freihand_00016186,freihand,unknown,2,imputed,train,2.0,
6dbf3f6d-050a-4511-80c4-6b86dfd95d5d,hagrid,call,10,imputed,train,2.0,
freihand_00005402,freihand,unknown,6,imputed,train,1.0,
freihand_00018044,freihand,unknown,6,imputed,train,1.0,
d68dea65-9176-4285-968d-c14a29842a94,hagrid,stop,2,imputed,train,2.0,
freihand_00028014,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
0c4f63b9-9503-432d-a615-1c50b1294356,hagrid,three,9,imputed,train,1.0,color_jitter_dark_candidate
67193751-7db9-4d25-840c-73bf99fe42db,hagrid,two_up,2,imputed,train,2.0,
19c903b1-7199-4682-8a75-26bfc8a04afe,hagrid,three2,8,imputed,train,1.0,color_jitter_dark_candidate
b249fea6-a19a-4fc0-ab2a-579cf2caba9b,hagrid,ok,3,imputed,train,2.0,
a241f015-97dd-4caf-9218-0868b4872eea,hagrid,peace_inverted,7,imputed,train,1.0,
freihand_00022476,freihand,unknown,10,imputed,train,2.0,
freihand_00018597,freihand,unknown,10,imputed,train,2.0,
freihand_00000325,freihand,unknown,3,imputed,train,2.0,
5d8f3291-1a0a-4f4f-b44b-fa894f8f701e,hagrid,two_up,8,imputed,train,1.0,color_jitter_dark_candidate
2527205c-6c56-4623-a2df-025a9aef89d9,hagrid,stop,1,imputed,train,2.0,
freihand_00027358,freihand,unknown,1,imputed,train,2.0,
bb1c9658-23e4-4dc5-ab10-f92107da8a06,hagrid,two_up,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00006159,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00006880,freihand,unknown,1,imputed,train,2.0,
freihand_00017918,freihand,unknown,7,imputed,train,1.0,
9774942a-dfd2-4ef8-9edb-f0e06f416b78,hagrid,four,10,imputed,train,2.0,
315a4b6e-e476-4474-8612-4f4daaed98b7,hagrid,stop,10,imputed,train,2.0,
freihand_00011536,freihand,unknown,1,imputed,train,2.0,
eda38427-3a73-4ec3-b716-ee8e7ff360e6,hagrid,ok,7,imputed,train,1.0,
freihand_00001800,freihand,unknown,10,imputed,train,2.0,
freihand_00025854,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00012154,freihand,unknown,2,imputed,train,2.0,
freihand_00008454,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
b028bf20-e7c9-433a-ab3e-6dec796aebd0,hagrid,stop_inverted,10,imputed,train,2.0,
freihand_00030534,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00003850,freihand,unknown,1,imputed,train,2.0,
freihand_00027437,freihand,unknown,7,imputed,train,1.0,
freihand_00017549,freihand,unknown,7,imputed,train,1.0,
5f125831-2c6e-4e60-a790-186bf4deda0b,hagrid,four,1,imputed,train,2.0,
freihand_00027199,freihand,unknown,3,imputed,train,2.0,
freihand_00003986,freihand,unknown,5,imputed,train,1.0,
freihand_00027350,freihand,unknown,6,imputed,train,1.0,
efb19efb-7e21-47a3-bb29-6b6494bb4546,hagrid,four,3,imputed,train,2.0,
b6e7a40f-d4d2-4aa7-a768-4de01fcee594,hagrid,stop_inverted,7,imputed,train,1.0,
4bec2f00-ea8b-4781-ab0d-31477a73bd8c,hagrid,like,8,imputed,train,1.0,color_jitter_dark_candidate
eb3b5cbf-3662-42c1-bfe4-77208470b509,hagrid,four,5,imputed,train,1.0,
8818ece1-da6b-4870-9944-57086c1aa8c6,hagrid,like,7,imputed,train,1.0,
freihand_00008682,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
7847fd31-19c4-4d13-8987-cc9b697a21fa,hagrid,stop,6,imputed,train,1.0,
freihand_00016390,freihand,unknown,2,imputed,train,2.0,
freihand_00015957,freihand,unknown,10,imputed,train,2.0,
freihand_00016491,freihand,unknown,10,imputed,train,2.0,
0981df3f-e759-414e-a767-c1e8042e1cd6,hagrid,peace,7,imputed,train,1.0,
95dea101-0d8d-4462-acff-7ec32ac681ca,hagrid,palm,7,imputed,train,1.0,
1b3d06a0-554e-4d3f-8d07-1e8c11eb666d,hagrid,palm,2,imputed,train,2.0,
bcee6f51-411d-4b7b-874c-b8c7ee8ae98c,hagrid,fist,10,imputed,train,2.0,
581cada3-d82c-4b67-be36-86a80acb4237,hagrid,fist,10,imputed,train,2.0,
freihand_00026721,freihand,unknown,10,imputed,train,2.0,
freihand_00002176,freihand,unknown,4,imputed,train,1.0,
freihand_00004517,freihand,unknown,5,imputed,train,1.0,
fb87ae7a-46d7-4e0c-8a1b-cfe3244f8daf,hagrid,peace_inverted,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00031618,freihand,unknown,3,imputed,train,2.0,
freihand_00024669,freihand,unknown,10,imputed,train,2.0,
679050b9-0c53-426e-8a8e-716c213e4065,hagrid,rock,10,imputed,train,2.0,
758f4c11-d016-4195-8f1e-2b432514c42a,hagrid,four,2,imputed,train,2.0,
freihand_00009969,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
7b1b4506-0abf-4693-9e31-ae12bde8ff24,hagrid,two_up,3,imputed,train,2.0,
freihand_00014898,freihand,unknown,10,imputed,train,2.0,
f9e5e6ce-4b4e-4f50-afa6-5ef2d5399129,hagrid,rock,6,imputed,train,1.0,
771bc0cb-0daa-425d-b9e0-3e6941a648f4,hagrid,three2,6,imputed,train,1.0,
5242565d-b3c5-4513-b285-1097bbf1adcd,hagrid,two_up_inverted,6,imputed,train,1.0,
7b4ea973-3c11-4212-9e31-a475bb2fd686,hagrid,four,2,imputed,train,2.0,
freihand_00001814,freihand,unknown,7,imputed,train,1.0,
40bc7231-7fd7-4e55-add5-682cdba0671c,hagrid,one,2,imputed,train,2.0,
5ff2f066-393f-4ff8-b74f-d7e86215cf75,hagrid,call,4,imputed,train,1.0,
freihand_00028743,freihand,unknown,10,imputed,train,2.0,
freihand_00012742,freihand,unknown,2,imputed,train,2.0,
ee71959a-b8ee-4721-b719-13eb5d270287,hagrid,ok,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00007494,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00016147,freihand,unknown,4,imputed,train,1.0,
503bd763-6a48-4c48-8226-92d15931461e,hagrid,peace_inverted,3,imputed,train,2.0,
4b862993-748d-48d1-8fc5-e6dc885fd933,hagrid,three,10,imputed,train,2.0,
280cbf44-0c47-4c36-8f37-5257b6056d82,hagrid,ok,5,imputed,train,1.0,
freihand_00020440,freihand,unknown,4,imputed,train,1.0,
freihand_00006995,freihand,unknown,7,imputed,train,1.0,
freihand_00007582,freihand,unknown,4,imputed,train,1.0,
bf8cf470-4eb1-45cb-a384-dd03380fd942,hagrid,stop_inverted,3,imputed,train,2.0,
freihand_00009474,freihand,unknown,10,imputed,train,2.0,
fe201753-a43b-4f59-8e1e-c3779cc630a9,hagrid,two_up,2,imputed,train,2.0,
freihand_00001277,freihand,unknown,5,imputed,train,1.0,
fd29e333-cf45-4b1b-8c14-277ebfb1a301,hagrid,mute,7,imputed,train,1.0,
acc54897-b2ce-4ef2-87bd-fc1ffb861059,hagrid,peace,7,imputed,train,1.0,
freihand_00018522,freihand,unknown,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00023152,freihand,unknown,2,imputed,train,2.0,
203964d9-df22-4e8f-8d3b-ebcc8a064dd4,hagrid,stop,5,imputed,train,1.0,
0318f283-f7c2-4dba-87f4-194f5fbc570b,hagrid,mute,1,imputed,train,2.0,
666c3102-367b-40cf-9cd4-c673753e0b0f,hagrid,rock,8,imputed,train,1.0,color_jitter_dark_candidate
freihand_00008601,freihand,unknown,10,imputed,train,2.0,
7c8c8e92-2260-408b-8261-27cd2482ff9a,hagrid,call,3,imputed,train,2.0,
57142391-6ee6-4be6-9a02-05904bfd07ed,hagrid,stop,5,imputed,train,1.0,
57213599-d274-4c63-9c01-2884f79ed139,hagrid,stop_inverted,10,imputed,train,2.0,
freihand_00007659,freihand,unknown,10,imputed,train,2.0,
754e65fa-c443-47a4-a1b4-52f8e68a8b65,hagrid,one,2,imputed,train,2.0,
280fdda6-ced7-4a69-b949-307e0b486187,hagrid,dislike,2,imputed,train,2.0,
db5aff49-8353-4dc9-a80e-cc11ee2f9905,hagrid,rock,6,imputed,train,1.0,
freihand_00010023,freihand,unknown,8,imputed,train,1.0,color_jitter_dark_candidate
08308e79-9955-4422-9d87-0fdedd5b41ea,hagrid,two_up,3,imputed,train,2.0,
73d519b5-e425-4eea-baf9-3e9c9eaa8f85,hagrid,call,9,imputed,train,1.0,color_jitter_dark_candidate
15003690-bc8a-452d-9610-6d9d189be83d,hagrid,four,7,imputed,train,1.0,
freihand_00009869,freihand,unknown,6,imputed,train,1.0,
freihand_00004795,freihand,unknown,2,imputed,train,2.0,
04dbcc7e-3bed-4893-8e16-9a20a348d56d,hagrid,stop,9,imputed,train,1.0,color_jitter_dark_candidate
3e7deacd-68f5-401e-bc93-9dfb150d1635,hagrid,stop,9,imputed,train,1.0,color_jitter_dark_candidate
freihand_00028858,freihand,unknown,3,imputed,train,2.0,
