sample_id,path,path_landmarks,label,condition,dataset,split
freihand_00009650,datasets/training/rgb/00009650.jpg,data/processed/landmarks/freihand_00009650.npy,hand,sin_mst,freihand,train
freihand_00015613,datasets/training/rgb/00015613.jpg,data/processed/landmarks/freihand_00015613.npy,hand,sin_mst,freihand,train
3bf4419e-671c-436a-9261-09c2d1ff931f,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_three2/3bf4419e-671c-436a-9261-09c2d1ff931f.jpg,data/processed/landmarks/3bf4419e-671c-436a-9261-09c2d1ff931f.npy,three2,sin_mst,hagrid,train
freihand_00023551,datasets/training/rgb/00023551.jpg,data/processed/landmarks/freihand_00023551.npy,hand,sin_mst,freihand,train
60122a8f-80b7-4825-9cc9-53acb39d87fc,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_four/60122a8f-80b7-4825-9cc9-53acb39d87fc.jpg,data/processed/landmarks/60122a8f-80b7-4825-9cc9-53acb39d87fc.npy,four,sin_mst,hagrid,train
freihand_00015504,datasets/training/rgb/00015504.jpg,data/processed/landmarks/freihand_00015504.npy,hand,sin_mst,freihand,train
sample_03747_MST_4,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_03747_MST_4.png,data/processed/landmarks/sample_03747_MST_4.npy,,sin_mst,mano,train
sample_07399_MST_8,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_07399_MST_8.png,data/processed/landmarks/sample_07399_MST_8.npy,,sin_mst,mano,train
freihand_00019161,datasets/training/rgb/00019161.jpg,data/processed/landmarks/freihand_00019161.npy,hand,sin_mst,freihand,train
freihand_00011049,datasets/training/rgb/00011049.jpg,data/processed/landmarks/freihand_00011049.npy,hand,sin_mst,freihand,train
sample_01370_MST_2,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01370_MST_2.png,data/processed/landmarks/sample_01370_MST_2.npy,,sin_mst,mano,train
dfd08d58-aa29-49a1-b3a6-791cd2b756ec,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_stop/dfd08d58-aa29-49a1-b3a6-791cd2b756ec.jpg,data/processed/landmarks/dfd08d58-aa29-49a1-b3a6-791cd2b756ec.npy,stop,sin_mst,hagrid,train
freihand_00010256,datasets/training/rgb/00010256.jpg,data/processed/landmarks/freihand_00010256.npy,hand,sin_mst,freihand,train
freihand_00020793,datasets/training/rgb/00020793.jpg,data/processed/landmarks/freihand_00020793.npy,hand,sin_mst,freihand,train
891b3a8e-6d7d-433f-b4e7-90a26758ade4,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_four/891b3a8e-6d7d-433f-b4e7-90a26758ade4.jpg,data/processed/landmarks/891b3a8e-6d7d-433f-b4e7-90a26758ade4.npy,four,sin_mst,hagrid,train
333850f6-1fb7-4ea7-9c4d-c7d16b650d3b,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_call/333850f6-1fb7-4ea7-9c4d-c7d16b650d3b.jpg,data/processed/landmarks/333850f6-1fb7-4ea7-9c4d-c7d16b650d3b.npy,call,sin_mst,hagrid,train
sample_02844_MST_3,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02844_MST_3.png,data/processed/landmarks/sample_02844_MST_3.npy,,sin_mst,mano,train
sample_08920_MST_9,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_08920_MST_9.png,data/processed/landmarks/sample_08920_MST_9.npy,,sin_mst,mano,train
sample_03831_MST_4,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_03831_MST_4.png,data/processed/landmarks/sample_03831_MST_4.npy,,sin_mst,mano,train
freihand_00016667,datasets/training/rgb/00016667.jpg,data/processed/landmarks/freihand_00016667.npy,hand,sin_mst,freihand,train
freihand_00017369,datasets/training/rgb/00017369.jpg,data/processed/landmarks/freihand_00017369.npy,hand,sin_mst,freihand,train
b6487fbe-9fb6-4230-a6b4-41ea725a2e1a,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_palm/b6487fbe-9fb6-4230-a6b4-41ea725a2e1a.jpg,data/processed/landmarks/b6487fbe-9fb6-4230-a6b4-41ea725a2e1a.npy,palm,sin_mst,hagrid,train
sample_03366_MST_4,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_03366_MST_4.png,data/processed/landmarks/sample_03366_MST_4.npy,,sin_mst,mano,train
freihand_00016495,datasets/training/rgb/00016495.jpg,data/processed/landmarks/freihand_00016495.npy,hand,sin_mst,freihand,train
freihand_00019505,datasets/training/rgb/00019505.jpg,data/processed/landmarks/freihand_00019505.npy,hand,sin_mst,freihand,train
7e1be56a-1c73-4050-bc8d-fb63dc533e8c,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_peace_inverted/7e1be56a-1c73-4050-bc8d-fb63dc533e8c.jpg,data/processed/landmarks/7e1be56a-1c73-4050-bc8d-fb63dc533e8c.npy,peace_inverted,sin_mst,hagrid,train
freihand_00006496,datasets/training/rgb/00006496.jpg,data/processed/landmarks/freihand_00006496.npy,hand,sin_mst,freihand,train
6badc2a9-b5f0-40a6-a44d-0e66296aa95d,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_like/6badc2a9-b5f0-40a6-a44d-0e66296aa95d.jpg,data/processed/landmarks/6badc2a9-b5f0-40a6-a44d-0e66296aa95d.npy,like,sin_mst,hagrid,train
2632ab2d-f872-4147-a1cd-7edc2487bf58,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_call/2632ab2d-f872-4147-a1cd-7edc2487bf58.jpg,data/processed/landmarks/2632ab2d-f872-4147-a1cd-7edc2487bf58.npy,call,sin_mst,hagrid,train
sample_01769_MST_2,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01769_MST_2.png,data/processed/landmarks/sample_01769_MST_2.npy,,sin_mst,mano,train
3e35ba30-33fd-4f3e-9d1d-8ed86fd2a823,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_rock/3e35ba30-33fd-4f3e-9d1d-8ed86fd2a823.jpg,data/processed/landmarks/3e35ba30-33fd-4f3e-9d1d-8ed86fd2a823.npy,no_gesture,sin_mst,hagrid,train
freihand_00008316,datasets/training/rgb/00008316.jpg,data/processed/landmarks/freihand_00008316.npy,hand,sin_mst,freihand,train
sample_02405_MST_3,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02405_MST_3.png,data/processed/landmarks/sample_02405_MST_3.npy,,sin_mst,mano,train
freihand_00003190,datasets/training/rgb/00003190.jpg,data/processed/landmarks/freihand_00003190.npy,hand,sin_mst,freihand,train
sample_00558_MST_1,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00558_MST_1.png,data/processed/landmarks/sample_00558_MST_1.npy,,sin_mst,mano,train
7b0555eb-0caa-4eba-ad05-cc9b70af0061,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_three2/7b0555eb-0caa-4eba-ad05-cc9b70af0061.jpg,data/processed/landmarks/7b0555eb-0caa-4eba-ad05-cc9b70af0061.npy,three2,sin_mst,hagrid,train
sample_01454_MST_2,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01454_MST_2.png,data/processed/landmarks/sample_01454_MST_2.npy,,sin_mst,mano,train
sample_09484_MST_10,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_09484_MST_10.png,data/processed/landmarks/sample_09484_MST_10.npy,,sin_mst,mano,train
ec02666b-ae60-4db6-8481-c96649372a3e,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_two_up_inverted/ec02666b-ae60-4db6-8481-c96649372a3e.jpg,data/processed/landmarks/ec02666b-ae60-4db6-8481-c96649372a3e.npy,two_up_inverted,sin_mst,hagrid,train
sample_00555_MST_1,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00555_MST_1.png,data/processed/landmarks/sample_00555_MST_1.npy,,sin_mst,mano,train
freihand_00008798,datasets/training/rgb/00008798.jpg,data/processed/landmarks/freihand_00008798.npy,hand,sin_mst,freihand,train
122504e6-ebca-42f1-a245-ab8d8151a501,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_ok/122504e6-ebca-42f1-a245-ab8d8151a501.jpg,data/processed/landmarks/122504e6-ebca-42f1-a245-ab8d8151a501.npy,ok,sin_mst,hagrid,train
freihand_00019810,datasets/training/rgb/00019810.jpg,data/processed/landmarks/freihand_00019810.npy,hand,sin_mst,freihand,train
freihand_00028012,datasets/training/rgb/00028012.jpg,data/processed/landmarks/freihand_00028012.npy,hand,sin_mst,freihand,train
sample_01047_MST_2,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01047_MST_2.png,data/processed/landmarks/sample_01047_MST_2.npy,,sin_mst,mano,train
