sample_id,path_landmarks,label,condition,dataset,landmark_quality,mst,mst_origin,split
01e593d3-27de-4cd0-af8c-fe1abc414c27,data/processed/landmarks/hagrid/palm/01e593d3-27de-4cd0-af8c-fe1abc414c27.npy,palm,claro,hagrid,annotation_2d_projected,3,imputed,train
freihand_00024831,data/processed/landmarks/freihand/00024831.npy,unknown,claro,freihand,real_3d_freihand,1,imputed,train
0570bffa-a6c7-4d57-9cb4-eeeae0983527,data/processed/landmarks/hagrid/ok/0570bffa-a6c7-4d57-9cb4-eeeae0983527.npy,ok,oscuro,hagrid,unknown_hagrid_quality,10,imputed,train
054623d0-7998-487c-9bd2-4ed9a431f3c9,data/processed/landmarks/hagrid/fist/054623d0-7998-487c-9bd2-4ed9a431f3c9.npy,fist,medio,hagrid,annotation_2d_projected,6,imputed,train
freihand_00005024,data/processed/landmarks/freihand/00005024.npy,unknown,claro,freihand,real_3d_freihand,3,imputed,train
0064f9a1-322a-4530-a1bf-2440bcdd2dc0,data/processed/landmarks/hagrid/ok/0064f9a1-322a-4530-a1bf-2440bcdd2dc0.npy,ok,claro,hagrid,annotation_2d_projected,2,imputed,train
03e90dbb-0387-477e-ba67-5f43a7f02213,data/processed/landmarks/hagrid/palm/03e90dbb-0387-477e-ba67-5f43a7f02213.npy,palm,medio,hagrid,annotation_2d_projected,6,imputed,train
03e40ec7-00c2-49b3-822d-e06ff51f6691,data/processed/landmarks/hagrid/like/03e40ec7-00c2-49b3-822d-e06ff51f6691.npy,like,oscuro,hagrid,annotation_2d_projected,10,imputed,train
freihand_00008433,data/processed/landmarks/freihand/00008433.npy,unknown,claro,freihand,real_3d_freihand,3,imputed,train
0329ab93-5b22-447c-bcd0-fbd50dabf6c0,data/processed/landmarks/hagrid/fist/0329ab93-5b22-447c-bcd0-fbd50dabf6c0.npy,fist,claro,hagrid,annotation_2d_projected,2,imputed,train
freihand_00017998,data/processed/landmarks/freihand/00017998.npy,unknown,medio,freihand,real_3d_freihand,7,original,train
28774474-3125-4005-a0fd-3916d27bd219,data/processed/landmarks/hagrid/three/28774474-3125-4005-a0fd-3916d27bd219.npy,three,medio,hagrid,annotation_2d_projected,6,imputed,train
freihand_00025554,data/processed/landmarks/freihand/00025554.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
freihand_00014279,data/processed/landmarks/freihand/00014279.npy,unknown,oscuro,freihand,real_3d_freihand,9,imputed,train
freihand_00018282,data/processed/landmarks/freihand/00018282.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
freihand_00023079,data/processed/landmarks/freihand/00023079.npy,unknown,medio,freihand,real_3d_freihand,6,imputed,train
freihand_00024728,data/processed/landmarks/freihand/00024728.npy,unknown,medio,freihand,real_3d_freihand,7,imputed,train
8f1e5f20-b311-497b-bdeb-195d09576e89,data/processed/landmarks/hagrid/stop_inverted/8f1e5f20-b311-497b-bdeb-195d09576e89.npy,stop_inverted,oscuro,hagrid,annotation_2d_projected,8,imputed,train
039cb58d-d9bf-43a8-9cd0-a0fe460202c3,data/processed/landmarks/hagrid/dislike/039cb58d-d9bf-43a8-9cd0-a0fe460202c3.npy,dislike,oscuro,hagrid,annotation_2d_projected,9,imputed,train
freihand_00016004,data/processed/landmarks/freihand/00016004.npy,unknown,oscuro,freihand,real_3d_freihand,10,imputed,train
2415d3c8-4646-4331-b07c-2beaebe70bab,data/processed/landmarks/hagrid/call/2415d3c8-4646-4331-b07c-2beaebe70bab.npy,call,medio,hagrid,annotation_2d_projected,6,imputed,train
freihand_00009048,data/processed/landmarks/freihand/00009048.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
0af06fe7-93ed-40f0-bfe2-f2c18e44acd8,data/processed/landmarks/hagrid/two_up_inverted/0af06fe7-93ed-40f0-bfe2-f2c18e44acd8.npy,two_up_inverted,oscuro,hagrid,annotation_2d_projected,9,imputed,train
0329ab93-5b22-447c-bcd0-fbd50dabf6c0,data/processed/landmarks/hagrid/fist/0329ab93-5b22-447c-bcd0-fbd50dabf6c0.npy,fist,claro,hagrid,annotation_2d_projected,2,imputed,train
