sample_id,path_landmarks,label,condition,dataset,landmark_quality,mst,mst_origin,split
palm_0008.jpg,data/processed/landmarks/hagrid/palm/palm_0008.jpg.npy,palm,claro,hagrid,unknown_hagrid_quality,3,imputed,train
freihand_00030908,data/processed/landmarks/freihand/00030908.npy,unknown,claro,freihand,real_3d_freihand,1,imputed,train
fist_0003.jpg,data/processed/landmarks/hagrid/fist/fist_0003.jpg.npy,fist,oscuro,hagrid,unknown_hagrid_quality,10,imputed,train
freihand_00009139,data/processed/landmarks/freihand/00009139.npy,unknown,claro,freihand,real_3d_freihand,2,imputed,train
fist_0003.jpg,data/processed/landmarks/hagrid/fist/fist_0003.jpg.npy,fist,oscuro,hagrid,unknown_hagrid_quality,10,imputed,train
palm_0009.jpg,data/processed/landmarks/hagrid/palm/palm_0009.jpg.npy,palm,medio,hagrid,unknown_hagrid_quality,6,imputed,train
palm_0001.jpg,data/processed/landmarks/hagrid/palm/palm_0001.jpg.npy,palm,oscuro,hagrid,unknown_hagrid_quality,9,imputed,train
palm_0001.jpg,data/processed/landmarks/hagrid/palm/palm_0001.jpg.npy,palm,oscuro,hagrid,unknown_hagrid_quality,9,imputed,train
freihand_00032467,data/processed/landmarks/freihand/00032467.npy,unknown,oscuro,freihand,real_3d_freihand,8,imputed,train
freihand_00009084,data/processed/landmarks/freihand/00009084.npy,unknown,medio,freihand,real_3d_freihand,7,original,train
palm_0005.jpg,data/processed/landmarks/hagrid/palm/palm_0005.jpg.npy,palm,claro,hagrid,unknown_hagrid_quality,1,imputed,train
palm_0010.jpg,data/processed/landmarks/hagrid/palm/palm_0010.jpg.npy,palm,oscuro,hagrid,unknown_hagrid_quality,10,imputed,train
freihand_00007861,data/processed/landmarks/freihand/00007861.npy,unknown,medio,freihand,real_3d_freihand,7,original,train
palm_0008.jpg,data/processed/landmarks/hagrid/palm/palm_0008.jpg.npy,palm,claro,hagrid,unknown_hagrid_quality,3,imputed,train
fist_0002.jpg,data/processed/landmarks/hagrid/fist/fist_0002.jpg.npy,fist,medio,hagrid,unknown_hagrid_quality,6,imputed,train
fist_0005.jpg,data/processed/landmarks/hagrid/fist/fist_0005.jpg.npy,fist,medio,hagrid,unknown_hagrid_quality,5,imputed,train
freihand_00031567,data/processed/landmarks/freihand/00031567.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
freihand_00007085,data/processed/landmarks/freihand/00007085.npy,unknown,claro,freihand,real_3d_freihand,1,imputed,train
fist_0005.jpg,data/processed/landmarks/hagrid/fist/fist_0005.jpg.npy,fist,medio,hagrid,unknown_hagrid_quality,5,imputed,train
freihand_00030054,data/processed/landmarks/freihand/00030054.npy,unknown,claro,freihand,real_3d_freihand,1,imputed,train
fist_0002.jpg,data/processed/landmarks/hagrid/fist/fist_0002.jpg.npy,fist,medio,hagrid,unknown_hagrid_quality,6,imputed,train
fist_0003.jpg,data/processed/landmarks/hagrid/fist/fist_0003.jpg.npy,fist,oscuro,hagrid,unknown_hagrid_quality,10,imputed,train
fist_0002.jpg,data/processed/landmarks/hagrid/fist/fist_0002.jpg.npy,fist,medio,hagrid,unknown_hagrid_quality,6,imputed,train
