sample_id,path_landmarks,label,condition,dataset,landmark_quality,mst,mst_origin,split
01fb610a-1349-4030-b200-bd3d43f200d8,data/processed/landmarks/hagrid/palm/01fb610a-1349-4030-b200-bd3d43f200d8.npy,palm,claro,hagrid,annotation_2d_projected,3,imputed,train
freihand_00024822,data/processed/landmarks/freihand/00024822.npy,unknown,claro,freihand,real_3d_freihand,1,imputed,train
049cc5d8-2923-4e34-8b88-f70aa8d05021,data/processed/landmarks/hagrid/ok/049cc5d8-2923-4e34-8b88-f70aa8d05021.npy,ok,oscuro,hagrid,annotation_2d_projected,8,imputed,train
054623d0-7998-487c-9bd2-4ed9a431f3c9,data/processed/landmarks/hagrid/fist/054623d0-7998-487c-9bd2-4ed9a431f3c9.npy,fist,medio,hagrid,annotation_2d_projected,6,imputed,train
freihand_00005020,data/processed/landmarks/freihand/00005020.npy,unknown,claro,freihand,real_3d_freihand,3,imputed,train
0064f9a1-322a-4530-a1bf-2440bcdd2dc0,data/processed/landmarks/hagrid/ok/0064f9a1-322a-4530-a1bf-2440bcdd2dc0.npy,ok,claro,hagrid,annotation_2d_projected,2,imputed,train
03e90dbb-0387-477e-ba67-5f43a7f02213,data/processed/landmarks/hagrid/palm/03e90dbb-0387-477e-ba67-5f43a7f02213.npy,palm,medio,hagrid,annotation_2d_projected,6,imputed,train
0337edd6-1cb2-4093-a290-dc5f6f8ef2bd,data/processed/landmarks/hagrid/like/0337edd6-1cb2-4093-a290-dc5f6f8ef2bd.npy,like,oscuro,hagrid,annotation_2d_projected,10,imputed,train
freihand_00008435,data/processed/landmarks/freihand/00008435.npy,unknown,claro,freihand,real_3d_freihand,1,imputed,train
02ca9b3b-d3d2-4dfd-b38a-fd8412c006a5,data/processed/landmarks/hagrid/fist/02ca9b3b-d3d2-4dfd-b38a-fd8412c006a5.npy,fist,claro,hagrid,annotation_2d_projected,4,imputed,train
freihand_00017998,data/processed/landmarks/freihand/00017998.npy,unknown,medio,freihand,real_3d_freihand,7,original,train
28774474-3125-4005-a0fd-3916d27bd219,data/processed/landmarks/hagrid/three/28774474-3125-4005-a0fd-3916d27bd219.npy,three,medio,hagrid,annotation_2d_projected,6,imputed,train
freihand_00025554,data/processed/landmarks/freihand/00025554.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
freihand_00014313,data/processed/landmarks/freihand/00014313.npy,unknown,oscuro,freihand,real_3d_freihand,8,imputed,train
freihand_00018282,data/processed/landmarks/freihand/00018282.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
freihand_00023079,data/processed/landmarks/freihand/00023079.npy,unknown,medio,freihand,real_3d_freihand,6,imputed,train
freihand_00024728,data/processed/landmarks/freihand/00024728.npy,unknown,medio,freihand,real_3d_freihand,7,imputed,train
808128e8-63be-418c-ac7f-638cdd08013b,data/processed/landmarks/hagrid/stop_inverted/808128e8-63be-418c-ac7f-638cdd08013b.npy,stop_inverted,oscuro,hagrid,annotation_2d_projected,10,imputed,train
039cb58d-d9bf-43a8-9cd0-a0fe460202c3,data/processed/landmarks/hagrid/dislike/039cb58d-d9bf-43a8-9cd0-a0fe460202c3.npy,dislike,oscuro,hagrid,annotation_2d_projected,9,imputed,train
freihand_00016019,data/processed/landmarks/freihand/00016019.npy,unknown,oscuro,freihand,real_3d_freihand,10,imputed,train
2415d3c8-4646-4331-b07c-2beaebe70bab,data/processed/landmarks/hagrid/call/2415d3c8-4646-4331-b07c-2beaebe70bab.npy,call,medio,hagrid,annotation_2d_projected,6,imputed,train
freihand_00009048,data/processed/landmarks/freihand/00009048.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
06874fc0-9ed4-431a-8069-b9de041dd089,data/processed/landmarks/hagrid/two_up_inverted/06874fc0-9ed4-431a-8069-b9de041dd089.npy,two_up_inverted,oscuro,hagrid,synthetic_gesture_mean,8,imputed,train
02ca9b3b-d3d2-4dfd-b38a-fd8412c006a5,data/processed/landmarks/hagrid/fist/02ca9b3b-d3d2-4dfd-b38a-fd8412c006a5.npy,fist,claro,hagrid,annotation_2d_projected,4,imputed,train
8c80b5b2-c144-4a8d-97ca-06d9a00cbc8a,data/processed/landmarks/hagrid/peace_inverted/8c80b5b2-c144-4a8d-97ca-06d9a00cbc8a.npy,peace_inverted,medio,hagrid,annotation_2d_projected,6,imputed,train
703f9180-f6f1-4ad8-9807-f81bb2121f2b,data/processed/landmarks/hagrid/two_up/703f9180-f6f1-4ad8-9807-f81bb2121f2b.npy,two_up,claro,hagrid,annotation_2d_projected,4,imputed,train
cceed2d9-cf5c-4f43-8f15-5e0e2c4356fd,data/processed/landmarks/hagrid/three2/cceed2d9-cf5c-4f43-8f15-5e0e2c4356fd.npy,three2,oscuro,hagrid,synthetic_gesture_mean,9,imputed,train
freihand_00019619,data/processed/landmarks/freihand/00019619.npy,unknown,oscuro,freihand,real_3d_freihand,10,imputed,train
