sample_id,path_landmarks,label,condition,dataset,mst,mst_origin,split
freihand_00031667,data/processed/landmarks/freihand_00031667.npy,unknown,medio,freihand,5,imputed,train
freihand_00007420,data/processed/landmarks/freihand_00007420.npy,unknown,claro,freihand,2,imputed,train
freihand_00005373,data/processed/landmarks/freihand_00005373.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00006996,data/processed/landmarks/freihand_00006996.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00008513,data/processed/landmarks/freihand_00008513.npy,unknown,medio,freihand,7,imputed,train
freihand_00023369,data/processed/landmarks/freihand_00023369.npy,unknown,medio,freihand,5,imputed,train
freihand_00024543,data/processed/landmarks/freihand_00024543.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00025592,data/processed/landmarks/freihand_00025592.npy,unknown,medio,freihand,5,imputed,train
freihand_00029640,data/processed/landmarks/freihand_00029640.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00021046,data/processed/landmarks/freihand_00021046.npy,unknown,claro,freihand,4,imputed,train
freihand_00027327,data/processed/landmarks/freihand_00027327.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00009979,data/processed/landmarks/freihand_00009979.npy,unknown,claro,freihand,1,imputed,train
freihand_00032549,data/processed/landmarks/freihand_00032549.npy,unknown,medio,freihand,7,imputed,train
freihand_00022661,data/processed/landmarks/freihand_00022661.npy,unknown,medio,freihand,5,imputed,train
freihand_00025423,data/processed/landmarks/freihand_00025423.npy,unknown,claro,freihand,2,imputed,train
freihand_00004985,data/processed/landmarks/freihand_00004985.npy,unknown,medio,freihand,7,imputed,train
freihand_00031663,data/processed/landmarks/freihand_00031663.npy,unknown,claro,freihand,3,imputed,train
freihand_00022103,data/processed/landmarks/freihand_00022103.npy,unknown,medio,freihand,5,imputed,train
freihand_00026995,data/processed/landmarks/freihand_00026995.npy,unknown,claro,freihand,2,imputed,train
freihand_00028673,data/processed/landmarks/freihand_00028673.npy,unknown,medio,freihand,6,imputed,train
freihand_00026849,data/processed/landmarks/freihand_00026849.npy,unknown,medio,freihand,6,imputed,train
freihand_00018904,data/processed/landmarks/freihand_00018904.npy,unknown,claro,freihand,3,imputed,train
freihand_00014984,data/processed/landmarks/freihand_00014984.npy,unknown,medio,freihand,7,imputed,train
freihand_00000909,data/processed/landmarks/freihand_00000909.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00019584,data/processed/landmarks/freihand_00019584.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00015914,data/processed/landmarks/freihand_00015914.npy,unknown,medio,freihand,6,imputed,train
freihand_00021801,data/processed/landmarks/freihand_00021801.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00006050,data/processed/landmarks/freihand_00006050.npy,unknown,medio,freihand,5,imputed,train
freihand_00024738,data/processed/landmarks/freihand_00024738.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00017410,data/processed/landmarks/freihand_00017410.npy,unknown,claro,freihand,3,imputed,train
freihand_00003268,data/processed/landmarks/freihand_00003268.npy,unknown,claro,freihand,3,imputed,train
freihand_00012956,data/processed/landmarks/freihand_00012956.npy,unknown,medio,freihand,7,imputed,train
freihand_00001741,data/processed/landmarks/freihand_00001741.npy,unknown,claro,freihand,2,imputed,train
freihand_00019405,data/processed/landmarks/freihand_00019405.npy,unknown,claro,freihand,4,imputed,train
