sample_id,path_landmarks,label,condition,dataset,landmark_quality,mst,mst_origin,split
freihand_00030770,data/processed/landmarks/freihand/00030770.npy,unknown,claro,freihand,real_3d_freihand,4,original,train
fist_0002.jpg,data/processed/landmarks/hagrid/fist/fist_0002.jpg.npy,fist,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
freihand_00000538,data/processed/landmarks/freihand/00000538.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
freihand_00029198,data/processed/landmarks/freihand/00029198.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
freihand_00029006,data/processed/landmarks/freihand/00029006.npy,unknown,oscuro,freihand,real_3d_freihand,8,original,train
freihand_00005993,data/processed/landmarks/freihand/00005993.npy,unknown,medio,freihand,real_3d_freihand,5,original,train
palm_0003.jpg,data/processed/landmarks/hagrid/palm/palm_0003.jpg.npy,palm,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
freihand_00022217,data/processed/landmarks/freihand/00022217.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
freihand_00030656,data/processed/landmarks/freihand/00030656.npy,unknown,claro,freihand,real_3d_freihand,4,original,train
freihand_00024693,data/processed/landmarks/freihand/00024693.npy,unknown,medio,freihand,real_3d_freihand,7,original,train
freihand_00023088,data/processed/landmarks/freihand/00023088.npy,unknown,claro,freihand,real_3d_freihand,4,original,train
freihand_00009303,data/processed/landmarks/freihand/00009303.npy,unknown,oscuro,freihand,real_3d_freihand,8,original,train
fist_0001.jpg,data/processed/landmarks/hagrid/fist/fist_0001.jpg.npy,fist,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
fist_0001.jpg,data/processed/landmarks/hagrid/fist/fist_0001.jpg.npy,fist,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
freihand_00020859,data/processed/landmarks/freihand/00020859.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
palm_0005.jpg,data/processed/landmarks/hagrid/palm/palm_0005.jpg.npy,palm,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
freihand_00005246,data/processed/landmarks/freihand/00005246.npy,unknown,oscuro,freihand,real_3d_freihand,8,original,train
freihand_00012151,data/processed/landmarks/freihand/00012151.npy,unknown,medio,freihand,real_3d_freihand,6,original,train
freihand_00018578,data/processed/landmarks/freihand/00018578.npy,unknown,medio,freihand,real_3d_freihand,5,original,train
palm_0006.jpg,data/processed/landmarks/hagrid/palm/palm_0006.jpg.npy,palm,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
freihand_00005693,data/processed/landmarks/freihand/00005693.npy,unknown,claro,freihand,real_3d_freihand,4,original,train
fist_0001.jpg,data/processed/landmarks/hagrid/fist/fist_0001.jpg.npy,fist,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
palm_0009.jpg,data/processed/landmarks/hagrid/palm/palm_0009.jpg.npy,palm,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
fist_0004.jpg,data/processed/landmarks/hagrid/fist/fist_0004.jpg.npy,fist,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
freihand_00011290,data/processed/landmarks/freihand/00011290.npy,unknown,oscuro,freihand,real_3d_freihand,8,original,train
palm_0006.jpg,data/processed/landmarks/hagrid/palm/palm_0006.jpg.npy,palm,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
fist_0001.jpg,data/processed/landmarks/hagrid/fist/fist_0001.jpg.npy,fist,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
fist_0003.jpg,data/processed/landmarks/hagrid/fist/fist_0003.jpg.npy,fist,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
fist_0005.jpg,data/processed/landmarks/hagrid/fist/fist_0005.jpg.npy,fist,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
fist_0002.jpg,data/processed/landmarks/hagrid/fist/fist_0002.jpg.npy,fist,sin_mst,hagrid,unknown_hagrid_quality,,missing,train
