sample_id,path_landmarks,label,condition,dataset,landmark_quality,mst,mst_origin,split
freihand_00006308,data/processed/landmarks/freihand/00006308.npy,unknown,medio,freihand,real_3d_freihand,5,imputed,train
freihand_00027610,data/processed/landmarks/freihand/00027610.npy,unknown,claro,freihand,real_3d_freihand,4,imputed,train
freihand_00001724,data/processed/landmarks/freihand/00001724.npy,unknown,medio,freihand,real_3d_freihand,7,imputed,train
freihand_00019646,data/processed/landmarks/freihand/00019646.npy,unknown,medio,freihand,real_3d_freihand,7,imputed,train
54892ce0-d253-4707-bbbd-3c5a4990e0cf,data/processed/landmarks/hagrid/rock/54892ce0-d253-4707-bbbd-3c5a4990e0cf.npy,rock,medio,hagrid,annotation_2d_projected,6,imputed,train
e263a958-9cb9-4bb7-9c52-d234f6d90354,data/processed/landmarks/hagrid/stop_inverted/e263a958-9cb9-4bb7-9c52-d234f6d90354.npy,stop_inverted,medio,hagrid,annotation_2d_projected,7,imputed,train
2831ea7d-a1d4-48d9-b1dd-6b2d458a8717,data/processed/landmarks/hagrid/fist/2831ea7d-a1d4-48d9-b1dd-6b2d458a8717.npy,fist,medio,hagrid,annotation_2d_projected,7,imputed,train
freihand_00023435,data/processed/landmarks/freihand/00023435.npy,unknown,medio,freihand,real_3d_freihand,5,imputed,train
c9353c66-0d7f-4f94-acd9-e969e3da01f9,data/processed/landmarks/hagrid/peace/c9353c66-0d7f-4f94-acd9-e969e3da01f9.npy,peace,claro,hagrid,annotation_2d_projected,3,imputed,train
9478695d-44b2-478c-adda-5e2eeb8b9436,data/processed/landmarks/hagrid/two_up_inverted/9478695d-44b2-478c-adda-5e2eeb8b9436.npy,two_up_inverted,medio,hagrid,annotation_2d_projected,6,imputed,train
f5ea1d0e-9cac-4bb1-a724-07ff5f27b52b,data/processed/landmarks/hagrid/one/f5ea1d0e-9cac-4bb1-a724-07ff5f27b52b.npy,one,medio,hagrid,annotation_2d_projected,6,imputed,train
freihand_00024905,data/processed/landmarks/freihand/00024905.npy,unknown,medio,freihand,real_3d_freihand,6,imputed,train
f57a1679-b538-49c5-bb8b-546c775cc14a,data/processed/landmarks/hagrid/call/f57a1679-b538-49c5-bb8b-546c775cc14a.npy,call,medio,hagrid,annotation_2d_projected,7,imputed,train
freihand_00022834,data/processed/landmarks/freihand/00022834.npy,unknown,claro,freihand,real_3d_freihand,2,imputed,train
freihand_00029459,data/processed/landmarks/freihand/00029459.npy,unknown,medio,freihand,real_3d_freihand,7,imputed,train
freihand_00029668,data/processed/landmarks/freihand/00029668.npy,unknown,claro,freihand,real_3d_freihand,1,imputed,train
freihand_00007580,data/processed/landmarks/freihand/00007580.npy,unknown,medio,freihand,real_3d_freihand,7,imputed,train
4d3e937d-fde8-4418-b54d-9341c1036703,data/processed/landmarks/hagrid/three/4d3e937d-fde8-4418-b54d-9341c1036703.npy,three,medio,hagrid,annotation_2d_projected,5,imputed,train
