sample_id,path_landmarks,label,condition,dataset,mst,mst_origin,split
freihand_00031667,data\processed\landmarks\freihand\00031667.npy,unknown,medio,freihand,5,imputed,train
1d33acb4-2c5a-4b33-850e-9c8c625fd855,data\processed\landmarks\hagrid\call\1d33acb4-2c5a-4b33-850e-9c8c625fd855.npy,call,claro,hagrid,4,imputed,train
freihand_00007420,data\processed\landmarks\freihand\00007420.npy,unknown,claro,freihand,2,imputed,train
02be4792-efcc-41a2-b1e6-1015afa0ba89,data\processed\landmarks\hagrid\ok\02be4792-efcc-41a2-b1e6-1015afa0ba89.npy,ok,claro,hagrid,3,imputed,train
05c70758-d8e1-48cd-82c6-28fec6226b66,data\processed\landmarks\hagrid\four\05c70758-d8e1-48cd-82c6-28fec6226b66.npy,four,oscuro,hagrid,10,imputed,train
05b9f9ab-6a12-4450-8cb5-7be7b2f22fd1,data\processed\landmarks\hagrid\one\05b9f9ab-6a12-4450-8cb5-7be7b2f22fd1.npy,one,oscuro,hagrid,10,imputed,train
freihand_00005373,data\processed\landmarks\freihand\00005373.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00006996,data\processed\landmarks\freihand\00006996.npy,unknown,oscuro,freihand,8,imputed,train
3285b354-191f-4f5f-ada2-733712ea3954,data\processed\landmarks\hagrid\peace_inverted\3285b354-191f-4f5f-ada2-733712ea3954.npy,peace_inverted,medio,hagrid,5,imputed,train
d405368c-4738-4a91-b5fa-39819bec229a,data\processed\landmarks\hagrid\two_up\d405368c-4738-4a91-b5fa-39819bec229a.npy,two_up,oscuro,hagrid,10,imputed,train
freihand_00008513,data\processed\landmarks\freihand\00008513.npy,unknown,medio,freihand,7,imputed,train
033442b4-5a22-499d-9b25-e4eebfc9de76,data\processed\landmarks\hagrid\rock\033442b4-5a22-499d-9b25-e4eebfc9de76.npy,rock,claro,hagrid,4,imputed,train
0148cde9-a86d-47a3-a0bf-ca4659042aab,data\processed\landmarks\hagrid\dislike\0148cde9-a86d-47a3-a0bf-ca4659042aab.npy,dislike,medio,hagrid,6,imputed,train
041ebd0e-1730-428f-99bd-5b39a1db52b6,data\processed\landmarks\hagrid\rock\041ebd0e-1730-428f-99bd-5b39a1db52b6.npy,rock,oscuro,hagrid,10,imputed,train
freihand_00023369,data\processed\landmarks\freihand\00023369.npy,unknown,medio,freihand,5,imputed,train
0015135c-bdb9-409a-82ef-104b4d6690b0,data\processed\landmarks\hagrid\peace_inverted\0015135c-bdb9-409a-82ef-104b4d6690b0.npy,peace_inverted,medio,hagrid,5,imputed,train
0ae441fc-c9e6-4c78-8374-45f4eb49be6b,data\processed\landmarks\hagrid\two_up_inverted\0ae441fc-c9e6-4c78-8374-45f4eb49be6b.npy,two_up_inverted,medio,hagrid,6,imputed,train
05b2fd16-d43d-4e14-bfa6-cfb9d5706ef2,data\processed\landmarks\hagrid\like\05b2fd16-d43d-4e14-bfa6-cfb9d5706ef2.npy,like,oscuro,hagrid,8,imputed,train
freihand_00024543,data\processed\landmarks\freihand\00024543.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00025592,data\processed\landmarks\freihand\00025592.npy,unknown,medio,freihand,5,imputed,train
freihand_00029640,data\processed\landmarks\freihand\00029640.npy,unknown,oscuro,freihand,9,imputed,train
0571117f-1046-4945-a359-e42b75511f3b,data\processed\landmarks\hagrid\one\0571117f-1046-4945-a359-e42b75511f3b.npy,one,oscuro,hagrid,9,imputed,train
03725111-5f59-4e87-854d-ba14b01c8606,data\processed\landmarks\hagrid\dislike\03725111-5f59-4e87-854d-ba14b01c8606.npy,dislike,claro,hagrid,1,imputed,train
2fd15650-ecad-4bb4-b290-d744be5ec7eb,data\processed\landmarks\hagrid\three\2fd15650-ecad-4bb4-b290-d744be5ec7eb.npy,three,claro,hagrid,4,imputed,train
343ec356-544b-47cb-acc7-e7d0d0fd111e,data\processed\landmarks\hagrid\three\343ec356-544b-47cb-acc7-e7d0d0fd111e.npy,three,claro,hagrid,1,imputed,train
freihand_00021046,data\processed\landmarks\freihand\00021046.npy,unknown,claro,freihand,4,imputed,train
freihand_00027327,data\processed\landmarks\freihand\00027327.npy,unknown,oscuro,freihand,8,imputed,train
5a126d4a-dded-4a1e-83e7-68bbf5df85f4,data\processed\landmarks\hagrid\three2\5a126d4a-dded-4a1e-83e7-68bbf5df85f4.npy,three2,oscuro,hagrid,10,imputed,train
freihand_00009979,data\processed\landmarks\freihand\00009979.npy,unknown,claro,freihand,1,imputed,train
freihand_00032549,data\processed\landmarks\freihand\00032549.npy,unknown,medio,freihand,7,imputed,train
01932a51-ac81-4fde-9e62-d70c79def69f,data\processed\landmarks\hagrid\fist\01932a51-ac81-4fde-9e62-d70c79def69f.npy,fist,medio,hagrid,5,imputed,train
freihand_00022661,data\processed\landmarks\freihand\00022661.npy,unknown,medio,freihand,5,imputed,train
freihand_00025423,data\processed\landmarks\freihand\00025423.npy,unknown,claro,freihand,2,imputed,train
freihand_00004985,data\processed\landmarks\freihand\00004985.npy,unknown,medio,freihand,7,imputed,train
freihand_00031663,data\processed\landmarks\freihand\00031663.npy,unknown,claro,freihand,3,imputed,train
