sample_id,suggested_label,confidence,path_landmarks,dist_ok,thumb_abduction,palm_arc,prox_T,prox_I,prox_M,prox_R,prox_P,cluster
sample_02844_MST_3,unknown,0.2,data/processed/landmarks/sample_02844_MST_3.npy,0.6866362,29.309364,0.057989467,103.75884,57.811565,86.8136,130.69548,80.24793,1
sample_08920_MST_9,unknown,0.2,data/processed/landmarks/sample_08920_MST_9.npy,2.2619905,159.7519,1.1881725,117.087524,149.21135,49.596336,153.89128,149.25177,3
sample_03831_MST_4,unknown,0.2,data/processed/landmarks/sample_03831_MST_4.npy,0.90488946,10.900658,1.1002992,134.26503,44.702667,109.24482,101.1214,107.640236,1
sample_00558_MST_1,unknown,0.2,data/processed/landmarks/sample_00558_MST_1.npy,3.6132495,86.89723,2.055321,67.68951,159.14565,35.04643,152.53035,54.02759,4
sample_00555_MST_1,unknown,0.2,data/processed/landmarks/sample_00555_MST_1.npy,3.1856198,57.64111,0.52677315,77.35443,50.16168,153.22328,62.61999,124.48716,5
sample_01047_MST_2,unknown,0.2,data/processed/landmarks/sample_01047_MST_2.npy,0.8500292,20.756596,2.2018635,38.034245,147.45927,110.15913,158.92474,35.999756,1
sample_02009_MST_3,unknown,0.2,data/processed/landmarks/sample_02009_MST_3.npy,1.3735307,55.00441,1.2323326,65.113655,50.84394,39.59665,144.61661,111.94499,0
sample_02047_MST_3,unknown,0.2,data/processed/landmarks/sample_02047_MST_3.npy,1.8573359,79.173645,0.40765578,65.83568,80.65006,4.263699,70.35465,101.76416,0
sample_03303_MST_4,unknown,0.2,data/processed/landmarks/sample_03303_MST_4.npy,3.410557,141.99533,0.64381915,106.78984,95.36857,141.10413,31.677954,105.91125,5
sample_06471_MST_7,unknown,0.2,data/processed/landmarks/sample_06471_MST_7.npy,1.1163985,45.45434,0.6807527,73.6255,52.24972,68.70207,121.19498,91.51483,1
sample_01650_MST_2,unknown,0.2,data/processed/landmarks/sample_01650_MST_2.npy,0.79751045,30.386393,0.7916327,119.43749,88.165886,23.302383,66.400375,43.4607,0
sample_03596_MST_4,unknown,0.2,data/processed/landmarks/sample_03596_MST_4.npy,1.1155297,65.94062,0.38133523,77.526566,58.388615,98.46634,47.465565,65.80878,1
sample_09261_MST_10,unknown,0.2,data/processed/landmarks/sample_09261_MST_10.npy,2.7556036,80.33938,0.9389644,87.66668,163.9359,147.44463,159.20245,34.839733,4
sample_02038_MST_3,unknown,0.2,data/processed/landmarks/sample_02038_MST_3.npy,1.3796841,68.81795,1.2543912,118.92493,52.366863,81.07404,120.836555,73.133484,1
sample_01614_MST_2,unknown,0.2,data/processed/landmarks/sample_01614_MST_2.npy,1.3085146,75.610695,1.0227801,53.40665,55.460934,139.6732,77.935745,53.371765,1
sample_00521_MST_1,unknown,0.2,data/processed/landmarks/sample_00521_MST_1.npy,0.61516005,44.44249,0.033324625,59.6311,60.278683,131.46744,25.067627,69.8465,5
